Categoria-1,Ref,OLDRS,RS,RAWQP,QP,MediaGrezza,Anno,Nome,Classificazione,Denominazione,Produttore,Regione,Valutazione,Prezzo,Composizione,Abbinamento,Menzioni,PunteggioMedio,ValutazioneAIS,AIS,ValutazioneGR,GR,Tipologia,Alcol,Bottiglie,Affinamento,Descrizione,Note,PunteggioGuida3,PunteggioGuida4,PunteggioGuida5,PunteggioGuida6,PunteggioGuida7,Nazione,Entry,Millesimo,Tecnica,Zucchero
,0000213,,,,,,2013,Chianti Classico Riserva Cultus Boni,DOCG,Chianti Classico,Badia A Coltibuono,Toscana,3,20-24,Sangiovese 80% – Altri,Arrosto di vitello in salsa di agrumi,Riserva,88,,88,,na,Rosso fermo,14,13900,18 mesi in barrique + 6 mesi in bottiglia,"Rosso granato trasparente. Al naso spiccano gelatina di ribes e lampone con tratti balsamici e floreali di rosa sullo sfondo. Emergono humus, scorza d'arancia, liquirizia, nocciole tostate e un pizzico di noce moscata. Dimostra al gusto una struttura imponente e slanciata; l'equilibrio è in divenire. Ha ottimi tannini a grana fine, buona spalla acida e soprattutto sapida. Si allunga con aromi di arancia ed erbe balsamiche. ",,na,na,na,na,na,Italia,2,,,
,0000213,,,,,,2015,Chianti Classico Riserva Cultus Boni,DOCG,Chianti Classico,Badia A Coltibuono,Toscana,5,25-29,Sangiovese 80% – Altri,Brasato di manzo al vino,Riserva,91,,91,,na,Rosso fermo,14,14k,18 mesi in barrique + 6 mesi in bottiglia,"Rosso granato luminoso. Si distingue per l'elegante proposta odorosa, contrassegnata da confetture di mora e ciliegia, erbe aromatiche ed evidenze calde di macchia mediterranea. Emergono cuoio, sigaro e una pungenza speziata di pepe. Al gusto l'acidità rende affilato l'assaggio, mentre i tannini, ben distribuiti lungo il percorso, innalzano l’intensità gustativa. Spiccata chiusura di arancia. ",,na,na,na,na,na,Italia,2,,,
,0000213,,,,,,2016,Chianti Classico Riserva Cultus Boni,DOCG,Chianti Classico,Badia A Coltibuono,Toscana,4,25-29,Sangiovese 80% – Altri,Stinco di maiale al forno,Riserva,90,,90,,na,Rosso fermo,14.5,10600,24 mesi in barrique e botte grande,"Tenue veste rosso rubino con sfumatura granato. La componente di ciliegia e mora sovrasta tocchi floreali, erbe balsamiche, nuance speziate, terra bagnata e cuoio. Significativo l'impatto in bocca, che sviluppa preziosa sapidità e adeguata freschezza;  i tannini sono rotondi e ben collocati nella progressione. Una scia di arancia sanguinella accompagna la conclusione.",,na,na,na,na,na,Italia,2,,,
,0000216,,,,,,2014,Chianti Classico Selezione RS,DOCG,Chianti Classico,Badia A Coltibuono,Toscana,1,10-14,Sangiovese 100%,nd,,79,,79,,na,Rosso fermo,13.5,100k,12 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0000216,,,,,,2015,Chianti Classico Selezione RS,DOCG,Chianti Classico,Badia A Coltibuono,Toscana,2,10-14,Sangiovese 100%,nd,,83,,83,,na,Rosso fermo,13.5,90k,12 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0000216,,,,,,2019,Chianti Classico Selezione RS,DOCG,Chianti Classico,Badia A Coltibuono,Toscana,2,10-14,Sangiovese 100%,nd,,83,,83,,na,Rosso fermo,13.5,67k,12 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0000216-1,0.23,2,0.15,#DIV/0!,1.7,,Chianti Classico Selezione RS,DOCG,Chianti Classico,Badia A Coltibuono,Toscana,1★-2★,10-14,Sangiovese 100%,nd,,na,,na,,na,Rosso fermo,13.5,67k-100k,12 mesi in acciaio,,,na,na,na,na,na,Italia,1,,,
,0000579,,,,,,2011,Montebello,IGT,Toscana,Badia A Coltibuono,Toscana,2,50-54,Sangiovese 12% – Canaiolo 11% – Ciliegiolo 11% – Colorino 11% – Foglia tonda 11% – Malvasia nera – 11% Mammolo 11% – Puanitello 11% – Sanforte 11%,Pecora in umido con le rape,,84,,84,,na,Rosso fermo,15,3k,12 mesi in barrique separate + 6 mesi in botte grande dopo l'assemblaggio,"Rubino vivace. Al naso evoca ciliegia, petali di  rosa, cannella, felce e cuoio. Un'ottima struttura  tannica, affiancata dalla spinta dell'alcol,  conduce a un finale gradevolmente chinato.",,na,na,na,na,na,Italia,2,,,
,0000579,,,,,,2013,Montebello,IGT,Toscana,Badia A Coltibuono,Toscana,3,25-29,Sangiovese 12% – Canaiolo 11% – Ciliegiolo 11% – Colorino 11% – Foglia tonda 11% – Malvasia nera – 11% Mammolo 11% – Puanitello 11% – Sanforte 11%,nd,,85,,85,,na,Rosso fermo,14.5,3k,12 mesi in barrique separate + 6 mesi in botte grande dopo l'assemblaggio,,,na,na,na,na,na,Italia,2,,,
,0000579,,,,,,2015,Montebello,IGT,Toscana,Badia A Coltibuono,Toscana,3,25-29,Sangiovese 12% – Canaiolo 11% – Ciliegiolo 11% – Colorino 11% – Foglia tonda 11% – Malvasia nera – 11% Mammolo 11% – Puanitello 11% – Sanforte 11%,Fegatelli di maiale al forno,,85,,85,,na,Rosso fermo,13.5,7k,12 mesi in barrique separate + 6 mesi in botte grande dopo l'assemblaggio,"Rubino con riflesso granato. Frutti di bosco  anticipano chiodi di garofano, muschio e  accenni leggermente erbacei. Ha struttura    e intensità gustativa, tannini fusi nella  progressione, con chiusura di ribes rosso e liquirizia; lunga persistenza. ",,na,na,na,na,na,Italia,2,,,
,0000579,,,,,,2016,Montebello,IGT,Toscana,Badia A Coltibuono,Toscana,2,25-29,Sangiovese 12% – Canaiolo 11% – Ciliegiolo 11% – Colorino 11% – Foglia tonda 11% – Malvasia nera – 11% Mammolo 11% – Puanitello 11% – Sanforte 11%,nd,,84,,84,,na,Rosso fermo,13.5,7k,12 mesi in barrique separate + 6 mesi in botte grande dopo l'assemblaggio,,,na,na,na,na,na,Italia,2,,,
,0000579-1,,,,,,,Montebello,IGT,Toscana,Badia A Coltibuono,Toscana,2★-3★,25-29,Sangiovese 12% – Canaiolo 11% – Ciliegiolo 11% – Colorino 11% – Foglia tonda 11% – Malvasia nera – 11% Mammolo 11% – Puanitello 11% – Sanforte 11%,Pecora in umido con le rape – Fegatelli di maiale al forno,,na,,na,,na,Rosso fermo,13.5,3k-7k,12 mesi in barrique separate + 6 mesi in botte grande dopo l'assemblaggio,,,na,na,na,na,na,Italia,1,,,
,0001844,,,,,,2015,Chianti I Sodi Del Paretaio,DOCG,Chianti,Badia Di Morrona,Toscana,2,5-9,Sangiovese 85% – Cabernet Sauvignon 5% – Merlot 5% – Syrah 5%,nd,,82,,82,,na,Rosso fermo,13.5,130k,-,,,na,na,na,na,na,Italia,2,,,
,0001844,,,,,,2016,Chianti I Sodi Del Paretaio,DOCG,Chianti,Badia Di Morrona,Toscana,2,5-9,Sangiovese 85% – Cabernet Sauvignon 5% – Merlot 5% – Syrah 5%,nd,,83,,83,,na,Rosso fermo,13.5,150k,-,,,na,na,na,na,na,Italia,2,,,
,0001844,,,,,,2017,Chianti I Sodi Del Paretaio,DOCG,Chianti,Badia Di Morrona,Toscana,2,5-9,Sangiovese 85% – Cabernet Sauvignon 5% – Merlot 5% – Syrah 5%,nd,,83,,83,,na,Rosso fermo,14,120k,-,,,na,na,na,na,na,Italia,2,,,
,0001844,,,,,,2018,Chianti I Sodi Del Paretaio,DOCG,Chianti,Badia Di Morrona,Toscana,3,5-9,Sangiovese 85% – Cabernet Sauvignon 5% – Merlot 5% – Syrah 5%,nd,,86,,86,,na,Rosso fermo,14,150k,-,,,na,na,na,na,na,Italia,2,,,
,0001844,,,,,,2019,Chianti I Sodi Del Paretaio,DOCG,Chianti,Badia Di Morrona,Toscana,3,5-9,Sangiovese 85% – Cabernet Sauvignon 5% – Merlot 5% – Syrah 5%,nd,,86,,86,,na,Rosso fermo,13.5,100k,-,,,na,na,na,na,na,Italia,2,,,
,0001844,,,,,,2020,Chianti I Sodi Del Paretaio,DOCG,Chianti,Badia Di Morrona,Toscana,2,5-9,Sangiovese 85% – Cabernet Sauvignon 5% – Merlot 5% – Syrah 5%,nd,,84,,84,,na,Rosso fermo,14,240k,-,,,na,na,na,na,na,Italia,2,,,
,00001844-1,1.14,9,1.23,52,2.3,,Chianti I Sodi Del Paretaio,DOCG,Chianti,Badia Di Morrona,Toscana,2★-3★,5-9,Sangiovese 85% – Cabernet Sauvignon 5% – Merlot 5% – Syrah 5%,nd,,na,,na,,na,Rosso fermo,14,120k-240k,18 mesi in botte o 12 mesi in cemento,,,na,na,na,na,na,Italia,1,,,
,0001844,,,,,,2013,Chianti Riserva I Sodi Del Paretaio,DOCG,Chianti,Badia Di Morrona,Toscana,2,15-19,Sangiovese 100%,nd,Riserva,84,,84,,na,Rosso fermo,13.5,20k,18 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,0001844,,,,,,2014,Chianti Riserva I Sodi Del Paretaio,DOCG,Chianti,Badia Di Morrona,Toscana,3,15-19,Sangiovese 100%,Spezzatino di cinghiale,Riserva,86,,86,,na,Rosso fermo,13.5,20k,18 mesi in botte,"Rubino intenso e vivo. Profumi di susina, mirtille mora in confettura aprono la strada a essenzefloreali di petali di viola macerati, seguite daricordi di macchia mediterranea, muschio,torrefazione, radice di liquirizia in un sottofondodi erbe officinali. Dinamico e avvolgente alsorso, rivela ottima struttura e varietà di saporicorredate da viva freschezza e adeguata spintatannica. Persistente e fruttato nel finale. Maturain legno per 18 mesi e sosta per 6 mesi inbottiglia.",,na,na,na,na,na,Italia,2,,,
,0001844,,,,,,2015,Chianti Riserva I Sodi Del Paretaio,DOCG,Chianti,Badia Di Morrona,Toscana,3,15-19,Sangiovese 100%,Reginette al ragù di coniglio,Riserva,86,,86,,na,Rosso fermo,14.5,12k,12 mesi in cemento,"[Ves(e rubino, dai toni evoluti sul bordo. Nasoconcentrato, con intensi profumi di fragola,lampone e mirtillo in confettura; evolve surichiami di cuoio, caffè e tabacco bagnato,con sbuffi di liquirizia in sottofondo. Lafreschezza traccia i lineamenti principali delsorso, accompagnata dal tannino. Chiude suuna percezione calorica legata a un saporeagrumato, piacevolmente amaricante. Maturaper un anno in cemento, seguito da 3 mesi diaffinamento in bottiglia",,na,na,na,na,na,Italia,2,,,
,0001844,,,,,,2016,Chianti Riserva I Sodi Del Paretaio,DOCG,Chianti,Badia Di Morrona,Toscana,2,15-19,Sangiovese 100%,nd,Riserva,84,,84,,na,Rosso fermo,13.5,10k,18 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,0001844,,,,,,2017,Chianti Riserva I Sodi Del Paretaio,DOCG,Chianti,Badia Di Morrona,Toscana,4,15-19,Sangiovese 100%,Polpette di carne ripiene di uova di quaglia,Riserva,89,,89,,na,Rosso fermo,14.5,6k,18 mesi in botte,"Il manto rubino limpido introduce raffinatiprofumi floreali e fruttati di viola, rosa,giaggiolo, prugna e ciliegia in confettura, cheaprono la strada a ricordi di chinotto, tabacco,erbe aromatiche, muschio e infine pepe bianco.Al sorso sensazioni fresche e sapide si fondonocon il tannino ancora in fase di integrazione,completate dall'abbraccio calorico presente mamai invadente. Matura per 18 mesi in botti dirovere da 26 ettolitri",,na,na,na,na,na,Italia,2,,,
,0001844,,,,,,2018,Chianti Riserva I Sodi Del Paretaio,DOCG,Chianti,Badia Di Morrona,Toscana,4,15-19,Sangiovese 100%,Lasagne ai porcini,Riserva,89,,89,,na,Rosso fermo,14,15k,18 mesi in botte,"Rubino luminoso. Al naso è sfaccettato: arancia rossa, melo-grano e lampone cedono il passo a mirto, pepe, finocchietto e asentori più profondi di menta, cacao e tabacco biondo. In boccaè raffinato e saporito, equilibrato grazie alla sinergia tra la fre-schezza e il tannino di buona fattura; persistente nel finale diagrume",,na,na,na,na,na,Italia,2,,,
,00001844-1,2.91,22,1.29,54,3.0,,Chianti Riserva I Sodi Del Paretaio,DOCG,Chianti,Badia Di Morrona,Toscana,2★-4★,15-19,Sangiovese 100%,Spezzatino di cinghiale – Reginette al ragù di coniglio – Polpette di carne ripiene di uova di quaglia – Lasagne ai porcini,Riserva,na,,na,,na,Rosso fermo,14,10k,18 mesi in botte o 12 mesi in cemento,,,na,na,na,na,na,Italia,1,,,
,0000664,,,,,,2011,Brunello,DOCG,Brunello Di Montalcino,Banfi,Toscana,2,30-34,Sangiovese 100%,nd,,84,,84,,na,Rosso fermo,14,580k,24 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,0000664,,,,,,2013,Brunello Castello Banfi,DOCG,Brunello Di Montalcino,Banfi,Toscana,2,30-34,Sangiovese 100%,nd,,84,,84,,na,Rosso fermo,14,580k,24 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,0000664,,,,,,2014,Brunello Castello Banfi,DOCG,Brunello Di Montalcino,Banfi,Toscana,2,30-34,Sangiovese 100%,nd,,84,,84,,na,Rosso fermo,14,480k,24 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,0000664,,,,,,2015,Brunello Castello Banfi,DOCG,Brunello Di Montalcino,Banfi,Toscana,3,30-34,Sangiovese 100%,nd,,86,,86,,na,Rosso fermo,14,480k,24 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,0000664,,,,,,2016,Brunello Castello Banfi,DOCG,Brunello Di Montalcino,Banfi,Toscana,3,30-34,Sangiovese 100%,nd,,86,,86,,na,Rosso fermo,14,530k,24 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,0000664-1,1.02,7,0.21,6,2.4,,Brunello Castello Banfi,DOCG,Brunello Di Montalcino,Banfi,Toscana,2★-3★,30-34,Sangiovese 100%,nd,,na,,na,,na,Rosso fermo,14,480k-530k,24 mesi in botte,,"Dal 2013 anche ""Castello Banfi"" nel nome",na,na,na,na,na,Italia,1,,,
,0000665,,,,,,2011,Brunello Poggio Alle Mura,DOCG,Brunello Di Montalcino,Banfi,Toscana,3,40-44,Sangiovese 100%,nd,,85,,85,,na,Rosso fermo,14,40k,24 mesi in botti di varie dimensioni + 12 mesi in bottiglia,,,na,na,na,na,na,Italia,2,,,
,0000665,,,,,,2012,Brunello Poggio Alle Mura,DOCG,Brunello Di Montalcino,Banfi,Toscana,3,40-44,Sangiovese 100%,Carrè di cinta senese al forno,,86,,86,,na,Rosso fermo,13.5,45k,24 mesi in botti di varie dimensioni + 12 mesi in bottiglia,"Granato acceso. Avvio olfattivo di arancia sanguinella, gelatina di more e petali di rosa.  In seguito si affacciano aromi di spezie dolci e pepe nero, paprica, lamponi caramellati e foglia di tabacco su scie di resina. Sorso suadente, dai tannini robusti, all'inizio del loro percorso, eppure già succosi di frutta e ben integrati nella massa glicerica. Una vivace spalla acida contribuisce alla gradevolezza della beva, che chiude con sottile traccia sapida e balsamica. Finale persistente.",,na,na,na,na,na,Italia,2,,,
,0000665,,,,,,2013,Brunello Poggio Alle Mura,DOCG,Brunello Di Montalcino,Banfi,Toscana,3,40-44,Sangiovese 100%,Pecorino di fossa,,86,,86,,na,Rosso fermo,13.5,55k,24 mesi in botti di varie dimensioni + 12 mesi in bottiglia,"Rosso rubino con riflessi granato. Emergono sentori di arancia sanguinella, ciliegia e  mirtillo macerati, per poi virare su evidenze ferrose, balsamiche e speziate. Sorso caldo  e avvolgente, ben supportato da un tannino ancora in evoluzione. ",,na,na,na,na,na,Italia,2,,,
,0000665,,,,,,2014,Brunello Poggio Alle Mura,DOCG,Brunello Di Montalcino,Banfi,Toscana,4,40-44,Sangiovese 100%,Bocconcini di manzo alla cacciatora,,89,,89,,na,Rosso fermo,15,40k,24 mesi in botti di varie dimensioni + 12 mesi in bottiglia,"Rubino intenso con sfumature che virano  al granato. Apertura aristocratica e ricca di ricordi di tabacco e note minerali, poi il tutto si arricchisce di frutta scura sotto spirito, ciliegie, more di rovo, chinotto, liquirizia, salamoia di olive, pot-pourri, timo, noce moscata e soffi balsamici. In bocca ha struttura potente e controllata; un susseguirsi di sapori intensi accompagnano l'equilibrio, caratterizzato da un tannino finemente estratto, facendo presagire un lungo futuro.",,na,na,na,na,na,Italia,2,,,
,0000665,,,,,,2015,Brunello Poggio Alle Mura,DOCG,Brunello Di Montalcino,Banfi,Toscana,4,40-44,Sangiovese 100%,Filetto con senape all'antica,,89,,89,,na,Rosso fermo,15,40k,24 mesi in botti di varie dimensioni + 12 mesi in bottiglia,"Granato scuro. Libera nitidi sentori di ciliegia sotto spirito, susina rossa, caramella al lampone, dragoncello, pepe nero e pimento,  su un orizzonte balsamico di resina, incenso  e abete; indugia infine su reminiscenze  di liquirizia e chiodi di garofano. Gusto caratterizzato dalla traccia fruttata che persiste quasi indefinitamente, ondeggiando sulla tenace trama tannica e sulla freschezza. ",,na,na,na,na,na,Italia,2,,,
,0000665-1,3.02,20,0.48,14,3.4,,Brunello Poggio Alle Mura,DOCG,Brunello Di Montalcino,Banfi,Toscana,3★-4★,40-44,Sangiovese 100%,Carrè di cinta senese al forno – Pecorino di fossa – Bocconcini di manzo alla cacciatora – Filetto con senape all'antica,,na,,na,,na,Rosso fermo,15,40k-55k,24 mesi in botti di varie dimensioni + 12 mesi in bottiglia,,,na,na,na,na,na,Italia,1,,,
,0000662,,,,,,2010,Brunello Riserva Poggio All'Oro,DOCG,Brunello Di Montalcino,Banfi,Toscana,5,100-124,Sangiovese 100%,Guancia di vitello a bassa temperatura,Riserva,93,,93,,na,Rosso fermo,13.5,20k,30 mesi in barrique e botte grande + 12 mesi in bottiglia,"Livrea rosso rubino luminoso che sfuma sul bordo granato. L'impatto olfattivo è dapprima di viola mammola lievemente appassita, felce e alloro, seguito da un'eloquente sensazione balsamica di eucalipto, da rapidi effluvi di rabarbaro, marasca, tabacco da pipa, liquirizia, cannella e un vago accenno di affumicato. Ottimi tannini polposi, accompagnati da una pregiata tensione fresco-sapida; ha pienezza di gusto e notevole persistenza, in cui affiora il bergamotto. ",,na,na,na,na,na,Italia,2,,,
,0000662,,,,,,2012,Brunello Riserva Poggio All'Oro,DOCG,Brunello Di Montalcino,Banfi,Toscana,5,150-174,Sangiovese 100%,Bocconcini di vitello ai funghi porcini,Riserva,93,,93,,na,Rosso fermo,13.5,18k,30 mesi in barrique e botte grande + 12 mesi in bottiglia,"Rosso granato, luminoso e compatto.  Elegante complessità odorosa, di frutti rossi  in confettura, cioccolatino alla ciliegia, lavanda e origano essiccati, olive al forno, sottobosco, tabacco kentucky, radice di liquirizia, cuoio  e ceralacca. Il sorso conquista la bocca  poco a poco, allargandosi in un coinvolgente sviluppo gustativo. Possiede tannini setosi, già apprezzabili ma ancora in evoluzione; ottime l'acidità e la persistenza. ",,na,na,na,na,na,Italia,2,,,
,0000662,,,,,,2013,Brunello Riserva Poggio All'Oro,DOCG,Brunello Di Montalcino,Banfi,Toscana,5,125-149,Sangiovese 100%,Tordelli lucchesi al ragù,Riserva,91,,91,,na,Rosso fermo,13.5,15k,30 mesi in barrique e botte grande + 12 mesi in bottiglia,"Granato acceso. Esordio olfattivo di composta di amarene, scorza d'arancia candita, iris e speziatura di macis e vaniglia; seguono ricordi di tabacco biondo, legno di sandalo, cuoio  e ceralacca, e poi salamoia e sottobosco. L'assaggio è appagante, con tannini finissimi  e levigati, integrati con l'alcol e con un'acidità inattesa, quasi vibrante. Chiude con una lunga persistenza. ",,na,na,na,na,na,Italia,2,,,
,0000662,,,,,,2015,Brunello Riserva Poggio All'Oro,DOCG,Brunello Di Montalcino,Banfi,Toscana,4,125-149,Sangiovese 100%,nd,Riserva,89,,89,,na,Rosso fermo,14.5,20k,30 mesi in barrique e botte grande + 12 mesi in bottiglia,,,na,na,na,na,na,Italia,2,,,
,0000662-1,9.95,67,0.49,14,4.8,,Brunello Riserva Poggio All'Oro,DOCG,Brunello Di Montalcino,Banfi,Toscana,4★-5★,125-149,Sangiovese 100%,Guancia di vitello a bassa temperatura – Bocconcini di vitello ai funghi porcini – Tordelli lucchesi al ragù,,na,,na,,na,Rosso fermo,14.5,15k-20k,30 mesi in barrique e botte grande + 12 mesi in bottiglia,,,na,na,na,na,na,Italia,1,,,
,0000663,,,,,,2010,Brunello Riserva Poggio alle Mura,DOCG,Brunello Di Montalcino,Banfi,Toscana,4,65-59,Sangiovese 100%,Fagiano al forno in salsa tartufata,Riserva,90,,90,,na,Rosso fermo,14.5,12k,30 mesi in botti di varie dimensioni,"Rosso rubino acceso. All'esordio fruttato di lampone e ciliegia segue il floreale di iris, prima di aprirsi con tabacco biondo, cannella, vaniglia, cioccolato e rabarbaro. Esibisce al palato grande struttura tannica di ottima qualità, ha pienezza di gusto e sapidità, oltre che una vena acida essenziale. Il finale è ferroso e agrumato.",,na,na,na,na,na,Italia,2,,,
,0000663,,,,,,2011,Brunello Riserva Poggio alle Mura,DOCG,Brunello Di Montalcino,Banfi,Toscana,5,60-64,Sangiovese 100%,Tournedos alla Rossini,Riserva,93,,93,,na,Rosso fermo,14.5,15k,30 mesi in botti di varie dimensioni,"Veste rubino vivace con sottile bordo granato. Ampio e raffinato, fa emergere all'olfatto, in mirabile successione, sensazioni di amarena sotto spirito, prugna e susina rossa, lavanda, macis, coriandolo e cipresso. Si aggiungono ricordi di angostura, grafite, carruba, scorza d'arancia candita, e ancora refoli di menta, tabacco da pipa, mirto e legno di sandalo. Emozionante al gusto, con tannini levigati, ancorché energici, che si fondono con l'alcol: rilascia impressioni di frutta rossa e tostatura, su toni rinfrescanti. La chiusura è sapida, di grande pulizia e molto persistente.",,na,na,na,na,na,Italia,2,,,
,0000663,,,,,,2012,Brunello Riserva Poggio alle Mura,DOCG,Brunello Di Montalcino,Banfi,Toscana,5,70-74,Sangiovese 100%,Arrosto di manzo in demi-glace,Riserva,91,,91,,na,Rosso fermo,14.5,20k,30 mesi in botti di varie dimensioni,"Rosso granato concentrato. L'attacco olfattivo è netto e deciso, orientato su sensazioni cupe, tostate di caffè, china, humus e fiori rossi, per poi aprirsi su indizi agrumati e di angostura, kirsch, anice e macis. Sorso appagante, con tannini integrati e in equilibrio con la spinta alcolica. Durevole persistenza, con chiusura tonificante. ",,na,na,na,na,na,Italia,2,,,
,0000663,,,,,,2013,Brunello Riserva Poggio alle Mura,DOCG,Brunello Di Montalcino,Banfi,Toscana,5,65-69,Sangiovese 100%,Filetti di fagianella,Riserva,92,,92,,na,Rosso fermo,14,10k,30 mesi in botti di varie dimensioni,"Abito rubino vivace con sottile bordo granato. Ampio all'olfatto, con eleganti sensazioni di susina rossa, gelatina di more, prugna, carruba, macis, scorza di mandarino, foglia di menta, tè nero, lavanda, tabacco, resina di pino, scatola di sigari. Al gusto entusiasma per la ricchezza della materia e l'eleganza che si stratifica. L'ingresso fresco-sapido e i tannini nobili si equilibrano con l'avvolgenza alcolica e glicerica; persistenza invidiabile dai ritorni variegati di spezie dolci, arancia e grafite.",,na,na,na,na,na,Italia,2,,,
,0000663,,,,,,2015,Brunello Riserva Poggio alle Mura,DOCG,Brunello Di Montalcino,Banfi,Toscana,4,65-69,Sangiovese 100%,nd,Riserva,90,,90,,na,Rosso fermo,14.5,20k,30 mesi in botti di varie dimensioni,,,na,na,na,na,na,Italia,2,,,
,0000663-1,10.95,73,1.10,32,4.6,,Brunello Riserva Poggio alle Mura,DOCG,Brunello Di Montalcino,Banfi,Toscana,4★-5★,65-69,Sangiovese 100%,Fagiano al forno in salsa tartufata – Tournedos alla Rossini – Arrosto di manzo in demi-glace – Filetti di fagianella,,na,,na,,na,Rosso fermo,14.5,12k-20k,30 mesi in botti di varie dimensioni,,,na,na,na,na,na,Italia,1,,,
,0000662,,,,,,2016,Brunello Vigna Marrucheto,DOCG,Brunello Di Montalcino,Banfi,Toscana,5,60-64,Sangiovese 100%,Guancia di vitello e scalogni,,94,,94,,na,Rosso fermo,14.5,13k,30 mesi in botte,"Smagliante mantello granato; ampio e raffinato, apre con amare- na sotto spirito, prugna e susina rossa, lavanda e macis, foglia di tabacco su una scia di macchia mediterranea. Sorso suadente, fresco, con tannini vellutati e al tempo stesso energici che bilan- ciano le rotondità. Lungo ricordo di frutta rossa e note balsami- che",,na,na,na,na,na,Italia,2,,,
,0000662-1,2.98,20,0.32,9,5.0,,Brunello Vigna Marrucheto,DOCG,Brunello Di Montalcino,Banfi,Toscana,5★,60-64,Sangiovese 100%,Guancia di vitello e scalogni,,na,,na,,na,Rosso fermo,14.5,13k,30 mesi in botte,,,na,na,na,na,na,Italia,1,,,
,0000493,,,,,,2015,Chianti Classico Fonte Alla Selva,DOCG,Chianti Classico,Banfi,Toscana,2,10-14,Sangiovese 90% – Altri,nd,,84,,84,,na,Rosso fermo,13.5,22k,?,,,na,na,na,na,na,Italia,2,,,
,0000493,,,,,,2016,Chianti Classico Fonte Alla Selva,DOCG,Chianti Classico,Banfi,Toscana,2,10-14,Sangiovese 90% – Altri,nd,,84,,84,,na,Rosso fermo,13.5,40k,?,,,na,na,na,na,na,Italia,2,,,
,0000493,,,,,,2018,Chianti Classico Fonte Alla Selva,DOCG,Chianti Classico,Banfi,Toscana,2,10-14,Sangiovese 90% – Altri,nd,,84,,84,,na,Rosso fermo,15,25k,?,,,na,na,na,na,na,Italia,2,,,
,0000493-1,0.35,3,0.22,#DIV/0!,2.0,,Chianti Classico Fonte Alla Selva,DOCG,Chianti Classico,Banfi,Toscana,2★,10-14,Sangiovese 90% – Altri,nd,,na,,na,,na,Rosso fermo,15,22k-40k,?,,,na,na,na,na,na,Italia,1,,,
,0000494,,,,,,2013,Chianti Classico Gran Selezione Fonte Alla Selva,DOCG,Chianti Classico,Banfi,Toscana,3,15-19,Sangiovese 90% – Altri,nd,Gran Selezione,85,,85,,na,Rosso fermo,14,12k,?,,,na,na,na,na,na,Italia,2,,,
,0000494,,,,,,2015,Chianti Classico Gran Selezione Fonte Alla Selva,DOCG,Chianti Classico,Banfi,Toscana,2,20-24,Sangiovese 90% – Altri,nd,Gran Selezione,84,,84,,na,Rosso fermo,13.5,13k,?,,,na,na,na,na,na,Italia,2,,,
,0000494-1,0.45,3,0.16,#DIV/0!,2.5,,Chianti Classico Gran Selezione Fonte Alla Selva,DOCG,Chianti Classico,Banfi,Toscana,2★-3★,20-24,Sangiovese 90% – Altri,nd,Gran Selezione,na,,na,,na,Rosso fermo,13.5,12k-13k,?,,,na,na,na,na,na,Italia,1,,,
,0000666,,,,,,2013,Brunello,DOCG,Brunello Di Montalcino,Baricci,Toscana,5,45-49,Sangiovese 100%,Capretto al rosmarino,,92,,92,,na,Rosso fermo,14.5,16k,36 mesi in botte grande,"Rubino vivace con riflessi granato. Ventaglio olfattivo intenso e variegato: spazia da riconoscimenti di ciliegia, liquirizia, tamarindo e viola mammola ad aromi di cuoio, eucalipto e indizi delicatamente fumé. All'assaggio dimostra carattere deciso, con tannini di ottima fattura e in piena integrazione gustativa. La freschezza si arricchisce di una scia sapida. Lunghissimo retrogusto di ribes sul finale.",,na,na,na,na,na,Italia,2,,,
,0000666,,,,,,2014,Brunello,DOCG,Brunello Di Montalcino,Baricci,Toscana,5,35-39,Sangiovese 100%,Lombo di maiale ripieno di castagne,,92,,92,,na,Rosso fermo,14,14k,36 mesi in botte grande,"Vivace manto rubino con un lieve cenno granato sul bordo. Emergono ricordi di prugna in confettura e pot-pourri di fiori rossi; seguono sentori di viola mammola, cera d'api, fave  di cacao, tamarindo, su nuance di legno di sandalo e tabacco, liquirizia, cuoio e composta di frutti di bosco. Ingresso gustoso, segnato dal tannino setoso, accompagnato da freschezza prorompente e sostenuta sapidità; un retrogusto di mandorla tostata esalta il finale.",,na,na,na,na,na,Italia,2,,,
