Categoria-1,Ref,Tipologia,OLDVSCORE,VScore,RAWQP,QP,MediaGrezza,Valutazione,PunteggioMedio,ValutazioneAIS,AIS,ValutazioneGR,GR,Anno,Produttore,Nome,Denominazione,Menzioni,Classificazione,Regione,Prezzo,Composizione,Alcol,Bottiglie,Abbinamento,Affinamento,Descrizione,Note,PunteggioGuida3,PunteggioGuida4,PunteggioGuida5,PunteggioGuida6,PunteggioGuida7,Nazione,Entry,Millesimo,Tecnica,Zucchero
,0002014-1,Bianco Fermo,0.68,7,0.40,7,3.0,3★,nd,3★,nd,nd,nd,,Didier Gerbelle,Valle D'Aosta Pinot Gris Les Plantse,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,15-19,Pinot grigio 100%,15,1k,Ravioli di trota salmonata al timo – Bocconcini di coda di rospo,7 mesi in acciaio,,,na,na,na,na,na,Italia,1,,,
,0002002,Bianco Fermo,,,,,,3,86,3,86,nd,nd,2020,Edoardo Braga,Valle D'Aosta Pinot Gris,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,15-19,Pinot grigio 100%,14,1k,nd,6 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0002002-1,Bianco Fermo,0.34,3,0.20,3,3.0,3★,nd,3★,nd,nd,nd,,Edoardo Braga,Valle D'Aosta Pinot Gris,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,15-19,Pinot grigio 100%,14,1k,nd,6 mesi in acciaio,,,na,na,na,na,na,Italia,1,,,
,0002011,Bianco Fermo,,,,,,2,84,2,84,nd,nd,2017,Institut Agricole Regional,Valle D'Aosta Pinot Gris,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,10-14,Pinot grigio 100%,13.5,2k,nd,-,,,na,na,na,na,na,Italia,2,,,
,0002011,Bianco Fermo,,,,,,3,85,3,85,nd,nd,2018,Institut Agricole Regional,Valle D'Aosta Pinot Gris,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,10-14,Pinot grigio 100%,13.5,3k,nd,-,,,na,na,na,na,na,Italia,2,,,
,0002011,Bianco Fermo,,,,,,2,84,2,84,nd,nd,2019,Institut Agricole Regional,Valle D'Aosta Pinot Gris,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,10-14,Pinot grigio 100%,13.5,3k,nd,-,,,na,na,na,na,na,Italia,2,,,
,0002011-1,Bianco Fermo,0.57,6,0.48,8,2.3,2★-3★,nd,2★-3★,nd,nd,nd,,Institut Agricole Regional,Valle D'Aosta Pinot Gris,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,10-14,Pinot grigio 100%,13.5,2k-3k,nd,-,,,na,na,na,na,na,Italia,1,,,
,0002005,Bianco Fermo,,,,,,3,85,3,85,nd,nd,2015,La Plantze,Valle D'Aosta Pinot Gris Trii Rundin,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,15-19,Pinot grigio 100%,13,2k,Risotto con zenzero e gamberi,10 mesi in acciaio e botte,"Oro intenso e brillante. Dal calice si sprigionano note fruttate, speziate e floreali. Subito frutta esotica matura, ananas su tutti, poi vaniglia, tiglio e pietra focaia. Palato avvolgente, fresco e ben equilibrato dalle sensazioni di spezie dolci. Chiude allungandosi sui sentori fruttati e minerali. Matura per 10 mesi metà in acciaio e metà in barrique. ",,na,na,na,na,na,Italia,2,,,
,0002005,Bianco Fermo,,,,,,2,84,2,84,nd,nd,2016,La Plantze,Valle D'Aosta Pinot Gris Trii Rundin,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,15-19,Pinot grigio 100%,13.5,4k,nd,6 mesi in acciaio e botte,,,na,na,na,na,na,Italia,2,,,
,0002005,Bianco Fermo,,,,,,3,85,3,85,nd,nd,2018,La Plantze,Valle D'Aosta Pinot Gris Trii Rundin,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,15-19,Pinot grigio 100%,14,2k,Frittelle di topinambur con fonduta,9 mesi in acciaio e botte,"Giallo paglierino intenso e luminoso. Si apre con frutta esotica, ananas, litchi e fiori di camonmilla, vira poi su frutta secca, miele di acacia, erbe aromatiche e termina con taglienti toni minerali di grafite. Coerente nell'approccio gustativo, dove freschezza e sapidità lasciano la bocca pulita e desiderosa di un ulteriore sorso. Matura per 6 mesi tra acciaio e barrique. ",,na,na,na,na,na,Italia,2,,,
,0002005,Bianco Fermo,,,,,,3,86,3,86,nd,nd,2019,La Plantze,Valle D'Aosta Pinot Gris Trii Rundin,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,15-19,Pinot grigio 100%,13.5,2k,Frittata alle erbe di montagna,9 mesi in acciaio e botte,"Giallo paglierino profondo e vivace, con riverberi dorati. In una cornice percorsa da venti di frutta tropicale, ananas e litchi, si inseriscono cenni di verbena, timo e rosmarino. La beva  è fresca e sapida, arricchita da una chiusura intensa e persistente. Sosta per 9 mesi tra acciaio e barrique. ",,na,na,na,na,na,Italia,2,,,
,0002005,Bianco Fermo,,,,,,3,86,3,86,nd,nd,2020,La Plantze,Valle D'Aosta Pinot Gris Trii Rundin,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,15-19,Pinot grigio 100%,14,2k,nd,9 mesi in acciaio e botte,,,na,na,na,na,na,Italia,2,,,
,0002005-1,Bianco Fermo,1.47,15,0.87,15,2.8,2★-3★,nd,2★-3★,nd,nd,nd,,La Plantze,Valle D'Aosta Pinot Gris Trii Rundin,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,15-19,Pinot grigio 100%,14,2k-4k,Risotto con zenzero e gamberi – Frittelle di topinambur con fonduta – Frittata alle erbe di montagna,6-10 mesi in acciaio e botte,,,na,na,na,na,na,Italia,1,,,
,0002006,Bianco Fermo,,,,,,3,86,3,86,3,86,2019,Les Cretes,Valle D'Aosta Pinot Gris Brulant,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,20-24,Pinot grigio 100%,15,3k,nd,12 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0002006-1,Bianco Fermo,0.34,3,0.15,3,3.0,3★,86.0,3★,86.0,3★,86.0,,Les Cretes,Valle D'Aosta Pinot Gris Brulant,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,20-24,Pinot grigio 100%,15,3k,nd,12 mesi in acciaio,,,na,na,na,na,na,Italia,1,,,
,0002007,Bianco Fermo,,,,,,4,89,4,89,nd,nd,2015,Lo Triolet,Valle D'Aosta Pinot Gris,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,15-19,Pinot grigio 100%,14,12k,Sella di capretto in crosta,6 mesi in acciaio,"Luminoso e leggermente ramato. Affascinante esordio di mela golden, timo limone e miele di eucalipto, poi note minerali di iodio e quarzo. Bocca calda e avvolgente, mirabilmente equilibrata da una trama tannica ben disegnata. Dinamico in chiusura, si muove verso sentori di giglio e pera matura che accompagnano il lungo finale, sapido e corroborante. Vinificato soltanto in acciaio, con maturazione di circa 6 mesi, segue un breve affinamento in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,0002007,Bianco Fermo,,,,,,4,90,4,90,nd,nd,2016,Lo Triolet,Valle D'Aosta Pinot Gris,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,15-19,Pinot grigio 100%,13.5,15k,Risotto alla toma e timo,6 mesi in acciaio,"Luminoso giallo paglierino vivo con sfumature ramate. Colpisce l'olfatto con sensazioni minerali iodate e di quarzo che accompagnano un bouquet fruttato di mela renetta e floreale di tiglio e biancospino. Seguono a ruota  note aromatiche di timo limonato ed erbe di montagna. Al palato risulta avvolgente e ben equilibrato da vibrante freschezza e gustosa sapidità. Si spegne lentamente, lasciando un lungo ricordo salmastro e lievemente speziato. Matura in acciaio dopo una vinificazione sui suoi stessi lieviti per 6 mesi. ",,na,na,na,na,na,Italia,2,,,
,0002007,Bianco Fermo,,,,,,5,91,5,91,nd,nd,2017,Lo Triolet,Valle D'Aosta Pinot Gris,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,15-19,Pinot grigio 100%,14,9k,Risotto ai gamberi di fiume,6 mesi in acciaio,"Giallo paglierino con delicate sfumature colore del rame. Emana profumi dai toni melliti  di acacia, gladiolo e orchidea, cui seguono sensazioni simili al fiore della vite e all’uva spina, il tutto sotteso e guidato da riferimenti a miele di tarassaco, note agrumate e di gesso. Alla beva, la splendida struttura regala un'appagante idea di freschezza e solida masticabilità. Conclusione memore di gesso e uva spina. Vinificazione solo in acciaio. ",,na,na,na,na,na,Italia,2,,,
,0002007,Bianco Fermo,,,,,,4,90,4,90,nd,nd,2018,Lo Triolet,Valle D'Aosta Pinot Gris,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,15-19,Pinot grigio 100%,14,10k,Spaghetti gamberi e zucchine,6 mesi in acciaio,"Giallo paglierino dalle lucenti sfumature ramate. Incede con intense sensazioni di  frutta esotica, papaia, pesca bianca, fiori di sambuco, gladioli ed erbe aromatiche, salvia  e timo selvatico; vira poi su sentori di miele  di tarassaco e cedro. Sontuosa struttura gustativa, dal sorso bilanciato fra toni freschi  e sapidi; dinamico nei cambiamenti, indugia a lungo negli echi di erbe officinali. Permane sulle fecce fini in acciaio per 6 mesi. ",,na,na,na,na,na,Italia,2,,,
,0002007,Bianco Fermo,,,,,,5,92,5,92,nd,nd,2019,Lo Triolet,Valle D'Aosta Pinot Gris,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,15-19,Pinot grigio 100%,14,13k,Baccalà con purò di sedano rapa,6 mesi in acciaio,"Veste giallo paglierino con vividi riflessi verdolini. Intenso e prolungato incipit olfattivo: colpisce da subito con ricordi di pietra focaia, che evolve rapidamente verso la grafite; rivela poco a poco delicati sentori di limone  e citronella, prima che sopraggiungano cenni di timo ed eucalipto. L'ingresso in bocca è teso, avvolgente e in continuo movimento: un perfetto equilibrio tra acidità e morbidezza, e una lunga scia sapida da cui emergono aromi di giglio e rosmarino. Matura per 6 mesi in acciaio. ",,na,na,na,na,na,Italia,2,,,
,0002007,Bianco Fermo,,,,,,4,90,4,89,5,91,2020,Lo Triolet,Valle D'Aosta Pinot Gris,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,15-19,Pinot grigio 100%,14,13k,Salmerino alle erbe al forno,6 mesi in acciaio,"Giallo paglierino di magnifica stoffa, al naso propone una sinte- si perfetta di fiori, gelsomino su tutti, uva spina e frutta a pol- pa bianca, soprattutto pera decana. Al sorso tornano bellissime tracce floreali, ben sostenute da una marcata sapidità.",,na,na,na,na,na,Italia,2,,,
,0002007-1,Bianco Fermo,9.97,100,5.88,100,4.3,4★-5★,90.3,4★-5★,90.2,5★,91.0,,Lo Triolet,Valle D'Aosta Pinot Gris,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,15-19,Pinot grigio 100%,14,9k-15k,Sella di capretto in crosta – Risotto alla toma e timo – Risotto ai gamberi di fiume – Spaghetti gamberi e zucchine – Baccalà con purò di sedano rapa – Salmerino alle erbe al forno,6 mesi in acciaio,,,na,na,na,na,na,Italia,1,,,
,0002154,Bianco Fermo,,,,,,3,86,3,86,nd,nd,2016,Lo Triolet,Valle D'Aosta Pinot Gris Eleve En Barrique,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,20-24,Pinot grigio 100%,14,2k,nd,-,,,na,na,na,na,na,Italia,2,,,
,0002154,Bianco Fermo,,,,,,3,86,3,86,3,86,2018,Lo Triolet,Valle D'Aosta Pinot Gris Eleve En Barrique,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,25-29,Pinot grigio 100%,14,2k,nd,-,,,na,na,na,na,na,Italia,2,,,
,0002154,Bianco Fermo,,,,,,3,86,nd,nd,3,86,2019,Lo Triolet,Valle D'Aosta Pinot Gris Eleve En Barrique,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,25-29,Pinot grigio 100%,14,2k,nd,-,,,na,na,na,na,na,Italia,2,,,
,0002154-1,Bianco Fermo,1.02,10,0.38,6,3.0,3★,86.0,3★,86.0,3★,86.0,,Lo Triolet,Valle D'Aosta Pinot Gris Eleve En Barrique,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,25-29,Pinot grigio 100%,14,2k,nd,-,,,na,na,na,na,na,Italia,1,,,
,0002013,Bianco Fermo,,,,,,1,78,1,78,nd,nd,2019,Noussan,Valle D'Aosta Pinot Gris Tsanté,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,15-19,Pinot grigio 100%,14,1k,nd,-,,,na,na,na,na,na,Italia,2,,,
,0002013-1,Bianco Fermo,0.00,0,0.00,1,1.0,1★,nd,1★,nd,nd,nd,,Noussan,Valle D'Aosta Pinot Gris Tsanté,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,15-19,Pinot grigio 100%,14,1k,nd,-,,,na,na,na,na,na,Italia,1,,,
,0002009,Bianco Fermo,,,,,,3,87,3,87,nd,nd,2017,Rosset Terroir,Valle D'Aosta Pinot Gris,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,15-19,Pinot grigio 100%,14,2k,Risotto alla toma di Gressoney,6 mesi in acciaio,"Giallo paglierino. L'impatto olfattivo apre con un bouquet di fiori di montagna e frutta fresca a polpa bianca, un intreccio di riconoscimenti vegetali, in sinergia con la frutta, e sullo sfondo erbe mediterranee, timo e maggiorana, unite  a fieno appena tagliato. Al palato, una vivace freschezza corroborante si unisce a una  dose di sapidità che invita a un nuovo sorso. Persistenza dalla gradevole conclusione ammandorlata. Riposa per 6 mesi in acciaio. ",,na,na,na,na,na,Italia,2,,,
,0002009,Bianco Fermo,,,,,,5,91,5,91,nd,nd,2018,Rosset Terroir,Valle D'Aosta Pinot Gris,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,20-24,Pinot grigio 100%,14,2k,Vitello tonnato,6 mesi in acciaio,"Giallo paglierino dalle luminose sfumature dorate. Dall'incipit fruttato di papaia, banana e susina gialla prende vita un quadro invitante, nel quale giglio e timo limone si fondono in  un lungo finale speziato di cannella e vaniglia  Al palato è avvolgente e vivo; la freschezza si interseca alla sapidità ben contrapposta a una struttura possente; lunghi ritorni fruttati. Matura per 6 mesi in vasche di acciaio. ",,na,na,na,na,na,Italia,2,,,
,0002009,Bianco Fermo,,,,,,3,88,3,88,nd,nd,2019,Rosset Terroir,Valle D'Aosta Pinot Gris,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,20-24,Pinot grigio 100%,13.5,2k,Tagliolini al nero di seppia,6 mesi in acciaio,"Mantello giallo paglierino vivo, con screziature verdoline. Incipit di mela, pera, poi fiori bianchi di campo, gelsomino, biancospino e un lieve accenno di noce, il tutto permeato da un'aura balsamica. Sorprende il palato con decisa freschezza. Sorso equilibrato e scia conclusiva dai decisi accenni citrini. Sosta in acciaio per 6 mesi ",,na,na,na,na,na,Italia,2,,,
,0002009-1,Bianco Fermo,3.66,37,1.67,28,3.7,3★-5★,nd,3★-5★,nd,nd,nd,,Rosset Terroir,Valle D'Aosta Pinot Gris,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,20-24,Pinot grigio 100%,13.5,2k,Risotto alla toma di Gressoney – Vitello tonnato – Tagliolini al nero di seppia,6 mesi in acciaio,,,na,na,na,na,na,Italia,1,,,
,0002008,Bianco Fermo,,,,,,3,86,3,86,nd,nd,2014,Tanteun E Marietta,Valle D'Aosta Pinot Gris Bizelle,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,20-24,Pinot grigio 100%,13.5,2k,Flan di porri con toma di Gressoney,12 mesi in barrique,"Ramato tipico. Profuma di fiori d'arancio e pesca bianca, che si completano con nuance iodate e lievemente salmastre. Assaggio tonico e di calibrato volume, mirabilmente sostenuto da una pronunciata sapidità. Matura in barrique per 12 mesi e affina per altri 6 in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,0002008,Bianco Fermo,,,,,,4,89,4,89,nd,nd,2015,Tanteun E Marietta,Valle D'Aosta Pinot Gris Bizelle,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,15-19,Pinot grigio 100%,13.5,1k,Petto d'anatra affumicato alle mele,12 mesi in barrique,"Veste di rame e oro con sfumature tipiche del vitigno. Inizialmente timido, chiuso e limitato nelle sensazioni minerali di pirite, quarzo e pietra focaia, sì apre in un secondo tempo su fiori di zagara, pesca gialla, legno di sandalo, fieno e verbena. In bocca è ricco, pieno e goloso con rimandi di arancia, pompelmo e melissa Interessante nel retrolfatto, dove la scia sapida esalta la lunga persistenza. Riposa per 12 mesi in barrique. ",,na,na,na,na,na,Italia,2,,,
,0002008,Bianco Fermo,,,,,,3,86,3,86,nd,nd,2016,Tanteun E Marietta,Valle D'Aosta Pinot Gris Bizelle,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,15-19,Pinot grigio 100%,13.5,2k,nd,12 mesi in barrique,,,na,na,na,na,na,Italia,2,,,
,0002008,Bianco Fermo,,,,,,3,86,3,86,nd,nd,2018,Tanteun E Marietta,Valle D'Aosta Pinot Gris Bizelle,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,25-29,Pinot grigio 100%,13.5,1k,Tacchino alla cacciatora con patate,12 mesi in barrique,"Vivida veste giallo paglierino. Poliedrico profilo olfattivo dalle copiose presenze citrine, cui seguono memorie di zafferano, vaniglia, camomilla, polvere da sparo e pietra focaia. Assaggio avvolgente, ben equilibrato, e persistente epilogo dalla netta im- pronta agrumata.",,na,na,na,na,na,Italia,2,,,
,0002008-1,Bianco Fermo,2.02,20,0.75,13,3.3,3★-4★,nd,3★-4★,nd,nd,nd,,Tanteun E Marietta,Valle D'Aosta Pinot Gris Bizelle,Valle D'Aosta Pinot Gris,,DOC,Valle D'Aosta,25-29,Pinot grigio 100%,13.5,1k-2k,Flan di porri con toma di Gressoney – Petto d'anatra affumicato alle mele – Tacchino alla cacciatora con patate,12 mesi in barrique,,,na,na,na,na,na,Italia,1,,,
,0002181,Bianco Fermo,,,,,,3,86,3,86,nd,nd,2016,Cave Gargantua,Gargantua Blanc,Vino Generico,,,Valle D'Aosta,10-14,Prie Blanc 30% – Traminer aromatico 30% – Altri 40%,12.5,2k,nd,-,,,na,na,na,na,na,Italia,2,,,
,0002181-1,Bianco Fermo,0.34,nd,nd,nd,3.0,3★,nd,3★,nd,nd,nd,,Cave Gargantua,Gargantua Blanc,Vino Generico,,,Valle D'Aosta,10-14,Prie Blanc 30% – Traminer aromatico 30% – Altri 40%,12.5,2k,nd,-,,,na,na,na,na,na,Italia,1,,,
,0002171,Bianco Fermo,,,,,,3,86,3,86,nd,nd,2019,Cave Gargantua,Mon Dada,Vino Generico,,,Valle D'Aosta,20-24,Sauvignon blanc 100%,13.5,2k,nd,-,,,na,na,na,na,na,Italia,2,,,
,0002171-1,Bianco Fermo,0.34,nd,nd,nd,3.0,3★,nd,3★,nd,nd,nd,,Cave Gargantua,Mon Dada,Vino Generico,,,Valle D'Aosta,20-24,Sauvignon blanc 100%,13.5,2k,nd,-,,,na,na,na,na,na,Italia,1,,,
,0002174,Bianco Fermo,,,,,,3,86,3,86,nd,nd,2019,Cave Monaja,Pret A Boire Bianco,Vino Generico,,,Valle D'Aosta,25-29,Muscat blanc a petit grains 40% – Traminer aromatico 40% – Muller Thurgau 20%,13,1k,nd,-,,,na,na,na,na,na,Italia,2,,,
,0002174-1,Bianco Fermo,0.34,nd,nd,nd,3.0,3★,nd,3★,nd,nd,nd,,Cave Monaja,Pret A Boire Bianco,Vino Generico,,,Valle D'Aosta,25-29,Muscat blanc a petit grains 40% – Traminer aromatico 40% – Muller Thurgau 20%,13,1k,nd,-,,,na,na,na,na,na,Italia,1,,,
,0002169,Bianco Fermo,,,,,,2,84,2,84,nd,nd,2017,Didier Gerbelle,Jeux De Cepages L'Atoueyo,Vino Generico,,,Valle D'Aosta,15-19,Traminer Aromatico 25% – Pinot bianco 25% – Sauvignon blanc 25% – Viognier 25%,14,2k,nd,6 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0002169,Bianco Fermo,,,,,,3,85,3,85,nd,nd,2019,Didier Gerbelle,Jeux De Cepages L'Atoueyo,Vino Generico,,,Valle D'Aosta,10-14,Traminer Aromatico 25% – Pinot bianco 25% – Sauvignon blanc 25% – Viognier 25%,13,15k,nd,6 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0002169,Bianco Fermo,,,,,,3,85,3,85,nd,nd,2022,Didier Gerbelle,Jeux De Cepages L'Atoueyo,Vino Generico,,,Valle D'Aosta,10-14,Traminer Aromatico 25% – Pinot bianco 25% – Sauvignon blanc 25% – Viognier 25%,13,15k,nd,6 mesi in acciaio,,"Vino Sans Annee, l'annata indica l'anno in cui è stato oggetto di valutazione",na,na,na,na,na,Italia,2,,,
,0002169-1,Bianco Fermo,0.79,nd,nd,nd,2.7,2★-3★,nd,2★-3★,nd,nd,nd,,Didier Gerbelle,Jeux De Cepages L'Atoueyo,Vino Generico,,,Valle D'Aosta,10-14,Traminer Aromatico 25% – Pinot bianco 25% – Sauvignon blanc 25% – Viognier 25%,13,2k-15k,nd,6 mesi in acciaio,,Prodotto come Sans Annee in alcune annate,na,na,na,na,na,Italia,1,,,
,0002177,Bianco Fermo,,,,,,2,82,2,82,nd,nd,2018,Edoardo Braga,Incipit Bianco,Vino Generico,,,Valle D'Aosta,10-14,Chardonnay 50% – Pinot grigio 50%,13.5,1k,Risotto con fiori di zucca e guanciale,6 mesi in acciaio,"Giallo paglierino dai riflessi dorati. Inizialmente delicati effluvi di frutta secca, noce e pinoli Fanno capolino, in successione, ginestra, mela golden, salvia e fieno. Il sorso è piacevolmente teso, con prevalente sapidità che si allunga sui ricordi di frutta secca e mandorla su tutti. In vasche di acciaio per 6 mesi ",,na,na,na,na,na,Italia,2,,,
,0002177-1,Bianco Fermo,0.12,nd,nd,nd,2.0,2★,nd,2★,nd,nd,nd,,Edoardo Braga,Incipit Bianco,Vino Generico,,,Valle D'Aosta,10-14,Chardonnay 50% – Pinot grigio 50%,13.5,1k,Risotto con fiori di zucca e guanciale,6 mesi in acciaio,,,na,na,na,na,na,Italia,1,,,
,0002180,Bianco Fermo,,,,,,2,82,2,82,nd,nd,2018,Feudo Di San Maurizio,XXII Settembre,Vino Generico,,,Valle D'Aosta,10-14,Prie Blanc 50% – Riesling 50%,12.5,1k,Trota di lago al cartoccio,-,"Paglierino limpido e vivido. Un bouquet di fiori di gelsomino e giglio si sposa al frutto della passione e ad accennati toni di idrocarburo. All'assaggio, la struttura è piacevole e regge facilmente il moderato tenore alcolico. La conclusione citrina, che evoca il limone, è marcatamente gustosa. Solo acciaio. ",,na,na,na,na,na,Italia,2,,,
,0002180-1,Bianco Fermo,0.12,nd,nd,nd,2.0,2★,nd,2★,nd,nd,nd,,Feudo Di San Maurizio,XXII Settembre,Vino Generico,,,Valle D'Aosta,10-14,Prie Blanc 50% – Riesling 50%,12.5,1k,Trota di lago al cartoccio,-,,,na,na,na,na,na,Italia,1,,,
,0002166,Bianco Fermo,,,,,,3,86,3,86,nd,nd,2019,La Cantina Di Cuneaz,Boton D'Or,Vino Generico,,,Valle D'Aosta,10-14,Muscat blanc a petit grains 100%,12.5,1k,Tagliolini al salmone affumicato,8 mesi in acciaio,"Giallo paglierino profondo, con intensi e vivaci lampi dorati. Vigoroso approccio olfattivo di fiori gialli, narciso e tarassaco; poi screziature di erbe aromatiche, quali salvia e timo, delicatamente marcate da cenni minerali, In coerenza con la parte odorosa, mostra un palato che regala intensità, beva equilibrata e persistenza. Lungo epilogo dai ricordi di pesca. Sosta in acciaio sui lieviti per 8 mesi ",,na,na,na,na,na,Italia,2,,,
,0002166-1,Bianco Fermo,0.34,nd,nd,nd,3.0,3★,nd,3★,nd,nd,nd,,La Cantina Di Cuneaz,Boton D'Or,Vino Generico,,,Valle D'Aosta,10-14,Muscat blanc a petit grains 100%,12.5,1k,Risotto con fiori di zucca e guanciale – Trota di lago al cartoccio – Tagliolini al salmone affumicato,8 mesi in acciaio,,,na,na,na,na,na,Italia,1,,,
,0002165,Bianco Fermo,,,,,,3,86,3,86,nd,nd,2016,La Plantze,Al Mister,Vino Generico,,,Valle D'Aosta,15-19,Sauvignon 50% – Viognier 50%,13,1k,Zuppa di farro e ortica,7 mesi in anfora,"Veste dorata intensa. Si apre all'olfatto con sensazioni balsamiche e aromatiche, vira poi su sentori fruttati di pesca e albicocca e bouquet di fiori gialli. Impatto gustativo gradevolmente fresco, con ritorni di frutta e in chiusura una leggera scia di erba fresca. Fermenta e sosta in anfora per 7 mesi ",,na,na,na,na,na,Italia,2,,,
,0002165,Bianco Fermo,,,,,,3,86,3,86,nd,nd,2017,La Plantze,Al Mister,Vino Generico,,,Valle D'Aosta,25-29,Sauvignon 50% – Viognier 50%,13,1k,Risotto alle erbe di montagna e formaggio,7 mesi in anfora,"Giallo paglierino con riflessi dorati, dotato  di bella luminosità. | fiori di giacinto aprono  la successione dei riconoscimenti, tra i  quali emergono il miele millefiori e un soffio balsamico. ll palato è deliziato da una spiccata salinità, ben equilibrata dalla vellutata stoffa. Il sorso è lungo e persistente. Fermenta e matura in anfora per 7 mesi ",,na,na,na,na,na,Italia,2,,,
,0002165,Bianco Fermo,,,,,,3,86,3,86,nd,nd,2018,La Plantze,Al Mister,Vino Generico,,,Valle D'Aosta,25-29,Sauvignon 80% – Viognier 20%,13,1k,Paccheri al pesto di rucola,9 mesi in anfora,"Paglierino smagliante. Esordio di frutta a polpa gialla, pesca e ananas su tutti, poi vira su sentori di litchi, ginestra e dente di leone, con finale lievemente iodato. Palato morbido, ben sostenuto da una marcata sapidità che prolunga il piacere gustativo. Fermenta in anfora, dove matura per 9 mesi. ",,na,na,na,na,na,Italia,2,,,
,0002165,Bianco Fermo,,,,,,3,86,3,86,nd,nd,2020,La Plantze,Al Mister,Vino Generico,,,Valle D'Aosta,25-29,Sauvignon 80% – Viognier 20%,13,1k,Paccheri al pesto di rucola,9 mesi in anfora,"Paglierino smagliante. Esordio di frutta a polpa gialla, pesca e ananas su tutti, poi vira su sentori di litchi, ginestra e dente di leone, con finale lievemente iodato. Palato morbido, ben sostenuto da una marcata sapidità che prolunga il piacere gustativo. Fermenta in anfora, dove matura per 9 mesi. ",,na,na,na,na,na,Italia,2,,,
,0002165-1,Bianco Fermo,1.35,nd,nd,nd,3.0,3★,nd,3★,nd,nd,nd,,La Plantze,Al Mister,Vino Generico,,,Valle D'Aosta,25-29,Sauvignon 80% – Viognier 20%,13,1k,Zuppa di farro e ortica – Risotto alle erbe di montagna e formaggio – Paccheri al pesto di rucola,7-9 mesi in anfora,,,na,na,na,na,na,Italia,1,,,
,0002168,Bianco Fermo,,,,,,2,84,2,84,nd,nd,2017,La Plantze,Ferox,Vino Generico,,,Valle D'Aosta,15-19,Sauvignon blanc 100%,13,1k,nd,6 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,0002168,Bianco Fermo,,,,,,4,89,4,89,nd,nd,2018,La Plantze,Ferox,Vino Generico,,,Valle D'Aosta,15-19,Sauvignon blanc 100%,13,1k,Filetto di maiale impanato alle noci con salsa al rosmarino,6 mesi in botte,"Giallo paglierino con luminosi riflessi dorati. Opulento ventaglio olfattivo che apre su banana, ananas, per virare poi su pesca gialla, agrumi canditi, toni vegetali di bosso ed erba essiccata, rosa gialla, tiglio e camomilla; chiusura quasi salmastra, con sentori burrosi e di spezie dolci. Il sorso fresco e invitante regala una beva di grande appagamento,  con l'evidente sapidità che si stempera nella chiusura balsamica. Macerazione per 10 giorni in legno, seguono 6 mesi in rovere da 600 litri ",,na,na,na,na,na,Italia,2,,,
