Categoria-1,Ref,OLDVSCORE,VScore,RAWQP,QP,MediaGrezza,Valutazione,Anno,Produttore,Nome,Denominazione,Menzioni,Classificazione,Regione,PunteggioMedio,ValutazioneAIS,AIS,ValutazioneGR,GR,Alcol,Prezzo,Tipologia,Composizione,Bottiglie,Abbinamento,Affinamento,Descrizione,Note,PunteggioGuida3,PunteggioGuida4,PunteggioGuida5,PunteggioGuida6,PunteggioGuida7,Nazione,Entry,Millesimo,Tecnica,Zucchero
,0002054,,,,,,4,2015,Bettini,Sfursat Di Valtellina,Sforzato Di Valtellina,,DOCG,Lombardia,89,,89,,na,15,40-44,Rosso Fermo,Nebbiolo 100%,10k,Spezzatino di manzo in umido,3 mesi di appassimento + 12 mesi in barrique,"Vivace e radioso rubino dai riflessi granato, consistente. Ventaglio olfattivo vivido e composito, con petali di fiori secchi, viola e iris, confettura di prugna, erbe di montagna e alloro, resina, tè verde, tabacco e fave di cacao. Sorso aristocratico, rotondo e avvolgente; la marcata struttura è ben sorretta da viva freschezza e dal giovane tannino. Lunga e intrigante persistenza che regala aromi tostati e speziati. Ottima prospettiva d'invecchiamento. Appassimento naturale sui graticci per 2 mesi, fermenta in acciaio e matura in barrique per un anno. ",,na,na,na,na,na,Italia,2,,,
,0002054,,,,,,4,2017,Bettini,Sfursat Di Valtellina,Sforzato Di Valtellina,,DOCG,Lombardia,89,,89,,na,15.5,40-44,Rosso Fermo,Nebbiolo 100%,9k,,3 mesi di appassimento + 12 mesi in barrique,,,na,na,na,na,na,Italia,2,,,
,00002054-1,2.34,21,0.51,20,3.7,3★-4★,,Bettini,Sfursat Di Valtellina,Sforzato Di Valtellina,,DOCG,Lombardia,na,,na,,na,15.5,40-44,Rosso Fermo,Nebbiolo 100%,9k-10k,Capriolo in umido ai mirtilli – Spezzatino di manzo in umido,3 mesi di appassimento + 12 mesi in barrique,,,na,na,na,na,na,Italia,1,,,
,0002055,,,,,,3,2015,Aldo Rainoldi,Sfursat Di Valtellina,Sforzato Di Valtellina,,DOCG,Lombardia,86,,86,,na,15,30-34,Rosso Fermo,Nebbiolo 100%,9k,Tzigoiner e cicorino,20 mesi in botte,"Rosso granato tenue, connotato da sfumature aranciate che lasciano intuire complessità e raffinatezza. L'olfatto conduce verso agrumi, frutti di bosco e fiori secchi, per aprire poi a presenze terziarie di liquirizia e una traccia balsamica. In bocca, l'impronta del legno si fonde a un tannino rotondo e alla morbidezza; la freschezza snellisce il sorso e ne amplifica l'espressione gustativa. Riposa per 20 mesi in botte grande e per 12 affina in bottiglia ",,na,na,na,na,na,Italia,2,,,
,0002055,,,,,,3,2018,Aldo Rainoldi,Sfursat Di Valtellina,Sforzato Di Valtellina,,DOCG,Lombardia,88,,88,,na,15.5,30-34,Rosso Fermo,Nebbiolo 100%,7k,,24 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,00002055-1,0.68,6,0.19,8,3.0,3★,,Aldo Rainoldi,Sfursat Di Valtellina,Sforzato Di Valtellina,,DOCG,Lombardia,na,,na,,na,15.5,30-34,Rosso Fermo,Nebbiolo 100%,7k-9k,Tzigoiner e cicorino,20-24 mesi in botte,,,na,na,na,na,na,Italia,1,,,
,0002056,,,,,,4,2016,La Grazia,Sforzato Di Valtellina Fiori Di Sparta,Sforzato Di Valtellina,,DOCG,Lombardia,90,,90,,na,15,35-39,Rosso Fermo,Nebbiolo 100%,2k,Storico ribelle stagionato,32 mesi in barrique,"Limpido e luminoso rosso rubino con riflessi granato. l profilo olfattivo è complesso e d’effetto, con sensazioni che rimandano alla mora e alla ciliegia sotto spirito fino alla prugna disidratata; seguono una speziatura di cannella, polvere di cacao, accenni eterei e vegetali e leggeri soffi minerali. l sorso potente, caldo e vellutato, è equilibrato e slanciato da una vena sapida; lunghissima la permanenza al palato. Dopo 3 mesi di appassimento sui graticci matura per 32 mesi in barrique e botti da 15 ettolitri ",,na,na,na,na,na,Italia,2,,,
,00002056-1,1.00,9,0.25,10,4.0,4★,,La Grazia,Sforzato Di Valtellina Fiori Di Sparta,Sforzato Di Valtellina,,DOCG,Lombardia,na,,na,,na,15,35-39,Rosso Fermo,Nebbiolo 100%,2k,Storico ribelle stagionato,32 mesi in barrique,,,na,na,na,na,na,Italia,1,,,
,0002057,,,,,,3,2013,Contadi Gasparotti,Sforzato Di Valtellina Genio,Sforzato Di Valtellina,,DOCG,Lombardia,86,,86,,na,14.5,30-34,Rosso Fermo,Nebbiolo 100%,3k,Filetto di cervo in salsa di mirtilli,24 mesi in botte,"Rosso granato luminoso e trasparente. Al naso emergono ricordi floreali e agrumati di grande eleganza e finezza, uniti a ciliegia, mirtillo, grafite, tabacco, noce moscata e liquirizia. Al Sorso si percepisce una soave freschezza e  un corpo pieno e raffinato, dotato di tannino levigato e pronunciata sapidità; chiude con  una lunga persistenza, sorretta da una scia balsamica. Appassimento delle uve in cassette per 3 mesi; maturazione in acciaio e legno grande per 2 anni ",,na,na,na,na,na,Italia,2,,,
,0002057,,,,,,3,2015,Contadi Gasparotti,Sforzato Di Valtellina Genio,Sforzato Di Valtellina,,DOCG,Lombardia,86,,86,,na,14.5,30-34,Rosso Fermo,Nebbiolo 100%,3k,Pappardelle al sugo di cinghiale,24 mesi in botte,"Luminosità tra sfumature granato di ottima consistenza. Colpisce con viola e rose rosse appassite, insieme a una preziosa speziatura  di pepe, anice stellato e cardamomo. A tratti affiora un ricordo di ciliegia sotto spirito, con un finale di note terziarie in evoluzione. Al palato  è suadente, con una ricca speziatura e una traccia eterea. ll tannino è rotondo e fine. Lunga persistenza. Uve appassite 3 mesi in cassette, matura 24 mesi in legno di rovere e castagno. ",,na,na,na,na,na,Italia,2,,,
,0002057,,,,,,3,2016,Contadi Gasparotti,Sforzato Di Valtellina Genio,Sforzato Di Valtellina,,DOCG,Lombardia,86,,86,,na,14.5,30-34,Rosso Fermo,Nebbiolo 100%,3k,Pizzoccheri valtellinesi,24 mesi in botte,"Colore rubino di buona consistenza. Al naso seducenti trame fruttate rimandano a ciliegie sotto spirito, alla mora e al ribes in confettura; sullo sfondo sbuffi di cacao, caffè, cioccolato fuso, impreziositi da un corredo speziato intrigante, in cui spiccano cannella e chiodi di garofano. Al palato è avvolgente, carezzevole e di ottima bevibilità, con sensazioni fruttate che rinfrescano il sorso. Matura per 24 mesi in botti di rovere e castagno. ",,na,na,na,na,na,Italia,2,,,
,00002057-1,1.02,9,0.29,11,3.0,3★,,Contadi Gasparotti,Sforzato Di Valtellina Genio,Sforzato Di Valtellina,,DOCG,Lombardia,na,,na,,na,14.5,30-34,Rosso Fermo,Nebbiolo 100%,3k,Filetto di cervo in salsa di mirtilli – Pappardelle al sugo di cinghiale – Pizzoccheri valtellinesi,24 mesi in botte,,,na,na,na,na,na,Italia,1,,,
,0002058,,,,,,3,2010,Nobili,Sforzato Di Valtellina Il Montescale,Sforzato Di Valtellina,,DOCG,Lombardia,88,,88,,na,14.5,25-29,Rosso Fermo,Nebbiolo 100%,2k,Petto d'anatra scaloppato all'arancia,30 mesi in botte,"Rosso granato. Tanta frutta all'olfatto, fresca e in confettura: frutti di bosco, prugna, ciliegia e arancia rossa. Rosa e tabacco su uno sfondo minerale e speziato. All'assaggio il vino è strutturato, fresco, con tannini setosi  e una percettibile sapidità. Nel complesso fine con sensazione pepata di ritorno. Riposa per 24 mesi in botte di rovere da 20 ettolitri e affinamento in bottiglia per altri 12 mesi. ",,na,na,na,na,na,Italia,2,,,
,0002058,,,,,,5,2011,Nobili,Sforzato Di Valtellina Il Montescale,Sforzato Di Valtellina,,DOCG,Lombardia,91,,91,,na,14.5,25-29,Rosso Fermo,Nebbiolo 100%,2k,Risotto alla zucca con ristretto di marsala e caffè,30 mesi in botte,"Rubino con riflessi granato. Ventaglio olfattivo ricco e variegato: dal distillato di frutta alla grafite, dal tabacco fermentato al rabarbaro, con cardamomo, petali di rosa essiccati e una punta di pellame nel finale. Eccellente armonia in bocca, ogni componente si fonde alle  altre; tannino vellutato, sorso lungo e setoso. Appassimento per 5 mesi sui graticci, seguono 24 mesi in botte di rovere da 20 ettolitri e altri 18 di affinamento in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,0002058,,,,,,3,2012,Nobili,Sforzato Di Valtellina Il Montescale,Sforzato Di Valtellina,,DOCG,Lombardia,88,,88,,na,14.5,30-34,Rosso Fermo,Nebbiolo 100%,2k,Manzo affumicato su crema di topinambur,30 mesi in botte,"Granato lieve e lucente. L'impatto olfattivo rivela frutta rossa sotto spirito in evidenza, accompagnata da presenze floreali scure, canfora, infuso di melissa, menta essiccata e radice di genziana. Robusto il sorso, dominato da un tannino ben presente, con freschezza a mitigare l'abbraccio alcolico. Finale dagli aromi di frutta e tabacco. Appassimento delle uve su graticci di legno. Riposa per 30 mesi in rovere da 20 ettolitri. ",,na,na,na,na,na,Italia,2,,,
,0002058,,,,,,5,2013,Nobili,Sforzato Di Valtellina Il Montescale,Sforzato Di Valtellina,,DOCG,Lombardia,91,,91,,na,14.5,30-34,Rosso Fermo,Nebbiolo 100%,2k,Fagiano ripieno,30 mesi in botte,"Tonalità granato con sfumature leggiadre e luminose. Al naso effluvi di tabacco, cacao  e caffè: la sontuosa speziatura avvolge i  sensi, mentre lentamente affiorano sentori  di frutta sotto spirito, prugne, more e mirtilli; cardamomo, chiodi di garofano e pepe nero si alternano a note più dolci di vaniglia; cioccolato fondente nel finale. Al palato il tannino ha trama fine e centrata, levigata; sapidità e mineralità son ben espresse, per un sorso lunghissimo e seducente. Appassimento delle uve sui graticci per 5 mesi; poi rimane per 30 mesi in botti di rovere e per altri 18 in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,0002058,,,,,,3,2015,Nobili,Sforzato Di Valtellina Il Montescale,Sforzato Di Valtellina,,DOCG,Lombardia,87,,87,,na,15.5,30-34,Rosso Fermo,Nebbiolo 100%,2k,Stracotto d'asino,30 mesi in botte,"Rosso granato luminoso. Il bouquet si  articola su intensità di frutta macerata e sotto spirito, con sfumature di agrume candito e una speziatura intrigante. Cenere, tabacco e smalto completano il corredo olfattivo con profumi terziari. Al palato è vibrante, con  un esuberante tenore alcolico mitigato da freschezza e tannino levigato. Persistenza lunga e appagante. Maturazione per 30 mesi in botti di rovere da 20 ettolitri, seguiti da 18 mesi di affinamento in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,00002058-1,6.98,64,1.99,78,3.8,3★-5★,,Nobili,Sforzato Di Valtellina Il Montescale,Sforzato Di Valtellina,,DOCG,Lombardia,na,,na,,na,15.5,30-34,Rosso Fermo,Nebbiolo 100%,2k,Petto d'anatra scaloppato all'arancia – Risotto alla zucca con ristretto di marsala e caffè – Manzo affumicato su crema di topinambur – Fagiano ripieno – Stracotto d'asino,30 mesi in botte,,,na,na,na,na,na,Italia,1,,,
,0002059,,,,,,3,2013,Tenuta Scerscè,Sforzato Di Valtellina Infinito,Sforzato Di Valtellina,,DOCG,Lombardia,86,,86,,na,15,30-34,Rosso Fermo,Nebbiolo 100%,1k,Pizzoccheri,20 mesi in botte grande,"Il colore rosso granato parla già di eleganza La complessità del naso è annunciata da  una presenza tostata, per poi aprirsi in una varietà sorprendente di spezie, tra le quali prevalgono la noce moscata, il cardamomo e la vaniglia; chiude infine su un accenno etereo. Il palato è avvinto dalla morbida pienezza del corpo, scolpito dalla definizione del tannino, pronunciato ma perfettamente gestito. L'acidità conduce il sorso verso una lunga persistenza. Fermenta e matura, per 20 mesi, in legno grande e affina per un anno in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,0002059,,,,,,3,2016,Tenuta Scerscè,Sforzato Di Valtellina Infinito,Sforzato Di Valtellina,,DOCG,Lombardia,86,,86,,na,14.5,30-34,Rosso Fermo,Nebbiolo 100%,4k,Cervo in umido,18 mesi in botte grande,"Rosso granato di bellissima trasparenza. Naso stratificato, complesso, con apertura sul ribes, la fragolina di bosco, per poi evolvere sempre di più, passando dalla rosa, al tamarindo, al miele. Col tempo si manifestano sentori di grande complessità come il cuoio o la ciliegia sotto spirito per poi arrivare alla vaniglia, al tabacco. Ingresso in bocca setoso ed elegante con un tannino molto vellutato in battaglia continua con la morbidezza e la grande freschezza Appassimento naturale sui graticci. Fermenta in tini troncoconici e matura 18 mesi in tonneau da 700 litri ",,na,na,na,na,na,Italia,2,,,
,0002059,,,,,,3,2017,Tenuta Scerscè,Sforzato Di Valtellina Infinito,Sforzato Di Valtellina,,DOCG,Lombardia,86,,86,,na,15,35-39,Rosso Fermo,Nebbiolo 100%,4k,Spezzatino di cinghiale con polenta taragna,12 mesi in botte grande,"Sfoggia una veste rosso granato vivido  e denso. Si annuncia con un bouquet sontuosamente variegato nel quale via via emergono richiami di rosa damascena, ciliegie e susine in confettura, pomodori confit, anice stellato, quindi pepe rosa, noce moscata, legno di sandalo, cuoio. Pieno e avvolgente all'assaggio, dotato di un tannino rotondo, risulta di ineccepibile coerenza, con interminabile finale. Riposa in grandi botti di rovere per un anno. ",,na,na,na,na,na,Italia,2,,,
,00002059-1,1.02,9,0.25,10,3.0,3★,,Tenuta Scerscè,Sforzato Di Valtellina Infinito,Sforzato Di Valtellina,,DOCG,Lombardia,na,,na,,na,15,35-39,Rosso Fermo,Nebbiolo 100%,1k-4k,Pizzoccheri – Cervo in umido – Spezzatino di cinghiale con polenta taragna,12-20 mesi in botte grande,,,na,na,na,na,na,Italia,1,,,
,0002060,,,,,,3,2010,Caven,Sforzato Di Valtellina Messere,Sforzato Di Valtellina,,DOCG,Lombardia,86,,86,,na,15,45-49,Rosso Fermo,Nebbiolo 100%,15k,Brasato al vino,3 mesi di appassimento + 24 mesi in botte grande,"Luminoso granato. Al naso sprigiona profumi di prugne in confettura e fini sentori speziati e tostati, con riconoscimenti di pepe, tabacco e cuoio, che si ritrovano anche al palato. Intensità e tannino in evidenza accompagnano la beva per una lunga persistenza. Riposa tra barrique e tonneau per 24 mesi e affina in bottiglia per altri 8 ",,na,na,na,na,na,Italia,2,,,
,0002060,,,,,,3,2011,Caven,Sforzato Di Valtellina Messere,Sforzato Di Valtellina,,DOCG,Lombardia,86,,86,,na,15,45-49,Rosso Fermo,Nebbiolo 100%,14k,Filetto di manzo su letto di carciofi,3 mesi di appassimento + 24 mesi in botte grande,"Rosso granato. Esordisce all'olfatto rivelando intense sensazioni di mirtilli, lamponi e ciliegia in confettura; poi un tocco di violetta, cannella, pepe rosa, e ancora cioccolato al latte, su  un sottofondo leggermente minerale. Bocca ricca e raffinata: l'equilibrio è raggiunto e il tannino perfettamente integrato. Chiude con una persistenza speziata. Appassimento di 3 mesi in fruttaio. Matura per 2 anni tra acciaio, barrique e botti da 35 ettolitri. ",,na,na,na,na,na,Italia,2,,,
,0002060,,,,,,3,2013,Caven,Sforzato Di Valtellina Messere,Sforzato Di Valtellina,,DOCG,Lombardia,87,,87,,na,15,45-49,Rosso Fermo,Nebbiolo 100%,13k,Tartare di manzo con salsa ai mirtilli rossi,3 mesi di appassimento + 24 mesi in botte grande,"Rosso rubino intenso e luminoso. In primo piano risalta un bouquet di eleganti speziature di pepe e noce moscata, su una scia vivace  di olive nere. Sbuffi di liquirizia si alternano a ricordi di frutta a bacca nera, mirtilli e more, con evidenze di violetta. Il palato è avvolgente, dalla perfetta corrispondenza gusto-olfattiva, amplificata da sensazioni di frutta sotto spirito e da una vena alcolica ben gestita. | tannini sono ben integrati nel tessuto, dotato di ottima sapidità. Fermenta in acciaio e cemento; matura per 12 mesi in barrique e per altri 6 in botte di rovere da 35 ettolitri ",,na,na,na,na,na,Italia,2,,,
,0002060,,,,,,5,2015,Caven,Sforzato Di Valtellina Messere,Sforzato Di Valtellina,,DOCG,Lombardia,91,,91,,na,15,50-54,Rosso Fermo,Nebbiolo 100%,7k,Costine di maiale al lavecc,3 mesi di appassimento + 18 mesi in botti di varie dimensioni,"Rosso rubino intenso e luminoso. In primo piano risalta un bouquet di eleganti speziature di pepe e noce moscata, su una scia vivace  di olive nere. Sbuffi di liquirizia si alternano a ricordi di frutta a bacca nera, mirtilli e more, con evidenze di violetta. Il palato è avvolgente, dalla perfetta corrispondenza gusto-olfattiva, amplificata da sensazioni di frutta sotto spirito e da una vena alcolica ben gestita. | tannini sono ben integrati nel tessuto, dotato di ottima sapidità. Fermenta in acciaio e cemento; matura per 12 mesi in barrique e per altri 6 in botte di rovere da 35 ettolitri ",,na,na,na,na,na,Italia,2,,,
,00002060-1,4.00,37,0.70,27,3.5,3★-5★,,Caven,Sforzato Di Valtellina Messere,Sforzato Di Valtellina,,DOCG,Lombardia,na,,na,,na,15,50-54,Rosso Fermo,Nebbiolo 100%,7k-15k,Brasato al vino – Filetto di manzo su letto di carciofi – Tartare di manzo con salsa ai mirtilli rossi – Costine di maiale al lavecc,3 mesi di appassimento + 18-24 mesi in botti di varie dimensioni,,,na,na,na,na,na,Italia,1,,,
,0002061,,,,,,4,2011,La Perla,Sforzato Di Valtellina Quattro Soli,Sforzato Di Valtellina,,DOCG,Lombardia,90,,90,,na,14.5,40-44,Rosso Fermo,Nebbiolo 100%,3k,Spezzatino di capriolo,3 mesi di appassimento + 32 mesi in botte grande,"Granato limpido con primi bagliori aranciati, di buona consistenza. Sfoggia un raffinato bouquet olfattivo che spazia da marasca, mora di rovo e prugna, anche in confettura, alla rosa lievemente appassita, con chiodi di garofano, cannella, erbe aromatiche, fino alle bacche di ginepro. Sorso elegante, in perfetta coerenza con l’olfatto, corposo e squisitamente sapido, dal tannino levigato. Spiccata la persistenza su note speziate. Si eleva per 24 mesi in botti di rovere da 10 ettolitri e affina per altri 12 in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,0002061,,,,,,4,2013,La Perla,Sforzato Di Valtellina Quattro Soli,Sforzato Di Valtellina,,DOCG,Lombardia,89,,89,,na,14.5,40-44,Rosso Fermo,Nebbiolo 100%,4k,Stracotto d'asino,3 mesi di appassimento + 32 mesi in botte grande,"Luminoso rubino, con qualche riflesso mattone. Profilo olfattivo composito, con evidenze dolci e speziate di confetture di amarena e frutti di bosco, miele, caramello, tabacco, liquirizia e pepe nero. All'assaggio è possente, fresco e sapido, dal tannino smussato. Denso e molto persistente. Appassimento delle uve per 3 mesi in fruttaio. Matura per 32 mesi in botte grande, seguiti da un anno di affinamento in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,0002061,,,,,,3,2014,La Perla,Sforzato Di Valtellina Quattro Soli,Sforzato Di Valtellina,,DOCG,Lombardia,86,,86,,na,14.5,40-44,Rosso Fermo,Nebbiolo 100%,3k,Cinghiale in umido,3 mesi di appassimento + 32 mesi in botte grande,"Rosso granato tenue. Vivido al naso: arancia rossa, marasca, prugna, nocciola tostata, vaniglia, cannella, pepe nero, percezioni di radice di liquirizia, rabarbaro ed essenze balsamiche. In bocca dimostra la sua struttura, una grande freschezza e un tannino ben evidente; il sorso è vigoroso, pienamente vitale; chiude con ritorni di spezie dolci, frutta rossa e una leggera tostatura. Dopo 3 mesi  di appassimento in fruttaio, fermentazione e maturazione in acciaio per 4 mesi, 32 in botte grande. ",,na,na,na,na,na,Italia,2,,,
,0002061,,,,,,3,2015,La Perla,Sforzato Di Valtellina Quattro Soli,Sforzato Di Valtellina,,DOCG,Lombardia,86,,86,,na,15,40-44,Rosso Fermo,Nebbiolo 100%,3k,Tartare di manzo con salsa ai mirtilli rossi,3 mesi di appassimento + 18 mesi in botti di varie dimensioni,"Mantello rubino fitto. Incipit di mora e marasca; si amplia con arancia rossa, pot-pourri di  rose, cardamomo, chiodi di garofano, radici di rabarbaro e liquirizia. l'assaggio, equilibrato, mostra un tannino ben coeso con l'energica struttura. Intenso, permane negli aromi di spezie e di piccole bacche scure in confettura Appassimento dell'uva in fruttai per circa 3 mesi. Maturazione in botti da 5 e 10 ettolitri per 36 mesi ",,na,na,na,na,na,Italia,2,,,
,00002061-1,2.68,24,0.58,23,3.5,3★-4★,,La Perla,Sforzato Di Valtellina Quattro Soli,Sforzato Di Valtellina,,DOCG,Lombardia,na,,na,,na,15,40-44,Rosso Fermo,Nebbiolo 100%,3k-4k,Spezzatino di capriolo – Stracotto d'asino – Cinghiale in umido – Tartare di manzo con salsa ai mirtilli rossi,3 mesi di appassimento + 18-32 mesi in botti di varie dimensioni,,,na,na,na,na,na,Italia,1,,,
,0002062,,,,,,5,2012,Triacca,Sforzato Di Valtellina San Domenico,Sforzato Di Valtellina,,DOCG,Lombardia,91,,91,,na,15,25-29,Rosso Fermo,Nebbiolo 100%,50k,Stufato di cinghiale,2 mesi di appassimento + 18 mesi in botte grande,"Granato luminoso. | profumi si dispiegano  su diverse famiglie olfattive: mora e prugna  in primis, quindi rododendro, humus, funghi, sottobosco, tabacco, pepe, cannella, eucalipto. All'ingresso in bocca il vino è potente, elegante e molto fine. Impeccabile nell'approccio tattile e nel dispiegamento aromatico, sino a un finale lungo e pieno. Appassimento in cassette per 2 mesi delle uve, riposa per 18 mesi in botti da 50 ettolitri e infine 10 mesi in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,0002062,,,,,,4,2013,Triacca,Sforzato Di Valtellina San Domenico,Sforzato Di Valtellina,,DOCG,Lombardia,89,,89,,na,15,25-29,Rosso Fermo,Nebbiolo 100%,40k,Tagliata di cavallo,2 mesi di appassimento + 18 mesi in botte grande,"Rosso rubino con riflessi granato. Naso esuberante, dall'impronta balsamica ed  eterea, poi frutta e fiori in macerazione; a seguire tabacco biondo, dattero, pepe nero e una leggera tostatura di caffè. La finezza sì ripresenta in bocca: grande bevibilità, sostenuta da una generosa freschezza. Tannino  integrato e setoso; chiusura di lunga durata. Appassimento delle uve per 2 mesi in cassette; riposa per 18 mesi in botti da 50 ettolitri ",,na,na,na,na,na,Italia,2,,,
,0002062,,,,,,3,2015,Triacca,Sforzato Di Valtellina San Domenico,Sforzato Di Valtellina,,DOCG,Lombardia,87,,87,,na,15,30-34,Rosso Fermo,Nebbiolo 100%,40k,Fagiano tartufato,2 mesi di appassimento + 18 mesi in botte grande,"Luminoso e vivace rosso granato. Profuma  di prugna disidratata, mora, pot-pourri di violetta, garofano e lavanda, cardamomo, liquirizia e anice, erbe alpine, legno, caffè e polvere di cacao. L'assaggio è incentrato sulla balsamicità; il tannino è garbato, e l'equilibrio amalgama tutte le componenti; persistenza lunga su frutta e spezie. Dopo 2 mesi di appassimento in fruttaio, riposa per 18 mesi in botte grande da 50 ettolitri ",,na,na,na,na,na,Italia,2,,,
,0002062,,,,,,5,2016,Triacca,Sforzato Di Valtellina San Domenico,Sforzato Di Valtellina,,DOCG,Lombardia,91,,91,,na,15,30-34,Rosso Fermo,Nebbiolo 100%,40k,Tagliata di manzo alla brace con finferli e bitto,2 mesi di appassimento + 18 mesi in botte grande,"Magistrale rosso rubino intenso e luminoso, con bordo tendente al granato. Al naso appaga per l'eleganza floreale, arricchita da una variegata speziatura di chiodi di garofano, cardamomo, pepe, ginepro e cannella; indizi  di alloro, prugna e more, su uno sfondo che ricorda cacao, caffè, cuoio, tabacco. Il sorso sfoggia un'ottima avvolgenza, vivacizzata da tannini pieni e rotondi e da una buona dote sapida. Una struttura notevole e di classe che si conferma nel finale lungo e appagante. Matura per 18 mesi in botte grande. ",,na,na,na,na,na,Italia,2,,,
,00002062-1,7.30,67,2.08,82,4.3,3★-5★,,Triacca,Sforzato Di Valtellina San Domenico,Sforzato Di Valtellina,,DOCG,Lombardia,na,,na,,na,15,30-34,Rosso Fermo,Nebbiolo 100%,40k-50k,Stufato di cinghiale – Tagliata di cavallo – Fagiano tartufato – Tagliata di manzo alla brace con finferli e bitto,2 mesi di appassimento + 18 mesi in botte grande,,,na,na,na,na,na,Italia,1,,,
,0002063,,,,,,5,2013,Rivetti E Lauro,Sforzato Di Valtellina Dell'Orco,Sforzato Di Valtellina,,DOCG,Lombardia,91,,91,,na,14.5,30-34,Rosso Fermo,Nebbiolo 100%,4k,Lepre in salmì,3 mesi di appassimento + 30 mesi in botti di varie dimensioni,"| Tonalità rosso rubino che vira nettamente verso il granato. La complessità del naso spazia dalla confettura di ciliegia ai fiori in macerazione, dalla speziatura di vaniglia e cannella alle ventate mentolate, chiudendo con un finale balsamico ed etereo. Al palato l'imponente dotazione calorica è tenuta a bada da una spalla di freschezza vivida e grintosa; il tannino, plasmato sulla finezza, e la sapidità precisa contribuiscono al nitore del sorso. Maturazione in legno per 30 mesi, di cui 18 in  | barrique. Affina per un anno in bottiglia ",,na,na,na,na,na,Italia,2,,,
,0002063,,,,,,3,2014,Rivetti E Lauro,Sforzato Di Valtellina Dell'Orco,Sforzato Di Valtellina,,DOCG,Lombardia,88,,88,,na,14.5,35-39,Rosso Fermo,Nebbiolo 100%,4k,Arrosto di vitello al ginepro,3 mesi di appassimento + 30 mesi in botti di varie dimensioni,"Rosso rubino profondo con un leggero  riflesso granato. Profumi intensi e complessi. confettura di frutti di bosco, more e mirtilli, prugne sotto spirito, cardamomo, chiodi di garofano e pepe nero, caffè e terra umida. La bocca di buon volume, sorprende per la viva freschezza, il tannino è delicato e ben integrato. La qualità complessiva è eccellente così come la persistenza nei ritorni di frutta e spezia dolce. Darà il meglio di se tra qualche anno. Appassimento delle uve sui graticci per 3 mesi, fermenta e matura in botti di rovere di grande capacità per 30 mesi, affina un anno ancora in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,0002063,,,,,,3,2015,Rivetti E Lauro,Sforzato Di Valtellina Dell'Orco,Sforzato Di Valtellina,,DOCG,Lombardia,87,,87,,na,14.5,35-39,Rosso Fermo,Nebbiolo 100%,4k,Salmì di lepre al ribes,3 mesi di appassimento + 18 mesi in botte grande,"Rubino smagliante. Sprigiona intriganti profumi di confettura di more e fragole, chiodi di garofano, carcadè e frutta secca, mandorle e noci su tutti, per poi lasciare il passo a sbuffi di caffè. Il sorso è caldo e avvolgente: la dotazione calorica è sostenuta da una scia fresca e da un tannino ben amalgamato. Si eleva per 24 mesi in barrique e botte grande, poi affina altri 18 mesi in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,00002063-1,3.66,33,0.90,35,3.7,3★-5★,,Rivetti E Lauro,Sforzato Di Valtellina Dell'Orco,Sforzato Di Valtellina,,DOCG,Lombardia,na,,na,,na,14.5,35-39,Rosso Fermo,Nebbiolo 100%,4k,Lepre in salmì – Arrosto di vitello al ginepro – Salmì di lepre al ribes,3 mesi di appassimento + 18-30 mesi in botte grande,,,na,na,na,na,na,Italia,1,,,
,0002064,,,,,,5,2013,Aldo Rainoldi,Sfursat Di Valtellina Ca Rizzieri,Sforzato Di Valtellina,,DOCG,Lombardia,92,,92,,na,15.5,35-39,Rosso Fermo,Nebbiolo 100%,21k,Stufato di manzo con polenta,2 mesi di appassimento + 18 mesi in barrique,"Granato limpido, molto elegante. L'intensità dei profumi si declina fra rimandi di cuoio e pepe,  e ancora sentori di frutta sotto spirito, china  e tabacco. In bocca è ricco e persistente, il tannino è evidente ma ben gestito; lunghissima la persistenza sul finale, dove ritorna con precisione il raffinato quadro olfattivo. Da uve poste in cassette ad appassire per circa 2 mesi, fermenta e matura in barrique nuove per 18 mesi e conclude con un affinamento in bottiglia di un anno. ",,na,na,na,na,na,Italia,2,,,
