Categoria-1,Ref,OLDVSCORE,RS,RAWQP,QP,MediaGrezza,Valutazione,Anno,Produttore,Nome,Denominazione,Menzioni,Classificazione,Regione,PunteggioMedio,ValutazioneAIS,AIS,ValutazioneGR,GR,Tipologia,Prezzo,Composizione,Alcol,Bottiglie,Abbinamento,Affinamento,Descrizione,Note,PunteggioGuida3,PunteggioGuida4,PunteggioGuida5,PunteggioGuida6,PunteggioGuida7,Nazione,Entry,Millesimo,Tecnica,Zucchero
,0000606,,,,,,5,2018,Giovanni Terenzi,Cesanese Del Piglio Superiore Colle Forma,Cesanese Del Piglio,Superiore,DOCG,Lazio,91,,91,,na,Rosso fermo,10-14,Cesanese d'affile 100%,14.5,3k,Scamone al pepe nero,12 mesi in botte grande + 12 mesi in bottiglia,"Manto rubino impenetrabile con luminose venature violacee. l raffinato bouquet si esprime in tutta la sua ampiezza di frutta rossa, ribes, rosa e viola. Una rilevante cornice balsamica sì intreccia a vaniglia, liquirizia, caffè, cuoio e tabacco dolce. L'ingresso in bocca è imponente; il sorso caldo e avvolgente rivela una trama tannica perfettamente integrata con l'alcol, un equilibrio già raggiunto, con un lungo finale che richiama toni speziati.",,na,na,na,na,na,Italia,2,,,
,0000606,,,,,,4,2019,Giovanni Terenzi,Cesanese Del Piglio Superiore Colle Forma,Cesanese Del Piglio,Superiore,DOCG,Lazio,89,,89,,na,Rosso fermo,10-14,Cesanese d'affile 100%,14.5,3k,nd,12 mesi in botte grande + 12 mesi in bottiglia,,,na,na,na,na,na,Italia,2,,,
,0000606-1,5.44,30,2.53,43,3.6,2★-5★,,Giovanni Terenzi,Cesanese Del Piglio Superiore Colle Forma,Cesanese Del Piglio,Superiore,DOCG,Lazio,na,,na,,na,Rosso fermo,10-14,Cesanese d'affile 100%,14.5,3k-4k,Spezzatino in umido – Scamone al pepe nero,12-24 mesi in botte grande + 12 mesi in bottiglia,,,na,na,na,na,na,Italia,1,,,
,0000607,,,,,,3,2014,Giovanni Terenzi,Cesanese Del Piglio Velobra,Cesanese Del Piglio,,DOCG,Lazio,85,,85,,na,Rosso fermo,5-9,Cesanese d'affile 90% – Sangiovese 10%,13,13k,Pasticcio al forno,15 mesi in acciaio,"Rubino vivace. Impatto olfattivo di note scure. Tabacco, erbe di campo, foglie di noce. In chiusura, emergono lentamente cenni di frutta matura: ciliegia e visciola. Ottima coerenza gusto-olfattiva, fresco, con tannino di pregevole fattura che allunga la persistenza; finale di frutta rossa. ",,na,na,na,na,na,Italia,2,,,
,0000607,,,,,,2,2015,Giovanni Terenzi,Cesanese Del Piglio Velobra,Cesanese Del Piglio,,DOCG,Lazio,84,,84,,na,Rosso fermo,5-9,Cesanese d'affile 90% – Sangiovese 10%,13.5,11k,nd,15 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0000607,,,,,,2,2016,Giovanni Terenzi,Cesanese Del Piglio Velobra,Cesanese Del Piglio,,DOCG,Lazio,84,,84,,na,Rosso fermo,5-9,Cesanese d'affile 90% – Sangiovese 10%,13.5,10k,nd,15 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0000607,,,,,,3,2017,Giovanni Terenzi,Cesanese Del Piglio Velobra,Cesanese Del Piglio,,DOCG,Lazio,86,,86,,na,Rosso fermo,5-9,Cesanese d'affile 90% – Sangiovese 10%,13.5,6k,nd,15 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0000607,,,,,,3,2019,Giovanni Terenzi,Cesanese Del Piglio Velobra,Cesanese Del Piglio,,DOCG,Lazio,86,,86,,na,Rosso fermo,5-9,Cesanese d'affile 90% – Sangiovese 10%,14,6k,nd,15 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0000607-1,1.25,7,1.00,17,2.6,2★-3★,,Giovanni Terenzi,Cesanese Del Piglio Velobra,Cesanese Del Piglio,,DOCG,Lazio,na,,na,,na,Rosso fermo,5-9,Cesanese d'affile 90% – Sangiovese 10%,14,6k-13k,Pasticcio al forno,15 mesi in acciaio,,,na,na,na,na,na,Italia,1,,,
,0000594,,,,,,3,2016,L'Avventura,Cesanese Del Piglio Superiore Picchiatello,Cesanese Del Piglio,Superiore,DOCG,Lazio,85,,85,,na,Rosso fermo,15-19,Cesanese d'affile 100%,14,2k,Costolette di agnello alla griglia,12 mesi in acciaio + 18 mesi in botte grande,"Vivido rosso rubino. Emergono profumi di frutti di bosco, lamponi, pepe nero e bacche di ginepro, con un cenno lieve di tostatura. AI palato, dotato di sapidità e di un tannino imponente, mantiene un corretto equilibrio.",,na,na,na,na,na,Italia,2,,,
,0000594,,,,,,3,2017,L'Avventura,Cesanese Del Piglio Superiore Picchiatello,Cesanese Del Piglio,Superiore,DOCG,Lazio,85,,85,,na,Rosso fermo,15-19,Cesanese d'affile 100%,15.5,4k,Coniglio alla cacciatora,12 mesi in acciaio + 12 mesi in botte grande,"Rubino impenetrabile con nuance violacee. Al profumo sprigiona richiami speziati e confettura di visciole; poi sbuffi balsamici e tabacco dolce. L'assaggio denota freschezza, tannino di buon vigore e una ricca dotazione alcolica. Chiusura su persistenze tostate.",,na,na,na,na,na,Italia,2,,,
,0000594,,,,,,3,2018,L'Avventura,Cesanese Del Piglio Superiore Picchiatello,Cesanese Del Piglio,Superiore,DOCG,Lazio,86,,86,,na,Rosso fermo,15-19,Cesanese d'affile 100%,13.5,7k,Cosciotto d'agnello farcito,12 mesi in acciaio + 12 mesi in botte grande,"Rosso rubino lucente, con bagliori granato. Il naso rivela fitte tonalità scure di mora e ciliegia seguite da pepe e tabacco, su un sottofondo etereo e balsamico. Fresco e dinamico il sorso, con una trama tannica fine ed elegante. Epilogc duraturo su note mentolate. ",,na,na,na,na,na,Italia,2,,,
,0000594,,,,,,3,2019,L'Avventura,Cesanese Del Piglio Superiore Picchiatello,Cesanese Del Piglio,Superiore,DOCG,Lazio,86,,86,,na,Rosso fermo,15-19,Cesanese d'affile 100%,14.5,7k,Timballo ciociaro,12 mesi in acciaio + 12 mesi in botte grande,"Granato lucente. L'arancia sanguinella anticipa le delicate fra- granze di rosa, lilium e erbe aromatiche. Amplia il corredo olfat- tivo cioccolato scuro, frutta rossa sotto spirito e macchia medi- terranea. Possente il corpo, fresco e affabilmente amaricante il tannino. Durevole sui rimbalzi olfattivi",,na,na,na,na,na,Italia,2,,,
,0000594-1,1.35,8,0.45,8,3.0,3★,,L'Avventura,Cesanese Del Piglio Superiore Picchiatello,Cesanese Del Piglio,Superiore,DOCG,Lazio,na,,na,,na,Rosso fermo,15-19,Cesanese d'affile 100%,14.5,2k-7k,Costolette di agnello alla griglia – Coniglio alla cacciatora – Cosciotto d'agnello farcito – Timballo ciociaro,12 mesi in acciaio + 12-18 mesi in botte grande,,,na,na,na,na,na,Italia,1,,,
,0000595,,,,,,3,2017,L'Avventura,Cesanese Del Piglio Superiore Amor,Cesanese Del Piglio,Superiore,DOCG,Lazio,86,,86,,na,Rosso fermo,25-29,Cesanese d'affile 100%,14.5,256,Involtini di manzo ripieni,6 mesi in acciaio + 7 mesi in barrique,"Rubino con riflessi granato. L'olfatto sprigiona intensi ricordi di pepe e liquirizia, che cedono il passo alla ciliegia rossa sotto spirito. Il sorso è potente; la freschezza gustativa cela un tannino ancora giovane, ben levigato dal legno. Il lungo finale è animato da una scia balsamica. ",,na,na,na,na,na,Italia,2,,,
,0000595,,,,,,4,2018,L'Avventura,Cesanese Del Piglio Superiore Amor,Cesanese Del Piglio,Superiore,DOCG,Lazio,89,,89,,na,Rosso fermo,25-29,Cesanese d'affile 100%,14.5,2k,Medaglioni di vitello alla mostarda,6 mesi in acciaio + 7 mesi in barrique,"Rosso granato luminoso. L'olfatto lascia subito presagire la sua ricchezza: si libera un'iniziale impronta fruttata di succo di mirtillo e gelatina di more e visciola; seguono toni fumé, di sottobosco e di rosa canina, La bocca esprime una buona struttura, con la componente alcolica ben integrata e in equilibrio grazie a un'adeguata componente fresca e tannica Lunghissimo finale fruttato. ",,na,na,na,na,na,Italia,2,,,
,0000595,,,,,,3,2019,L'Avventura,Cesanese Del Piglio Superiore Amor,Cesanese Del Piglio,Superiore,DOCG,Lazio,86,,86,,na,Rosso fermo,25-29,Cesanese d'affile 100%,15,2k,nd,6 mesi in acciaio + 8 mesi in barrique,,,na,na,na,na,na,Italia,2,,,
,0000595-1,1.68,9,0.35,6,3.3,3★-4★,,L'Avventura,Cesanese Del Piglio Superiore Amor,Cesanese Del Piglio,Superiore,DOCG,Lazio,na,,na,,na,Rosso fermo,25-29,Cesanese d'affile 100%,15,256-2k,Involtini di manzo ripieni – Medaglioni di vitello alla mostarda,6 mesi in acciaio + 7-8 mesi in barrique,,,na,na,na,na,na,Italia,1,,,
,0000596,,,,,,3,2018,L'Avventura,Cesanese Del Piglio Superiore Arringo,Cesanese Del Piglio,Superiore,DOCG,Lazio,86,,86,,na,Rosso fermo,25-29,Cesanese d'affile 100%,14,500,Maiale brasato alle spezie,Uve parzialmente appassite + 6 mesi in acciaio,"Rosso rubino lucente. Il ventaglio olfattivo rimanda a mirto, macchia mediterranea, speziatura di pepe nero e frutta rossa sotto spirito. Sorso avvolgente e caldo, sostenuto da una spinta fresco-sapida e da una trama tannica ben rifinita.",,na,na,na,na,na,Italia,2,,,
,0000596,,,,,,3,2019,L'Avventura,Cesanese Del Piglio Superiore Arringo,Cesanese Del Piglio,Superiore,DOCG,Lazio,86,,86,,na,Rosso fermo,25-29,Cesanese d'affile 100%,14.5,1k,nd,Uve parzialmente appassite + 6 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0000596-1,0.68,4,0.14,2,3.0,3★,,L'Avventura,Cesanese Del Piglio Superiore Arringo,Cesanese Del Piglio,Superiore,DOCG,Lazio,na,,na,,na,Rosso fermo,25-29,Cesanese d'affile 100%,14.5,256-2k,Maiale brasato alle spezie,Uve parzialmente appassite + 6 mesi in acciaio,,,na,na,na,na,na,Italia,1,,,
,0000597,,,,,,3,2018,L'Avventura,Cesanese Del Piglio Campanino,Cesanese Del Piglio,,DOCG,Lazio,86,,86,,na,Rosso fermo,15-19,Cesanese d'affile 50% – Cesanese 50%,13,20k,Abbacchio al forno,solo acciaio,"Nella sua elegante e luminosa veste purpurea presenta al naso netti sentori di viola, ribes e amarene. Avvolge il palato in modo deciso e allo stesso tempo vellutato; la trama tannica è piacevolmente integrata con la struttura, per un finale di buona lunghezza che richiama il frutto.",,na,na,na,na,na,Italia,2,,,
,0000597,,,,,,3,2019,L'Avventura,Cesanese Del Piglio Campanino,Cesanese Del Piglio,,DOCG,Lazio,86,,86,,na,Rosso fermo,15-19,Cesanese d'affile 50% – Cesanese 50%,13.5,20k,nd,solo acciaio,,,na,na,na,na,na,Italia,2,,,
,0000597-1,0.68,4,0.22,4,3.0,3★,,L'Avventura,Cesanese Del Piglio Campanino,Cesanese Del Piglio,0,DOCG,Lazio,na,,na,,na,Rosso fermo,15-19,Cesanese d'affile 50% – Cesanese 50%,13.5,20k,Abbacchio al forno,solo acciaio,,,na,na,na,na,na,Italia,1,,,
,0000598,,,,,,3,2017,L'Avventura,Cesanese Del Piglio Riserva Camere Pinte,Cesanese Del Piglio,Riserva,DOCG,Lazio,86,,86,,na,Rosso fermo,30-34,Cesanese d'affile 100%,14.5,1k,nd,?,,,na,na,na,na,na,Italia,2,,,
,0000598-1,0.34,2,0.06,1,3.0,3★,,L'Avventura,Cesanese Del Piglio Riserva Camere Pinte,Cesanese Del Piglio,Riserva,DOCG,Lazio,na,,na,,na,Rosso fermo,30-34,Cesanese d'affile 100%,14.5,1k,nd,?,,,na,na,na,na,na,Italia,1,,,
,0000599,,,,,,3,2018,Luca Sbardella,Cesanese Del Piglio Superiore ,Cesanese Del Piglio,Superiore,DOCG,Lazio,86,,86,,na,Rosso fermo,15-19,Cesanese d'affile 100%,14,1k,Abbacchio al forno con patate,7 mesi in botte grande + 4 mesi in bottiglia,"Rosso rubino con sfumature granato. Si  svela con aromi di ciliegia e frutti di bosco  in confettura, sentori di violetta appassita si alternano a cannella, cuoio, caffè e sensazioni di tabacco dolce. Caldo e avvolgente il palato con tannini ben levigati. Lungo il finale. ",,na,na,na,na,na,Italia,2,,,
,0000599,,,,,,3,2019,Luca Sbardella,Cesanese Del Piglio Superiore ,Cesanese Del Piglio,Superiore,DOCG,Lazio,86,,86,,na,Rosso fermo,15-19,Cesanese d'affile 100%,13.5,2k,Lepre alla romana,10 mesi in botte grande,"Drappeggio fitto di colore rubino. Riconoscimenti di prugna, vi- sciole in confettura, poi cacao e tabacco biondo che s'intreccia- no a refoli balsamici e mentolati. L’assaggio è saporito, fresco e dinamico con piacevoli tannini che accompagnano la chiusura su rimandi olfattivi e discreta sapidità.",,na,na,na,na,na,Italia,2,,,
,0000599-1,0.68,4,0.22,4,3.0,3★,,Luca Sbardella,Cesanese Del Piglio Superiore ,Cesanese Del Piglio,Superiore,DOCG,Lazio,na,,na,,na,Rosso fermo,15-19,Cesanese d'affile 100%,13.5,1k-2k,Abbacchio al forno con patate – Lepre alla romana,7-10 mesi in botte grande + 4 mesi in bottiglia,,,na,na,na,na,na,Italia,1,,,
,0000600,,,,,,3,2014,Pileum,Cesanese Del Piglio Superiore Riserva Bolla Di Urbano,Cesanese Del Piglio,Superiore – Riserva,DOCG,Lazio,87,,87,,na,Rosso fermo,20-24,Cesanese d'affile 100%,14.5,6k,Agnello alla brace,24 mesi in barrique,"Rosso rubino con riflessi granato. ll ventaglio olfattivo è articolato tra richiami floreali e fruttati di violetta e marasca sotto spirito,  cui seguono cenni di macchia mediterranea, rosmarino, tè nero e una nota di tabacco da pipa. In bocca è caldo e suadente, di gradevole freschezza, con tannini decisi ed eleganti. Chiusura persistente, con ritorni erbacei e balsamici.",,na,na,na,na,na,Italia,2,,,
,0000600,,,,,,4,2016,Pileum,Cesanese Del Piglio Superiore Riserva Bolla Di Urbano,Cesanese Del Piglio,Superiore – Riserva,DOCG,Lazio,89,,89,,na,Rosso fermo,20-24,Cesanese d'affile 100%,14.5,8k,Petto d'anatra con riduzione di piccoli frutti rossi,18 mesi in barrique e botte grande,"Rosso rubino impenetrabile, consistente. La sequenza olfattiva sì esprime attraverso cenni di mora di rovo, violetta, liquirizia, prugna disidratata. Si aggiungono ricordi di china, rabarbaro ed erbe aromatiche. L'approccio  al palato è pieno, caldo e avvolgente, con  un tannino aggraziato ben supportato da  una notevole struttura. Lunga ed elegante persistenza, con echi fruttati in chiusura. ",,na,na,na,na,na,Italia,2,,,
,0000600,,,,,,3,2018,Pileum,Cesanese Del Piglio Superiore Riserva Bolla Di Urbano,Cesanese Del Piglio,Superiore – Riserva,DOCG,Lazio,87,,87,,na,Rosso fermo,25-29,Cesanese d'affile 100%,14.5,10k,Roast-beef patate e scalogni,20 mesi in barrique e botte grande,"Rubino compatto. Decisi profumi di  pot-pourri di rosa e viola, composta di frutti rossi, cannella, pepe nero e rabarbaro si concedono piacevolmente al naso, fra cenni di caffè e cioccolato. Freschezza e tannini vibranti tratteggiano il palato, avvolgente,  con persistente chiusura su ricordi tostati",,na,na,na,na,na,Italia,2,,,
,0000600,,,,,,4,2019,Pileum,Cesanese Del Piglio Superiore Riserva Bolla Di Urbano,Cesanese Del Piglio,Superiore – Riserva,DOCG,Lazio,89,,89,,na,Rosso fermo,25-29,Cesanese d'affile 100%,15,12k,Stracotto di manzo al pepe nero,20 mesi in barrique e botte grande,"Rosso rubino con sfumature granato. Si  svela con aromi di ciliegia e frutti di bosco  in confettura, sentori di violetta appassita si alternano a cannella, cuoio, caffè e sensazioni di tabacco dolce. Caldo e avvolgente il palato con tannini ben levigati. Lungo il finale. ",,na,na,na,na,na,Italia,2,,,
,0000600-1,2.68,15,0.55,9,3.5,3★-4★,,Pileum,Cesanese Del Piglio Superiore Riserva Bolla Di Urbano,Cesanese Del Piglio,Superiore – Riserva,DOCG,Lazio,na,,na,,na,Rosso fermo,25-29,Cesanese d'affile 100%,15,1k-2k,Agnello alla brace – Petto d'anatra con riduzione di piccoli frutti rossi – Roast-beef patate e scalogni – Stracotto di manzo al pepe nero,18-24 mesi in barrique o botte grande,,,na,na,na,na,na,Italia,1,,,
,0000601,,,,,,2,2015,Pileum,Cesanese Del Piglio Superiore Massitum,Cesanese Del Piglio,Superiore,DOCG,Lazio,84,,84,,na,Rosso fermo,10-14,Cesanese d'affile 100%,15,6k-12k,Ravioli di brasato,20 mesi in acciaio + 18 mesi in botte,"Rubino profondo, luminoso. Profumo intenso di ciliegia sotto spirito; traccia erbacea di  fieno tagliato e appassito al sole, sentori di sottobosco e sbuffi balsamici. l sorso è caldo, rotondo, con la presenza di tannini decisi com'è tipico del vitigno. Persistenza duratura.",,na,na,na,na,na,Italia,2,,,
,0000601,,,,,,2,2016,Pileum,Cesanese Del Piglio Superiore Massitum,Cesanese Del Piglio,Superiore,DOCG,Lazio,84,,84,,na,Rosso fermo,10-14,Cesanese d'affile 100%,15,17k,Gnocchi ai quattro formaggi,20 mesi in acciaio + 18 mesi in botte,"Colore rubino profondo. Al naso emergono cenni fruttati, con lamponi, ciliegia, nuance di ribes e rabarbaro. Caldo in bocca, dotato di freschezza e tannini ben presenti. Equilibrato, con gradevole finale di rabarbaro. ",,na,na,na,na,na,Italia,2,,,
,0000601,,,,,,3,2019,Pileum,Cesanese Del Piglio Superiore Massitum,Cesanese Del Piglio,Superiore,DOCG,Lazio,88,,88,,na,Rosso fermo,10-14,Cesanese d'affile 100%,14.5,14k,nd,20 mesi in acciaio + 20 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,0000601-1,0.57,3,0.27,5,2.3,2★-3★,,Pileum,Cesanese Del Piglio Superiore Massitum,Cesanese Del Piglio,Superiore,DOCG,Lazio,na,,na,,na,Rosso fermo,10-14,Cesanese d'affile 100%,14.5,14k-17k,Ravioli di brasato – Gnocchi ai quattro formaggi,20 mesi in acciaio + 18-20 mesi in botte,,,na,na,na,na,na,Italia,1,,,
,0000602,,,,,,3,2019,Pileum,Cesanese Del Piglio Superiore I Cloni,Cesanese Del Piglio,Superiore,DOCG,Lazio,86,,86,,na,Rosso fermo,15-19,Cesanese d'affile 100%,14,14k,nd,10 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0000602-1,0.34,2,0.11,2,3.0,3★,,Pileum,Cesanese Del Piglio Superiore I Cloni,Cesanese Del Piglio,Superiore,DOCG,Lazio,na,,na,,na,Rosso fermo,15-19,Cesanese d'affile 100%,14,14k,nd,10 mesi in acciaio,,,na,na,na,na,na,Italia,1,,,
,0000603,,,,,,3,2015,Pileum,Cesanese Del Piglio Superiore Riserva Pilarocca,Cesanese Del Piglio,Superiore – Riserva,DOCG,Lazio,87,,87,,na,Rosso fermo,25-29,Cesanese d'affile 100%,14.5,2k,Salsiccia di maiale in umido,21 mesi in botte grande + 12 mesi in bottiglia,"Rubino intenso. Stuzzica l'olfatto con ricordi  di foglie di alloro ed eucalipto, cotognata,  gelso nero, tabacco. l'assaggio mantiene le promesse e si offre morbido e appagante, con un tannino nobile. La chiusura è di invitante freschezza, con sentori di arancia. ",,na,na,na,na,na,Italia,2,,,
,0000603,,,,,,5,2016,Pileum,Cesanese Del Piglio Superiore Riserva Pilarocca,Cesanese Del Piglio,Superiore – Riserva,DOCG,Lazio,91,,91,,na,Rosso fermo,25-29,Cesanese d'affile 100%,15.5,2k,Lepre in salmì,21 mesi in botte grande + 12 mesi in bottiglia,"Manto rosso rubino intenso con riflessi di evoluzione. Naso profondo e suadente di viola essiccata, confettura di frutti di bosco  e prugne, su un tappeto di vaniglia e spezie scure trapunto di aromi di smalto e cuoio. Esprime fascino ed eleganza con tocchi mentolati. Il volume alcolico, la freschezza e la trama tannica si bilanciano alla perfezione, appagando il sorso. Lunga la persistenza, su una scia sapida, marcata da ritorni fruttati e speziati. ",,na,na,na,na,na,Italia,2,,,
,0000603-1,3.32,19,0.69,12,4.0,3★-5★,,Pileum,Cesanese Del Piglio Superiore Riserva Pilarocca,Cesanese Del Piglio,Superiore – Riserva,DOCG,Lazio,na,,na,,na,Rosso fermo,25-29,Cesanese d'affile 100%,15.5,2k,Salsiccia di maiale in umido – Lepre in salmì,21 mesi in botte grande + 12 mesi in bottiglia,,,na,na,na,na,na,Italia,1,,,
,0000604,,,,,,2,2015,Pileum,Cesanese Del Piglio,Cesanese Del Piglio,,DOCG,Lazio,84,,84,,na,Rosso fermo,5-9,Cesanese d'affile 100%,14.5,14k,Fettuccine al ragù,?,"Rosso rubino con nuance granato. | profumi ricordano la viola, l'amarena sotto spirito  e la visciola. A seguire aliti di pepe nero ed effluvi balsamici. Di corpo, al palato spicca la freschezza; tannini gentili accompagnano un finale di tutto rispetto.",,na,na,na,na,na,Italia,2,,,
,0000604-1,0.12,1,0.09,2,2.0,2★,,Pileum,Cesanese Del Piglio,Cesanese Del Piglio,,DOCG,Lazio,na,,na,,na,Rosso fermo,5-9,Cesanese d'affile 100%,14.5,14k,Fettuccine al ragù,?,,,na,na,na,na,na,Italia,1,,,
,0000608,,,,,,4,2019,Terre Antiche,Cesanese Del Piglio Eufonia,Cesanese Del Piglio,,DOCG,Lazio,89,,89,,na,Rosso spumante metodo ancestrale,20-24,Cesanese 100%,14,1k,Stufato di vitello con funghi,10 mesi in terracotta,"Bagliori granato impreziosiscono un compatto rubino. Debut- ta con frutta matura in confettura, cenni di sottobosco ed erbe aromatiche che s'intrecciano a tabacco, cacao e cuoio. Son- tuosa la beva, con dotazione alcolica ben sostenuta dalla spalla acida e tannini di gentile trama. ",,na,na,na,na,na,Italia,2,,,
,0000608-1,1.00,6,0.25,4,4.0,4★,,Terre Antiche,Cesanese Del Piglio Eufonia,Cesanese Del Piglio,,DOCG,Lazio,na,,na,,na,Rosso spumante metodo ancestrale,20-24,Cesanese 100%,14,1k,Stufato di vitello con funghi,10 mesi in terracotta,,,na,na,na,na,na,Italia,1,,,
,0000609,,,,,,2,2020,Terre Antiche,Cesanese Del Piglio Rubino,Cesanese Del Piglio,,DOCG,Lazio,84,,84,,na,Rosso spumante metodo ancestrale,15-19,Cesanese 100%,13,3k,nd,3 mesi in acciaio + 3 mesi in terracotta,,,na,na,na,na,na,Italia,2,,,
,0000609-1,0.12,1,0.04,1,2.0,2★,,Terre Antiche,Cesanese Del Piglio Rubino,Cesanese Del Piglio,,DOCG,Lazio,na,,na,,na,Rosso spumante metodo ancestrale,15-19,Cesanese 100%,13,3k,nd,3 mesi in acciaio + 3 mesi in terracotta,,,na,na,na,na,na,Italia,1,,,
,0000610,,,,,,2,2016,Cantina Sociale Del Piglio,Cesanese Del Piglio Cerciole,Cesanese Del Piglio,,DOCG,Lazio,84,,84,,na,Rosso fermo,5-9,Cesanese d'affile 100%,14,70k,Salsiccia e patate,9 mesi sulle feccie fini,"Rubino cupo. Incipit di noce moscata, pepe nero e chiodi garofano, seguiti da richiami di viola, di prugna e di frutti rossi. In bocca mostra l'irruenza della gioventù, con un tannino ancora scalpitante e una freschezza vibrante.",,na,na,na,na,na,Italia,2,,,
,0000610-1,0.12,1,0.09,2,2.0,2★,,Cantina Sociale Del Piglio,Cesanese Del Piglio Cerciole,Cesanese Del Piglio,,DOCG,Lazio,na,,na,,na,Rosso fermo,5-9,Cesanese d'affile 100%,14,70k,Salsiccia e patate,9 mesi sulle feccie fini,,,na,na,na,na,na,Italia,1,,,
,0000611,,,,,,3,2015,Cantina Sociale Del Piglio,Cesanese Del Piglio Elcini,Cesanese Del Piglio,,DOCG,Lazio,85,,85,,na,Rosso fermo,10-14,Cesanese d'affile 100%,14,10k,Rotolo di vitello con pancetta al forno,12 mesi in botte grande,"Rubino scuro compatto. Profuma di cioccolato, mandorla tostata e anice, fusi a sentori di amarena e visciole in confettura. | ricordi vegetali e balsamici, insieme a tè e tabacco, si intrecciano a decise note speziate, con viola e rosa in sottofondo. Bocca di grande impatto, saporita, dalla chiusura speziata. ",,na,na,na,na,na,Italia,2,,,
,0000611-1,0.34,2,0.16,3,3.0,2★,,Cantina Sociale Del Piglio,Cesanese Del Piglio Elcini,Cesanese Del Piglio,,DOCG,Lazio,na,,na,,na,Rosso fermo,10-14,Cesanese d'affile 100%,14,10k,Rotolo di vitello con pancetta al forno,12 mesi in botte grande,,,na,na,na,na,na,Italia,1,,,
,0000612,,,,,,2,2015,Cantina Sociale Del Piglio,Cesanese Del Piglio De Antiochia,Cesanese Del Piglio,,DOCG,Lazio,84,,84,,na,Rosso fermo,5-9,Cesanese d'affile 100%,14,50k,nd,?,,,na,na,na,na,na,Italia,2,,,
,0000612-1,0.12,1,0.09,2,2.0,2★,,Cantina Sociale Del Piglio,Cesanese Del Piglio De Antiochia,Cesanese Del Piglio,,DOCG,Lazio,na,,na,,na,Rosso fermo,5-9,Cesanese d'affile 100%,14,50k,nd,?,,,na,na,na,na,na,Italia,1,,,
,0000613,,,,,,2,2015,Villa Simone,Cesanese Del Piglio Villa Simone,Cesanese Del Piglio,,DOCG,Lazio,84,,84,,na,Rosso fermo,10-14,Cesanese d'affile 100%,14,12k,nd,?,,,na,na,na,na,na,Italia,2,,,
,0000613,,,,,,2,2017,Villa Simone,Cesanese Del Piglio Villa Simone,Cesanese Del Piglio,,DOCG,Lazio,84,,84,,na,Rosso fermo,10-14,Cesanese d'affile 100%,14.5,12k,nd,?,,,na,na,na,na,na,Italia,2,,,
,0000613-1,0.23,1,0.11,2,2.0,2★,,Villa Simone,Cesanese Del Piglio Villa Simone,Cesanese Del Piglio,,DOCG,Lazio,na,,na,,na,Rosso fermo,10-14,Cesanese d'affile 100%,14.5,12k,nd,?,,,na,na,na,na,na,Italia,1,,,
,0000614,,,,,,3,2014,Coletti Conti,Cesanese Del Piglio Superiore Romanico,Cesanese Del Piglio,Superiore,DOCG,Lazio,85,,85,,na,Rosso fermo,20-24,Cesanese d'affile 100%,15,4k,Gnocchi di patate e castange con zucca e salsiccia,15 mesi in barrique,"Si presenta con un carico di colore rosso granato. Caldi i profumi di spezie e di frutta scura matura, pepe, mirtilli, con cenni di caffè e tabacco. Beva elegante e morbida. Il tannino è carezzevole, accompagnato da freschezza a bilanciamento della componente alcolica. Buona la persistenza, con lunga chiusura. ",,na,na,na,na,na,Italia,2,,,
,0000614,,,,,,3,2015,Coletti Conti,Cesanese Del Piglio Superiore Romanico,Cesanese Del Piglio,Superiore,DOCG,Lazio,86,,86,,na,Rosso fermo,20-24,Cesanese d'affile 100%,14,25k,Cinghiale al cacao,15 mesi in barrique,"Dalla vinificazione dei migliori cru di cesanese d'Affile. Rubino scuro dalla trama fitta. l quadro olfattivo si apre su toni di viola, marasca e prugna. Prosegue all'insegna dell'evoluzione, con tabacco, caffè e liquirizia. Al palato colpisce per la morbidezza, bilanciata dall'acidità a tratti nascosta. Le basse rese regalano un sorso potente. ll tannino vellutato guida la persistenza prolungata e solenne",,na,na,na,na,na,Italia,2,,,
,0000614-1,0.68,4,0.17,3,3.0,3★,,Coletti Conti,Cesanese Del Piglio Superiore Romanico,Cesanese Del Piglio,Superiore,DOCG,Lazio,na,,na,,na,Rosso fermo,20-24,Cesanese d'affile 100%,14,12k,Gnocchi di patate e castange con zucca e salsiccia – Cinghiale al cacao,15 mesi in barrique,,,na,na,na,na,na,Italia,1,,,
,0000615,,,,,,3,2014,Coletti Conti,Cesanese Del Piglio Hernicus,Cesanese Del Piglio,,DOCG,Lazio,86,,86,,na,Rosso fermo,10-14,Cesanese d'affile 100%,13.5,25k,Carrè di maiale arrosto,12 mesi in barrique e cemento,"Rosso rubino con riflessi granato. Vivace naso di viole e ciliegie con sfumature di sottobosco e ricordi floreali. Tannini briosi e freschezza danzano con le morbidezze in un sorso agile e gradevole, Pulita e di buona persistenza la chiusura, con rimandi alle note più fresche fin qui espresse.",,na,na,na,na,na,Italia,2,,,
