Categoria-1,Ref,Valutazione,Anno,Produttore,Nome,Denominazione,Menzioni,Classificazione,Regione,Prezzo,PunteggioMedio,PunteggioAIS,Tipologia,Composizione,Alcol,Bottiglie,Abbinamento,Affinamento,Descrizione,Note,PunteggioGamberoRosso,PunteggioGuida3,PunteggioGuida4,PunteggioGuida5,PunteggioGuida6,PunteggioGuida7,Nazione,Entry,Millesimo,Tecnica,Zucchero,,,,,,,,,,,,,,,,
,0000242,3,2019,Casa Emma,Chianti Classico Riserva Vignalparco,Chianti Classico,Riserva,DOCG,Toscana,20-24,88,88,Rosso fermo,Sangiovese 100%,14,20k,nd,24 mesi in tonneau + 12 mesi in bottiglia,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000242-1,2★-3★,,Casa Emma,Chianti Classico Riserva Vignalparco,Chianti Classico,Riserva,DOCG,Toscana,20-24,na,na,Rosso fermo,Sangiovese 100%,14,6k-20k,Tagliatelle al ragù di lepre – Pici al ragù di chianina,24 mesi in tonneau + 12 mesi in bottiglia,,,na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000243,2,2014,Casa Emma,Chianti Classico,Chianti Classico,,DOCG,Toscana,15-19,83,83,Rosso fermo,Sangiovese 90% – Canaiolo 5% – Malvasia nera 5%,13.5,60k,nd,12 mesi in botte ,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000243,2,2015,Casa Emma,Chianti Classico,Chianti Classico,,DOCG,Toscana,15-19,83,83,Rosso fermo,Sangiovese 90% – Canaiolo 5% – Malvasia nera 5%,13.5,60k,nd,12 mesi in botte ,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000243,2,2017,Casa Emma,Chianti Classico,Chianti Classico,,DOCG,Toscana,15-19,84,84,Rosso fermo,Sangiovese 90% – Canaiolo 5% – Malvasia nera 5%,14,35k,nd,12 mesi in botte ,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000243,4,2018,Casa Emma,Chianti Classico,Chianti Classico,,DOCG,Toscana,20-24,89,89,Rosso fermo,Sangiovese 90% – Canaiolo 5% – Malvasia nera 5%,14,50k,Hamburger di cinta senese,12 mesi in botte ,"Manto rubino vivido e splendente. Il bouquet è immediatamente espressivo di sciroppo al mirtillo, susina e prugna in confettura, che si completano alternandosi a fragranze di arancia sanguinella, ginepro, rosmarino, cardamomo, erbe officinali e sfumature di china, menta  e pepe. Al palato scivola sinuoso; appaga la freschezza in perfetta sinergia con il tannino ancora giovanile. L'alcol è ben bilanciato in  un contesto che promette buona evoluzione.",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000243,3,2019,Casa Emma,Chianti Classico,Chianti Classico,,DOCG,Toscana,20-24,88,88,Rosso fermo,Sangiovese 90% – Canaiolo 5% – Malvasia nera 5%,14,50k,nd,12 mesi in botte ,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000243-1,2★-4★,,Casa Emma,Chianti Classico,Chianti Classico,,DOCG,Toscana,20-24,na,na,Rosso fermo,Sangiovese 90% – Canaiolo 5% – Malvasia nera 5%,14,35k-60k,Hamburger di cinta senese,12 mesi in botte ,,,na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000244,2,2013,Casa Emma,Chianti Classico Riserva,Chianti Classico,Riserva,DOCG,Toscana,30-34,84,84,Rosso fermo,Sangiovese 95% – Malvasia nera 5%,14,13k,Pollo al mattone,24 mesi in tonneau + 6 mesi in bottiglia,"Rubino compatto. Stuzzicanti profumi di fragoline di bosco, mirtilli, mirto, ginepro, muschio, erbe aromatiche e legno di sandalo.  Al sorso è dinamico e di grande impatto gustativo, sprigiona calore e freschezza  che si alternano, in ottima sinergia con il tannino ancora in evoluzione. Finale fruttato e leggermente minerale.",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000244,2,2016,Casa Emma,Chianti Classico Riserva,Chianti Classico,Riserva,DOCG,Toscana,30-34,84,84,Rosso fermo,Sangiovese 95% – Malvasia nera 5%,14,6k,nd,24 mesi in tonneau + 6 mesi in bottiglia,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000244-1,2★,,Casa Emma,Chianti Classico Riserva,Chianti Classico,Riserva,DOCG,Toscana,30-34,na,na,Rosso fermo,Sangiovese 95% – Malvasia nera 5%,14,6k-13k,Pollo al mattone,24 mesi in tonneau + 6 mesi in bottiglia,,,na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000245,3,2012,Casale Dello Sparviero,Chianti Classico Gran Selezione Vigna Paronza,Chianti Classico,Gran Selezione,DOCG,Toscana,25-29,87,87,Rosso fermo,Sangiovese 100%,14,3k,Crostone con patè di beccaccia,24 mesi in barrique e botte grande + 12 mesi in bottiglia,"Rubino vivo con nuance evolute. Impatto vegetale, poi ciliegia sotto spirito, cioccolato, mirtillo in confettura e lievi aromi di china,  note di menta ed eucalipto, iris, pot-pourri di fiori rossi e spezie dolci. Ingresso potente e avvolgente, con tannini ben integrati e un cenno di freschezza che permette di raggiungere  un ottimo equilibrio gustativo. Persistenza adeguata, con una chiusura fruttata e leggermente ammandorlata. ",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000245,4,2013,Casale Dello Sparviero,Chianti Classico Gran Selezione Vigna Paronza,Chianti Classico,Gran Selezione,DOCG,Toscana,20-24,89,89,Rosso fermo,Sangiovese 100%,14.5,2.5k,Fagianella al forno,24 mesi in barrique e botte grande + 12 mesi in bottiglia,"Rosso rubino luminoso con riflessi trasparenti Il bouquet è ordinato e preciso. Dopo petali  di rosa e lampone lascia scorrere cannella, vaniglia, cacao, eucalipto e chinotto. Ha tannini fini e setosi; un ottimo contributo dell'acidità  lo rende dinamico e vibrante, mascherando l'imponente dotazione alcolica. È sapido e chiude con aroma di succo d'arancia. ",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000245,3,2015,Casale Dello Sparviero,Chianti Classico Gran Selezione Vigna Paronza,Chianti Classico,Gran Selezione,DOCG,Toscana,30-34,87,87,Rosso fermo,Sangiovese 100%,14.5,6k,Cosciotto d'agnello al forno con patate al timo,24 mesi in barrique e botte grande + 12 mesi in bottiglia,"Luminoso manto rubino, circondato da una sfumatura granato. L'olfatto è composito e austero: intorno a frutti di bosco in composta ruotano sensazioni di cacao, vaniglia, sottobosco e sigaro. È setoso e intenso al palato: tannini fitti ma con trama assai sottile; acidità e sapidità svolgono un ruolo di primo piano nel bilanciare la beva e prolungare la persistenza. ",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000245,4,2016,Casale Dello Sparviero,Chianti Classico Gran Selezione Vigna Paronza,Chianti Classico,Gran Selezione,DOCG,Toscana,40-44,90,90,Rosso fermo,Sangiovese 100%,14.5,12k,Etrusca di cinta senese alla brace,24 mesi in barrique e botte grande + 12 mesi in bottiglia,"Rubino piuttosto concentrato. Apre al naso  con vivaci ricordi di arancia sanguinella, sciroppo di melagrana, incenso e lentisco, che si propagano su sensazioni di rosmarino, pietra lavica e legno di cedro. Il sorso è caratterizzato da un ottimo equilibrio tra morbidezza  glicerica e tessitura tannica, adeguatamente ravvivato dalla freschezza dell'agrume rosso, con elegante e persistente finale. ",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000245,3,2018,Casale Dello Sparviero,Chianti Classico Gran Selezione Vigna Paronza,Chianti Classico,Gran Selezione,DOCG,Toscana,40-44,87,87,Rosso fermo,Sangiovese 100%,14.5,2k,Coniglio in umido,24 mesi in barrique e botte grande + 12 mesi in bottiglia,"Veste rubino dal bordo granato. Bouquet espressivo di media definizione con arancia sanguinella, humus, cenere e ritorni carnacei. Sorso pieno e concreto caratterizzato da freschezza agrumata, richiami di brace e tannini granulosi , che anticipano una lunga evoluzione. ",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000245-1,2★-4★,,Casale Dello Sparviero,Chianti Classico Gran Selezione Vigna Paronza,Chianti Classico,Gran Selezione,DOCG,Toscana,40-44,na,na,Rosso fermo,Sangiovese 100%,14.5,2k-12k,Crostone con patè di beccaccia – Fagianella al forno – Cosciotto d'agnello al forno con patate al timo – Etrusca di cinta senese alla brace – Coniglio in umido,24 mesi in barrique e botte grande + 12 mesi in bottiglia,,,na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000246,2,2012,Casale Dello Sparviero,Chianti Classico Riserva,Chianti Classico,Riserva,DOCG,Toscana,25-29,84,84,Rosso fermo,Sangiovese 100%,14,20k,Panino alla mortadella,18 mesi in barrique + 6 mesi in bottiglia,"Granato pieno. Profumi di incenso, nota ferrosa, metallo, legno di castagno, frutta nera e rossa in confettura, fiori rossi, spezie dolci e pelliccia impegnano l'olfatto. La matrice tannica predomina e guida il sorso in un divenire caldo e minerale. ",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000246,2,2013,Casale Dello Sparviero,Chianti Classico Riserva,Chianti Classico,Riserva,DOCG,Toscana,15-19,84,84,Rosso fermo,Sangiovese 100%,14,3k,Rollè di vitello con spinaci e prosciutto,18 mesi in barrique + 6 mesi in bottiglia,"Rubino fitto e concentrato. L’olfatto è evoluto  e scandisce mora, ciliegia, tabacco, cannella  e anice stellato. Il gusto è equilibrato, grazie a tannini integrati che bilanciano la dote calorica. Sapido e fruttato nel finale.","Questa annata riportava anche ""Casale dello Sparviero"" nel nome",na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000246,3,2015,Casale Dello Sparviero,Chianti Classico Riserva,Chianti Classico,Riserva,DOCG,Toscana,15-19,85,85,Rosso fermo,Sangiovese 100%,14.5,25k,Magatello di manzo cotto al sale,18 mesi in barrique + 6 mesi in bottiglia,"Rosso rubino intenso con riflesso granato. Il bouquet mostra ciliegia in confettura, alloro, humus e una punta di cannella. La bocca è voluminosa e tendente alla morbidezza. Una fitta trama di tannini vellutati bilancia il calore dell’alcol. Il gusto si prolunga fino alla chiusura agrumata. ","Questa annata riportava anche ""Casale dello Sparviero"" nel nome",na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000246,3,2016,Casale Dello Sparviero,Chianti Classico Riserva,Chianti Classico,Riserva,DOCG,Toscana,20-24,86,86,Rosso fermo,Sangiovese 100%,14.5,30k,Tortelli mugellani al ragù di galletto,18 mesi in barrique + 6 mesi in bottiglia,"Carminio acceso. Esibisce sentori di ciliegie sotto spirito, mora di gelso, peonia, sottobosco e noce moscata; seguono ricordi di pepe rosa, caramella al lampone e sottili sbuffi di caffè  in grani. L'assaggio si dispiega su una trama tannica garbata e discretamente integrata, con bella chiusura sapida e persistente. ",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000246,3,2018,Casale Dello Sparviero,Chianti Classico Riserva,Chianti Classico,Riserva,DOCG,Toscana,20-24,86,86,Rosso fermo,Sangiovese 100%,14.5,30k,nd,18 mesi in barrique + 6 mesi in bottiglia,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000246-1,2★-3★,,Casale Dello Sparviero,Chianti Classico Riserva,Chianti Classico,Riserva,DOCG,Toscana,20-24,na,na,Rosso fermo,Sangiovese 100%,14.5,3k-30k,Panino alla mortadella – Rollè di vitello con spinaci e prosciutto – Magatello di manzo cotto al sale – Tortelli mugellani al ragù di galletto,18 mesi in barrique + 6 mesi in bottiglia,,"Le annate 2013-2015 riportavano anche ""Casale dello Sparviero"" nel nome",na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000247,2,2015,Casale Dello Sparviero,Chianti Classico,Chianti Classico,,DOCG,Toscana,10-14,83,83,Rosso fermo,Sangiovese 95% – Canaiolo 5%,14,165k,nd,12 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000247,2,2016,Casale Dello Sparviero,Chianti Classico,Chianti Classico,,DOCG,Toscana,10-14,84,84,Rosso fermo,Sangiovese 95% – Canaiolo 5%,14,165k,Fettuccine con sugo di lepre,12 mesi in botte grande,"Fitta tonalità di rosso rubino. Ha profumo  di amarena, con riverberi di petali di rosa e chiodi di garofano. All'assaggio si rivela caldo e vivido, e risulta in equilibrio grazie alla vivace mineralità. ","Questa annata riportava anche ""Casale dello Sparviero"" nel nome",na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000247,3,2017,Casale Dello Sparviero,Chianti Classico,Chianti Classico,,DOCG,Toscana,15-19,85,85,Rosso fermo,Sangiovese 95% – Canaiolo 5%,13.5,95k,Maccheroni all'anatra,12 mesi in botte grande,"Rosso rubino luminoso. Bouquet proiettato su nuance floreali di rosa e lavanda, tra cui  si fanno strada effluvi di scorza d'arancia essiccata, cannella, corbezzolo e anice stellato. Al gusto si distinguono ancora gli agrumi, sorretti da tannini già piuttosto evoluti","Questa annata riportava anche ""Casale dello Sparviero"" nel nome",na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000247,2,2019,Casale Dello Sparviero,Chianti Classico,Chianti Classico,,DOCG,Toscana,15-19,84,84,Rosso fermo,Sangiovese 95% – Canaiolo 5%,13.5,95k,nd,12 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000247-1,2★-3★,,Casale Dello Sparviero,Chianti Classico,Chianti Classico,,DOCG,Toscana,15-19,na,na,Rosso fermo,Sangiovese 95% – Canaiolo 5%,13.5,95k-165k,Fettuccine con sugo di lepre – Maccheroni all'anatra,12 mesi in botte grande,,"Le annate 2015-2016 riportavano anche ""Casale dello Sparviero"" nel nome",na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000248,2,2012,Casale Dello Sparviero,Chianti Classico Gran Selezione Andrighetti,Chianti Classico,Gran Selezione,DOCG,Toscana,20-24,84,84,Rosso fermo,Sangiovese 90% – Pungitello 10%,14,3k,Arista bardata,20 mesi in tonneau + 8 mesi in bottiglia,"Granato compatto. Olfatto contraddistinto da sentori di cuoio, bacche di ginepro, chiodi di garofano, ribes, legno di cedro, piacevoli note balsamiche, mora e mirtillo. Tannino vivo in evoluzione, fresco; struttura tesa e coerente nel finale leggermente amaricante. ",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000248,3,2013,Casale Dello Sparviero,Chianti Classico Gran Selezione Andrighetti,Chianti Classico,Gran Selezione,DOCG,Toscana,15-19,86,86,Rosso fermo,Sangiovese 90% – Pungitello 10%,14.5,3k,Maialino allo spiedo,20 mesi in tonneau + 8 mesi in bottiglia,"Fitta trama rubino. Al naso è variegato e profondo: foglie di alloro, mora e prugna emergono in primo piano; in seconda battuta giungono sensazioni balsamiche e chinate, noce moscata e toni fumé. Al palato tende alla morbidezza, a partire da una calda avvolgenza iniziale; i tannini sono perfettamente integrati Ha chiusura speziata di apprezzabile persistenza. ",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000248-1,2★-3★,,Casale Dello Sparviero,Chianti Classico Gran Selezione Andrighetti,Chianti Classico,Gran Selezione,DOCG,Toscana,15-19,na,na,Rosso fermo,Sangiovese 90% – Pungitello 10%,14.5,95k-165k,Arista bardata – Maialino allo spiedo,20 mesi in tonneau + 8 mesi in bottiglia,,,na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000249,2,2013,Castellare Di Castellina,Chianti Classico Riserva Vigna Il Poggiale,Chianti Classico,Riserva,DOCG,Toscana,25-29,84,84,Rosso fermo,Sangiovese 90% – Canaiolo 5% – Ciliegiolo 5%,13.5,10k,Tordi allo spiedo,18 mesi in barrique + 12 mesi in bottiglia,"Rosso rubino luminoso. La tavolozza olfattiva è composta da pennellate di marasca e  arancia sanguinella, che si accompagnano  a sentori di ribes, viola e cannella, su un sottofondo delicato di resina e humus. In bocca è equilibrato, elegante, con tessitura tannica grassa e fruttata, delicatamente sapido e persistente. ","Questa annata riportava ""Chianti Classico Il Poggiale Riserva"" come nome",na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000249,2,2014,Castellare Di Castellina,Chianti Classico Riserva Vigna Il Poggiale,Chianti Classico,Riserva,DOCG,Toscana,25-29,84,84,Rosso fermo,Sangiovese 90% – Canaiolo 5% – Ciliegiolo 5%,13.5,10k,nd,15 mesi in barrique + 12 mesi in bottiglia,,"Questa annata riportava ""Chianti Classico Il Poggiale Riserva"" come nome",na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000249,2,2015,Castellare Di Castellina,Chianti Classico Riserva Vigna Il Poggiale,Chianti Classico,Riserva,DOCG,Toscana,25-29,84,84,Rosso fermo,Sangiovese 90% – Canaiolo 5% – Ciliegiolo 5%,13.5,10k,nd,15 mesi in barrique + 12 mesi in bottiglia,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000249,3,2016,Castellare Di Castellina,Chianti Classico Riserva Vigna Il Poggiale,Chianti Classico,Riserva,DOCG,Toscana,25-29,87,87,Rosso fermo,Sangiovese 90% – Canaiolo 5% – Ciliegiolo 5%,13.5,14k,Coniglio alla cacciatora,15 mesi in barrique,"Rubino compatto con tracce granato. Ricordi di ciliegia e mora di rovo, glicine e delicate evidenze terrose si intrecciano a nuance minerali di ardesia. In bocca è composto  e integrato, caratterizzato da una buona combinazione tra alcol e tannini. ",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000249,3,2017,Castellare Di Castellina,Chianti Classico Riserva Vigna Il Poggiale,Chianti Classico,Riserva,DOCG,Toscana,25-29,87,87,Rosso fermo,Sangiovese 90% – Canaiolo 5% – Ciliegiolo 5%,13.5,10k,Costata di manzo alla brace,18 mesi in barrique + 12 mesi in bottiglia,"Tenue tonalità granato. Un incipit floreale di viola e rosa annuncia sensazioni di marasca  e arancia sanguinella, seguite a ruota da un corredo di erbe alpine e da un leggero tocco speziato e balsamico. Sorso vellutato, animato da tannini affilati, trainati da freschezza e sapidità. ",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000249,3,2018,Castellare Di Castellina,Chianti Classico Riserva Vigna Il Poggiale,Chianti Classico,Riserva,DOCG,Toscana,25-29,86,86,Rosso fermo,Sangiovese 90% – Canaiolo 5% – Ciliegiolo 5%,14,10k,nd,18 mesi in barrique + 12 mesi in bottiglia,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000249-1,2★-4★,,Castellare Di Castellina,Chianti Classico Riserva Vigna Il Poggiale,Chianti Classico,Riserva,DOCG,Toscana,25-29,na,na,Rosso fermo,Sangiovese 90% – Canaiolo 5% – Ciliegiolo 5%,14,10k-14k,Tordi allo spiedo – Coniglio alla cacciatora – Costata di manzo alla brace,18 mesi in barrique + 12 mesi in bottiglia,,"A partire dall'annata 2015 il nome proprio del vino è cambiato: da ""Il Poggiale"" a ""Vigna Il Poggiale""",na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000250,2,2013,Castellare Di Castellina,Chianti Classico Riserva,Chianti Classico,Riserva,DOCG,Toscana,15-19,84,84,Rosso fermo,Sangiovese 95% – Canaiolo 5%,13.5,15k,nd,15 mesi in barrique e tonneau + 15 mesi in bottiglia,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000250,2,2014,Castellare Di Castellina,Chianti Classico Riserva,Chianti Classico,Riserva,DOCG,Toscana,20-24,84,84,Rosso fermo,Sangiovese 95% – Canaiolo 5%,13.5,15k,nd,15 mesi in barrique e tonneau + 15 mesi in bottiglia,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000250,3,2015,Castellare Di Castellina,Chianti Classico Riserva,Chianti Classico,Riserva,DOCG,Toscana,20-24,86,86,Rosso fermo,Sangiovese 95% – Canaiolo 5%,13.5,15k,Salsicce con fagioli all'uccelletto,15 mesi in barrique e tonneau + 15 mesi in bottiglia,"Rubino profondo. Riconoscimenti olfattivi di arancia rossa, confettura di fragole, peonia, sottobosco, humus e mentolo, con effluvi di origano e pepe nero. In bocca si apprezza un'ottima combinazione tra alcol e tannini, che conduce a una saporita conclusione. ",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000250,3,2016,Castellare Di Castellina,Chianti Classico Riserva,Chianti Classico,Riserva,DOCG,Toscana,20-24,86,86,Rosso fermo,Sangiovese 95% – Canaiolo 5%,13.5,15k,nd,15 mesi in barrique e tonneau + 15 mesi in bottiglia,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000250,3,2017,Castellare Di Castellina,Chianti Classico Riserva,Chianti Classico,Riserva,DOCG,Toscana,20-24,86,86,Rosso fermo,Sangiovese 95% – Canaiolo 5%,13.5,15k,nd,15 mesi in barrique e tonneau + 15 mesi in bottiglia,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000250,3,2018,Castellare Di Castellina,Chianti Classico Riserva,Chianti Classico,Riserva,DOCG,Toscana,20-24,86,86,Rosso fermo,Sangiovese 95% – Canaiolo 5%,14,15k,nd,15 mesi in barrique e tonneau + 15 mesi in bottiglia,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000250-1,2★-3★,,Castellare Di Castellina,Chianti Classico Riserva,Chianti Classico,Riserva,DOCG,Toscana,20-24,na,na,Rosso fermo,Sangiovese 95% – Canaiolo 5%,14,15k,Salsicce con fagioli all'uccelletto,15 mesi in barrique e tonneau + 15 mesi in bottiglia,,,na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000251,2,2014,Castellare Di Castellina,Chianti Classico,Chianti Classico,,DOCG,Toscana,10-14,84,84,Rosso fermo,Sangiovese 95% – Canaiolo 5%,13.5,100k,nd,7 mesi in botte,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000251,2,2015,Castellare Di Castellina,Chianti Classico,Chianti Classico,,DOCG,Toscana,10-14,84,84,Rosso fermo,Sangiovese 95% – Canaiolo 5%,13.5,130k,nd,7 mesi in botte,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000251,2,2016,Castellare Di Castellina,Chianti Classico,Chianti Classico,,DOCG,Toscana,10-14,84,84,Rosso fermo,Sangiovese 95% – Canaiolo 5%,13.5,120k,nd,7 mesi in botte,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000251,2,2017,Castellare Di Castellina,Chianti Classico,Chianti Classico,,DOCG,Toscana,15-19,84,84,Rosso fermo,Sangiovese 95% – Canaiolo 5%,13.5,11k,nd,7 mesi in botte,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000251,3,2018,Castellare Di Castellina,Chianti Classico,Chianti Classico,,DOCG,Toscana,15-19,85,85,Rosso fermo,Sangiovese 95% – Canaiolo 5%,13.5,150k,nd,7 mesi in botte,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000251,3,2019,Castellare Di Castellina,Chianti Classico,Chianti Classico,,DOCG,Toscana,15-19,85,85,Rosso fermo,Sangiovese 95% – Canaiolo 5%,14,150k,nd,7 mesi in botte,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000251-1,2★-3★,,Castellare Di Castellina,Chianti Classico,Chianti Classico,,DOCG,Toscana,15-19,na,na,Rosso fermo,Sangiovese 95% – Canaiolo 5%,14,11k-150k,nd,7 mesi in botte,,,na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000252,4,2016,Castellinuzza,Chianti Classico Riserva,Chianti Classico,Riserva,DOCG,Toscana,25-29,90,90,Rosso fermo,Sangiovese 95% – Canaiolo 3% – Malvasia nera 2%,13.5,2k,Bistecca alla fiorentina,24 mesi in botte,"Rosso rubino luminoso. La tavolozza olfattiva seduce con un floreale intenso di glicine e magnolia, frutti di bosco e arancia sanguinella, infine pepe e tabacco. Bocca perfettamente equilibrata da un sorso fresco e verticale, tannino levigato e lunga persistenza",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000252-1,4★,,Castellinuzza,Chianti Classico Riserva,Chianti Classico,Riserva,DOCG,Toscana,25-29,na,na,Rosso fermo,Sangiovese 95% – Canaiolo 3% – Malvasia nera 2%,13.5,2k,Bistecca alla fiorentina,24 mesi in botte,,,na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000253,3,2015,Castellinuzza,Chianti Classico Gran Selezione,Chianti Classico,Gran Selezione,DOCG,Toscana,35-39,88,88,Rosso fermo,Sangiovese 98% – Canaiolo 1% – Malvasia nera 1%,14,1k,nd,36 mesi in botte,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000253-1,3★,,Castellinuzza,Chianti Classico Gran Selezione,Chianti Classico,Gran Selezione,DOCG,Toscana,35-39,na,na,Rosso fermo,Sangiovese 98% – Canaiolo 1% – Malvasia nera 1%,14,1k,nd,36 mesi in botte,,,na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000254,2,2017,Castellinuzza,Chianti Classico,Chianti Classico,,DOCG,Toscana,15-19,84,84,Rosso fermo,Sangiovese 95% – Canaiolo 3% – Malvasia nera 2%,13.5,7k,nd,12 mesi in botte ,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000254-1,2★,,Castellinuzza,Chianti Classico,Chianti Classico,,DOCG,Toscana,15-19,na,na,Rosso fermo,Sangiovese 95% – Canaiolo 3% – Malvasia nera 2%,13.5,7k,nd,12 mesi in botte ,,,na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000255,3,2018,Castello Di Ama,Chianti Classico Riserva Montebuoni,Chianti Classico,Riserva,DOCG,Toscana,30-34,88,88,Rosso fermo,Sangiovese 95% – Merlot 5%,13.5,40k,nd,12 mesi in botte ,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000255-1,3★,,Castello Di Ama,Chianti Classico Riserva Montebuoni,Chianti Classico,Riserva,DOCG,Toscana,30-34,na,na,Rosso fermo,Sangiovese 95% – Merlot 5%,13.5,40k,nd,12 mesi in botte ,,,na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000256,4,2013,Castello Di Ama,Chianti Classico Gran Selezione San Lorenzo,Chianti Classico,Gran Selezione,DOCG,Toscana,35-39,89,89,Rosso fermo,Sangiovese 80% – Merlot 13% – Malvasia nera 7%,13,97k,nd,14 mesi in botte,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000256,4,2014,Castello Di Ama,Chianti Classico Gran Selezione San Lorenzo,Chianti Classico,Gran Selezione,DOCG,Toscana,35-39,89,89,Rosso fermo,Sangiovese 80% – Merlot 13% – Malvasia nera 7%,13,70k,Etrusca alla brace,14 mesi in botte,"Rubino vivace e trasparente. Attacco deciso di confettura di frutti rossi, ciliegie e susine. Emergono poi profumi di sambuco, nepitella, pepe rosa, violetta, rosmarino e legno di cedro. Ingresso gustativo saporoso e quasi materico, dalla trama tannica già in buona parte integrata, ma che darà il meglio di sé in prospettiva. Pregevole anche la spalla acida, che invita a un nuovo sorso. Scia sapida in chiusura con adeguata persistenza. ",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
