Categoria-1,Ref,OLDVSCORE,RS,RAWQP,QP,MediaGrezza,Valutazione,Anno,Produttore,Nome,Denominazione,Menzioni,Classificazione,Regione,PunteggioMedio,ValutazioneAIS,AIS,ValutazioneGR,GR,Tipologia,Prezzo,Composizione,Alcol,Bottiglie,Abbinamento,Affinamento,Descrizione,Note,PunteggioGuida3,PunteggioGuida4,PunteggioGuida5,PunteggioGuida6,PunteggioGuida7,Nazione,Entry,Millesimo,Tecnica,Zucchero
,0000859,,,,,,3,2013,Vallerosa Bonci,Castelli Di Jesi Verdicchio Riserva Classico Pietrone,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,86,,86,,na,Bianco fermo,30-34,Verdicchio 100%,13.5,3k,Stoccafisso all'anconetana,10 mesi in acciaio + 30 mesi in bottiglia,"Paglierino con riflessi dorati, luminoso. Si apre su intense sensazioni agrumate di mandarino, poi erbe aromatiche, anice stellato, presenze balsamiche, ginestra e frutta. In seguito libera caratteristici aromi di mandorla, vaniglia, pepe bianco, su un fondo salmastro. Il sorso è appagante, saporito, di personalità e potenza. Si congeda su un sentiero di zafferano e burro di arachidi. Riposa in cemento vetrificato. ",,na,na,na,na,na,Italia,2,,,
,0000859,,,,,,4,2015,Vallerosa Bonci,Castelli Di Jesi Verdicchio Riserva Classico Pietrone,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,89,,89,,na,Bianco fermo,30-34,Verdicchio 100%,13.5,3k,Trancio di pesce spada alla griglia,10 mesi in acciaio + 30 mesi in bottiglia,"Oro intenso. Evoluto al naso, esordisce con frutta esotica di papaia e mango, camonmilla e cera d'api, albicocca e melone; prosegue con sensazioni di muschio, tabacco e mandorla tostata. Effluvi mentolati e note di pietra pomice si estendono sulla chiusura salmastra. Fresco e sapido al palato, in contrapposizione con calde sensazioni che orientano su percezioni di equilibrio. Matura in cemento vetrificato per 12 mesi, affina a lungo in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,0000859-1,1.34,9,0.28,9,3.5,3★-4★,,Vallerosa Bonci,Castelli Di Jesi Verdicchio Riserva Classico Pietrone,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,na,,na,,na,Bianco fermo,30-34,Verdicchio 100%,13.5,3k,Stoccafisso all'anconetana – Trancio di pesce spada alla griglia,10 mesi in acciaio + 30 mesi in bottiglia,,,na,na,na,na,na,Italia,1,,,
,0000860,,,,,,3,2015,Broccanera,Castelli Di Jesi Verdicchio Riserva Zirro,Castelli Di Jesi Verdicchio Riserva,,DOCG,Marche,86,,86,,na,Bianco fermo,20-24,Verdicchio 100%,14,2k,Salmone al forno,24 mesi in acciaio,"Veste dorata. Sentori evoluti di iodio accompagnano una bella speziatura intrecciata a peperone verde e asparago, erbe di campo e un soffio sulfureo. Distinto ed elegante al gusto, esprime un perfetto equilibrio tra alcol e percezione fresco-sapida. La chiusura sfuma lentamente su echi di cera d'api. Maturazione in acciaio per 24 mesi. ",,na,na,na,na,na,Italia,2,,,
,0000860,,,,,,3,2016,Broccanera,Castelli Di Jesi Verdicchio Riserva Zirro,Castelli Di Jesi Verdicchio Riserva,,DOCG,Marche,86,,86,,na,Bianco fermo,20-24,Verdicchio 100%,13.5,1k,nd,24 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0000860-1,0.68,5,0.21,7,3.0,3★,,Broccanera,Castelli Di Jesi Verdicchio Riserva Zirro,Castelli Di Jesi Verdicchio Riserva,,DOCG,Marche,na,,na,,na,Bianco fermo,20-24,Verdicchio 100%,13.5,1k-2k,Salmone al forno,24 mesi in acciaio,,,na,na,na,na,na,Italia,1,,,
,0000861,,,,,,3,2015,Brunori,Castelli Di Jesi Verdicchio Riserva Classico San Nicolo,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,86,,86,,na,Bianco fermo,10-14,Verdicchio 100%,14,1k,Tagliata di tonno con sesamo e wasabi,12 mesi in cemento,"Traspare eleganza già alla vista, dal colore dorato luminoso. La conferma  è un grande impatto olfattivo che si apre con fiori gialli, mandorle, arachidi, pistacchi e lime. Un accenno di canfora accompagna sentori di pietra focaia e una sfumatura vanigliata. La vibrante tensione gustativa, tutta in divenire,  si caratterizza per alcolicità, acidità e sapidità, splendidamente protagoniste. Raffinato nella persistenza con belle prospettive per il futuro. Riposa in botti di cemento per 12 mesi ",,na,na,na,na,na,Italia,2,,,
,0000861,,,,,,5,2016,Brunori,Castelli Di Jesi Verdicchio Riserva Classico San Nicolo,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,91,,91,,na,Bianco fermo,10-14,Verdicchio 100%,13.5,2k,Rombo all'acqua pazza,12 mesi in cemento,"Giallo paglierino lucente. Brillante esordio legato a sensazioni floreali  di camomilla, ginestra e rosa, unite a frutta a polpa gialla che amplifica la successiva folata erbacea di melissa, aneto e salvia. Ricordi di pietra focaia e il tipico tocco ammandorlato. Pur palesando un'immediata tonicità, al palato si mostra elegante, con una ricca presenza sapida, resa più rotonda dall'equilibrata vena alcolica e dalla lieve scia amaricante nel lungo finale Maturazione in botti di cemento per 12 mesi ",,na,na,na,na,na,Italia,2,,,
,0000861,,,,,,2,2017,Brunori,Castelli Di Jesi Verdicchio Riserva Classico San Nicolo,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,84,,84,,na,Bianco fermo,10-14,Verdicchio 100%,14,1k,nd,12 mesi in cemento,,,na,na,na,na,na,Italia,2,,,
,0000861,,,,,,3,2018,Brunori,Castelli Di Jesi Verdicchio Riserva Classico San Nicolo,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,85,,85,,na,Bianco fermo,10-14,Verdicchio 100%,13.5,2k,Orata al forno con olive e pomodori pachino,12 mesi in cemento,"Paglierino smagliante dalle screziature dorate. Chiari e intensi sentori di mimosa e nespola sono seguiti da richiami alla mandorla. Raffinato e rotondo il sorso, bilanciato da una stimolante acidità  che ravviva la beva; intriganti tratti di frutta secca arricchiscono la chiusura. Fermenta con lieviti indigeni e matura in botti di cemento per 12 mesi ",,na,na,na,na,na,Italia,2,,,
,0000861,,,,,,3,2019,Brunori,Castelli Di Jesi Verdicchio Riserva Classico San Nicolo,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,86,,86,,na,Bianco fermo,10-14,Verdicchio 100%,14,1k,nd,12 mesi in cemento,,,na,na,na,na,na,Italia,2,,,
,0000861-1,4.11,28,2.30,73,3.2,2★-5★,,Brunori,Castelli Di Jesi Verdicchio Riserva Classico San Nicolo,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,na,,na,,na,Bianco fermo,10-14,Verdicchio 100%,14,1k-2k,Tagliata di tonno con sesamo e wasabi – Rombo all'acqua pazza – Orata al forno con olive e pomodori pachino,12 mesi in cemento,,,na,na,na,na,na,Italia,1,,,
,0000862,,,,,,3,2019,Luca Cimarelli,Castelli Di Jesi Verdicchio Riserva Classico Selezione Cimarelli,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,86,,86,,na,Bianco fermo,20-24,Verdicchio 100%,14.5,2k,nd,?,,,na,na,na,na,na,Italia,2,,,
,0000862-1,0.34,2,0.10,3,3.0,3★,,Luca Cimarelli,Castelli Di Jesi Verdicchio Riserva Classico Selezione Cimarelli,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,na,,na,,na,Bianco fermo,20-24,Verdicchio 100%,14.5,2k,nd,?,,,na,na,na,na,na,Italia,1,,,
,0000863,,,,,,3,2015,Colognola Tenuta Musone,Castelli Di Jesi Verdicchio Riserva Classico Labieno XIII Ottobre,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,86,,86,,na,Bianco fermo,15-19,Verdicchio 100%,14.5,3k,Lasagna di pesce azzurro,12 mesi in acciaio,"Veste giallo paglierino vivace e una consistenza che rallenta le movenze nel calice. Profilo olfattivo tostato, con mela cotogna, acacia e timo a completare  lo spettro. Al palato è ricercato; la distinta freschezza tiene in perfetto equilibrio una calda e vellutata struttura Chiude lungo e saporito, con delicate reminiscenze di zafferano. Fermenta  in legno grande e riposa per 12 mesi in acciaio. ",,na,na,na,na,na,Italia,2,,,
,0000863,,,,,,2,2016,Colognola Tenuta Musone,Castelli Di Jesi Verdicchio Riserva Classico Labieno XIII Ottobre,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,84,,84,,na,Bianco fermo,15-19,Verdicchio 100%,14.5,3k,nd,?,,,na,na,na,na,na,Italia,2,,,
,0000863,,,,,,4,2017,Colognola Tenuta Musone,Castelli Di Jesi Verdicchio Riserva Classico Labieno,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,89,,89,,na,Bianco fermo,15-19,Verdicchio 100%,14.5,4k,San Pietro all'acqua pazza,12 mesi in acciaio + 12 mesi in legno,"Brillante paglierino con screzi dorati. Variegato al naso, espri- me note di spezie dolci, finocchietto e anice. Il floreale spazia dalla ginestra alla mimosa, poi cedro, buccia d’arancia e per- coca. La freschezza gustativa è equilibrata al volume alcoli- co. Chiude con richiami di frutti gialli maturi.",,na,na,na,na,na,Italia,2,,,
,0000863-1,1.46,10,0.57,18,3.0,2★-4★,,Colognola Tenuta Musone,Castelli Di Jesi Verdicchio Riserva Classico Labieno,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,na,,na,,na,Bianco fermo,15-19,Verdicchio 100%,14.5,3k-4k,Lasagna di pesce azzurro – San Pietro all'acqua pazza,12 mesi in acciaio o 12 mesi in legno,,,na,na,na,na,na,Italia,1,,,
,0000864,,,,,,3,2017,Fattoria Coroncino,Castelli Di Jesi Verdicchio Riserva Classico Stracacio,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,86,,86,,na,Bianco fermo,25-29,Verdicchio 100%,15,2k,nd,22 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0000864-1,0.34,2,0.08,3,3.0,3★,,Fattoria Coroncino,Castelli Di Jesi Verdicchio Riserva Classico Stracacio,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,na,,na,,na,Bianco fermo,25-29,Verdicchio 100%,15,2k,nd,22 mesi in acciaio,,,na,na,na,na,na,Italia,1,,,
,0000865,,,,,,3,2014,Fazi Battaglia Tenute San Sisto,Castelli Di Jesi Verdicchio Riserva Classico San Sisto,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,85,,85,,na,Bianco fermo,20-24,Verdicchio 100%,13.5,15k,Spaghetti alla carbonara,12 mesi in botte,"Giallo luminescente. Il profumo indugia timido a uscire. Sollecitati da lieve rotazione del calice, i sentori di zagara, burro d'alpeggio, fiori gialli di montagna ed erbe aromatiche emergono armoniosi. Gusto adolescente, citrino. Erbaceo e minerale combattono tra loro sfumando in chiusura con una mandorla verde. Barrique e tonneau di Allier per 12 mesi e altrettanti in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,0000865,,,,,,3,2015,Fazi Battaglia Tenute San Sisto,Castelli Di Jesi Verdicchio Riserva Classico San Sisto,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,86,,86,,na,Bianco fermo,20-24,Verdicchio 100%,14,15k,Galantina di fagiano con lamelle di formaggio di fossa,12 mesi in botte,"Paglierino brillante con lampi  dorati. Profilo olfattivo raffinato, che esordisce con nette espressioni di brezza salmastra. Seguono ricordi di zafferano, ginestra, mandorla amara, scorza d'arancia, anice stellato, pesca ed erbe aromatiche. Chiusura affidata a fragranze di pasticceria. Massima espressività al palato, che offre equilibrio e persistenza. Finale gradevolmente ammandorlato. In acciaio e in legno, di varie dimensioni, per 12 mesi ",,na,na,na,na,na,Italia,2,,,
,0000865,,,,,,3,2016,Fazi Battaglia Tenute San Sisto,Castelli Di Jesi Verdicchio Riserva Classico San Sisto,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,85,,85,,na,Bianco fermo,20-24,Verdicchio 100%,13,15k,Oca arrosto con patate,12 mesi in botte,"Paglierino dai riflessi dorati. Al naso esalta ricordi fruttati di giuggiola e agrumi, con evidenze caramellate Evolve verso sensazioni di pietra focaia, lungo scie floreali di sambuco, zagara, ginestra, con cenni di pesca nettarina. Una piacevole acidità citrina si palesa al sorso, equilibrato dalla vivida sapidità e dalla vena alcolica. In acciaio e in botte grande per 12 mesi, poi un anno in bottiglia ",,na,na,na,na,na,Italia,2,,,
,0000865,,,,,,3,2017,Fazi Battaglia Tenute San Sisto,Castelli Di Jesi Verdicchio Riserva Classico San Sisto,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,86,,86,,na,Bianco fermo,20-24,Verdicchio 100%,13,15k,Baccalà lesso con salsa verde,12 mesi in botte,"| Verdolino luminoso. Fine e garbato al naso, apre con cemni di tè verde, erba fresca e sfumature di aghi di pino, cedro, poi acacia e biancospino. Riempie il palato con la sua massa, restando agile, improntato a freschezza e componente sapida; lungo il retrogusto di mandorla. Fermentazione e maturazione in acciaio e in botte grande per 12 mesi ",,na,na,na,na,na,Italia,2,,,
,0000865,,,,,,4,2018,Fazi Battaglia Tenute San Sisto,Castelli Di Jesi Verdicchio Riserva Classico San Sisto,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,89,,89,,na,Bianco fermo,20-24,Verdicchio 100%,13,13k,Branzino al sale,12 mesi in botte,"Veste paglierino. Bouquet tra balsamico, cera d'api, foglie di tè verde, richiamo salmastro, che sconfina poi al dattero maturo. Al palato risulta equilibrato, grazie a sapidità e acidità rinfrescanti e alcolicità calorica. Finale lungo e pieno su lime e pompelmo.",,na,na,na,na,na,Italia,2,,,
,0000865-1,2.36,16,0.72,23,3.2,3★-4★,,Fazi Battaglia Tenute San Sisto,Castelli Di Jesi Verdicchio Riserva Classico San Sisto,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,na,,na,,na,Bianco fermo,20-24,Verdicchio 100%,13,13k-15k,Spaghetti alla carbonara – Galantina di fagiano con lamelle di formaggio di fossa – Oca arrosto con patate – Baccalà lesso con salsa verde – Branzino al sale,12 mesi in botte,,,na,na,na,na,na,Italia,1,,,
,0000866,,,,,,3,2012,Garofoli,Castelli Di Jesi Verdicchio Riserva Classico Serra Fiorese,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,86,,86,,na,Bianco fermo,15-19,Verdicchio 100%,13,1k,Ricciola al forno con tartufo,11 mesi in barrique + 24 mesi in bottiglia,"Giallo tendente al dorato. Inebria il naso in un susseguirsi di profumi: pasticceria, caramelle d'orzo, malto, scaglie di cioccolato bianco, zafferano, poi rosa gialla appassita, nespola, albicocca disidratata, miele e mandorla. Pieno  e morbido, con spina dorsale fresco- sapida. Lunga persistenza, con la mineralità che ne conferma il profilo aristocratico. Per 11 mesi in barrique di media tostatura ",,na,na,na,na,na,Italia,2,,,
,0000866,,,,,,5,2013,Garofoli,Castelli Di Jesi Verdicchio Riserva Classico Serra Fiorese,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,91,,91,,na,Bianco fermo,15-19,Verdicchio 100%,12.5,6k,Pescatrice lardellata su purea di ceci e tartufo,11 mesi in barrique + 24 mesi in bottiglia,"Colata d'oro luccicante. Sentieri melliflui di vaniglia, rosa gialla, burro, cheesecake al limone, ginestra rigogliosa e cera d'api. Inebria le papille gustative con morbide rotondità. Caldo il respiro, che rimanda a memorie di zafferano e a un velo di pepe bianco. Viva e vellutata la persistenza. Matura in acciaio per 15 mesi, poi in barrique per altri 11. ",,na,na,na,na,na,Italia,2,,,
,0000866,,,,,,3,2014,Garofoli,Castelli Di Jesi Verdicchio Riserva Classico Serra Fiorese,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,86,,86,,na,Bianco fermo,15-19,Verdicchio 100%,13.5,6k,Uova con tartufo bianco e fonduta di bagoss,11 mesi in barrique + 24 mesi in bottiglia,"Oro antico. Al naso emergono profumi di camomilla, tarassaco, cera d'api e biscotto. Intriga con zafferano, noce moscata, mandorla, uva spina e melissa, susina gialla e albicocca secca. Ricco e sinuoso in bocca, dal morbido abbraccio sapido. In barrique per 11 mesi e in bottiglia per 2 anni. ",,na,na,na,na,na,Italia,2,,,
,0000866,,,,,,3,2015,Garofoli,Castelli Di Jesi Verdicchio Riserva Classico Serra Fiorese,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,87,,87,,na,Bianco fermo,15-19,Verdicchio 100%,13.5,6k,Paella alla catalana,11 mesi in barrique + 24 mesi in bottiglia,"Paglierino lucente. Suadente spettro olfattivo: cera d’api, camomilla e  fieno, con melone e albicocca, erbe aromatiche e sfumature salmastre. Al gusto presenta grande struttura, con sapidità in evidenza e chiusura coerente di pasta sfoglia. Matura in legno piccolo per 11 mesi e affina in bottiglia per altri 24 ",,na,na,na,na,na,Italia,2,,,
,0000866,,,,,,5,2016,Garofoli,Castelli Di Jesi Verdicchio Riserva Classico Serra Fiorese,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,91,,91,,na,Bianco fermo,15-19,Verdicchio 100%,13.5,6k,Filetto di ombrina in crosta di noci e pistacchi,11 mesi in barrique + 24 mesi in bottiglia,"Incantevole giallo paglierino dai riflessi oro. Il suadente profilo olfattivo offre profumi di burro e crema al limone, timo e rosmarino, ricordi iodati; poi camonmilla e albicocca. Al gusto è generoso e si esprime carezzevole e morbido, avvolgendo l’intero cavo orale. Al contempo è fresco ed equilibrato  da una gustosa sapidità. Il finale persistente torna sulle sfumature di erbe aromatiche. Fermentazione in acciaio e maturazione in barrique per 11 mesi. Affina in bottiglia, a temperatura controllata, per 24 mesi. ",,na,na,na,na,na,Italia,2,,,
,0000866,,,,,,4,2017,Garofoli,Castelli Di Jesi Verdicchio Riserva Classico Serra Fiorese,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,89,,89,,na,Bianco fermo,15-19,Verdicchio 100%,13.5,6k,nd,11 mesi in barrique + 24 mesi in bottiglia,,,na,na,na,na,na,Italia,2,,,
,0000866-1,7.98,54,3.15,100,3.8,3★-5★,,Garofoli,Castelli Di Jesi Verdicchio Riserva Classico Serra Fiorese,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,na,,na,,na,Bianco fermo,15-19,Verdicchio 100%,13.5,1k-6k,Ricciola al forno con tartufo – Pescatrice lardellata su purea di ceci e tartufo – Uova con tartufo bianco e fonduta di bagoss – Paella alla catalana – Filetto di ombrina in crosta di noci e pistacchi,11 mesi in barrique + 24 mesi in bottiglia,,,na,na,na,na,na,Italia,1,,,
,0000867,,,,,,3,2017,La Staffa,Castelli Di Jesi Verdicchio Riserva Classico Rincrocca,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,86,,86,,na,Bianco fermo,20-24,Verdicchio 100%,13.5,6k,Linguine ai ricci di mare,12 mesi in cemento,"Paglierino vivido e lucente. Giungono al naso eleganti afflati di biancospino, pesca, Mughetto, erba citrina e vaniglia Al palato risalta il bilanciato intreccio di freschezza e sapidità, ben sostenute dalla struttura. Amaricante nel finale, con una lieve nota fumé. Maturazione in cemento per 12 mesi e lungo affinamento in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,0000867,,,,,,3,2018,La Staffa,Castelli Di Jesi Verdicchio Riserva Classico Rincrocca,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,87,,87,,na,Bianco fermo,25-29,Verdicchio 100%,13.5,9k,Trancio di pesce spada in padella,12 mesi in cemento,"Colore paglierino. Note di camomilla, dragoncello, mandorla e sbuffo di idrocarburi disegnano un bel quadro olfattivo. Morbido al gusto, con bella percezione alcolica, è animato da una rinfre- scante sapidità che lo accompagna fino alla scia finale ricca di ricordi agrumati.",,na,na,na,na,na,Italia,2,,,
,0000867-1,0.68,5,0.17,5,3.0,3★,,La Staffa,Castelli Di Jesi Verdicchio Riserva Classico Rincrocca,Castelli Di Jesi Verdicchio Riserva,,DOCG,Marche,na,,na,,na,Bianco fermo,25-29,Verdicchio 100%,13.5,6k-9k,Linguine ai ricci di mare – Trancio di pesce spada in padella,12 mesi in cemento,,,na,na,na,na,na,Italia,1,,,
,0000868,,,,,,3,2013,Marotti Campi,Castelli Di Jesi Verdicchio Riserva Classico Salmariano,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,86,,86,,na,Bianco fermo,10-14,Verdicchio 100%,14,20k,Scampi alla busara,12 mesi in acciaio e tonneau,"Paglierino smagliante. Nuance di ananas, vaniglia e rosa. Mostra carattere, abbinando alla struttura un'invidiabile freschezza e un'ottima bevibilità. Di esemplare equilibrio  e notevole persistenza, sfocia in stuzzicanti note tropicali. Trascorre 12 mesi a contatto con i lieviti, in acciaio e una piccola parte in barrique di rovere francese ",,na,na,na,na,na,Italia,2,,,
,0000868,,,,,,3,2014,Marotti Campi,Castelli Di Jesi Verdicchio Riserva Classico Salmariano,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,87,,87,,na,Bianco fermo,10-14,Verdicchio 100%,14,20k,Stoccafisso con patate,12 mesi in acciaio e tonneau,"Giallo paglierino intenso, dai riflessi verde oro. All’olfatto esprime personalità, con vivaci percezioni di sambuco, gelsomino, biancospino, frutta esotica; seguono fresche essenze di agrumi. Ricco e avvolgente all’assaggio, è decisamente setoso e si distingue per eleganza e struttura. Nel finale ritornano lunghi ricordi fumé ed esotici. Sosta in acciaio, una piccola parte in barrique, per 12 mesi. ",,na,na,na,na,na,Italia,2,,,
,0000868,,,,,,3,2015,Marotti Campi,Castelli Di Jesi Verdicchio Riserva Classico Salmariano,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,87,,87,,na,Bianco fermo,10-14,Verdicchio 100%,14,26k,Rombo al forno,12 mesi in acciaio e tonneau,"Giallo dorato. Al naso emergono cenni fruttati di susina goccia d'oro, cedro  e ananas, con ginestra, spezie dolci e una ventata balsamica. Sorso elegante, buona acidità e saporita mineralità, che portano a una conclusione su una scia minerale. Maturazione in acciaio e legno per 12 mesi ",,na,na,na,na,na,Italia,2,,,
,0000868,,,,,,4,2016,Marotti Campi,Castelli Di Jesi Verdicchio Riserva Classico Salmariano,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,89,,89,,na,Bianco fermo,10-14,Verdicchio 100%,14,25k,Oca al forno,12 mesi in acciaio e tonneau,"Sfoggia una veste paglierino con intarsi verdolini. Olfatto ricco e profondo, esibisce suadenti percezioni di tiglio, anice, erbette aromatiche,; sullo sfondo emergono frutta esotica, pepe bianco e uno sbuffo salmastro. Emozionante al gusto: impatto decisamente caldo, corpo pieno e vibrante sapidità; scorre lentamente, lasciando indelebili ricordi ammandorlati. Matura in acciaio per 12 mesi, una piccola parte in barrique usate. ",,na,na,na,na,na,Italia,2,,,
,0000868,,,,,,3,2017,Marotti Campi,Castelli Di Jesi Verdicchio Riserva Classico Salmariano,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,86,,86,,na,Bianco fermo,10-14,Verdicchio 100%,14,26k,San Pietro in potacchio,12 mesi in acciaio e tonneau,"Brillante giallo paglierino. Al naso regala le tipiche tonalità del vitigno: una composizione di fiorellini, gelsomino  e corniolo, frutta a polpa bianca,  spunti di anice e vaniglia. La buona freschezza e la sapidità sono in perfetto bilanciamento con l'’avvolgenza alcolica Maturazione in acciaio, e un terzo in tonneau, per 12 mesi. ",,na,na,na,na,na,Italia,2,,,
,0000868,,,,,,4,2018,Marotti Campi,Castelli Di Jesi Verdicchio Riserva Classico Salmariano,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,89,,89,,na,Bianco fermo,10-14,Verdicchio 100%,14,30k,Ombrina al forno,12 mesi in acciaio e tonneau,"Freschezza cromatica nel dorato lucente. Progressione olfat- tiva: eucalipto, cera d'api, resina, ceralacca, nota salmastra su erba tagliata. Sconfina nelle spezie e nella frutta esotica. Gusto pieno con acidità e sapidità tese e suadente alcolicità. Chiude su agrumi succosi.",,na,na,na,na,na,Italia,2,,,
,0000868-1,3.36,23,1.88,60,3.3,3★-4★,,Marotti Campi,Castelli Di Jesi Verdicchio Riserva Classico Salmariano,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,na,,na,,na,Bianco fermo,10-14,Verdicchio 100%,14,20k-30k,Scampi alla busara – Stoccafisso con patate – Rombo al forno – Oca al forno – San Pietro in potacchio – Ombrina al forno,12 mesi in acciaio e tonneau,,,na,na,na,na,na,Italia,1,,,
,0000869,,,,,,3,2013,Moncaro,Castelli Di Jesi Verdicchio Riserva Classico Vigna Novali,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,86,,86,,na,Bianco fermo,15-19,Verdicchio 100%,14,18k,Ravioli di baccalà su crema di ceci,10 mesi in acciaio + 10 mesi in botte + 18 mesi in bottiglia,"Oro vivo e luminoso. Sprigiona ricordi  di ginestra, rosa e camomilla fusi a frammenti di melissa e vaniglia, tè e pepe bianco. Esibisce prugna, pesca, mela cotogna e arancia. Rigoroso e sincero nella trama, mostra proporzione tra le componenti gustative. Acciaio e legno complessivamente per 20 mesi ",,na,na,na,na,na,Italia,2,,,
,0000869,,,,,,4,2014,Moncaro,Castelli Di Jesi Verdicchio Riserva Classico Vigna Novali,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,89,,89,,na,Bianco fermo,15-19,Verdicchio 100%,14,9k,Anatra al forno,10 mesi in acciaio + 10 mesi in botte + 18 mesi in bottiglia,"Oro antico. Incipit floreale di giacinto  e fiori appassiti; il fruttato richiama la pesca, poi chiari accenti vanigliati e di tabacco biondo, un pizzico di zafferano, erbe aromatiche e una lieve venatura balsamica. L'ingresso in bocca è caldo, si sviluppa con un corpo avvolgente, che conserva immutata la sua eleganza lungo tutto l'assaggio. La chiusura è ancora briosa e saporita; affiorano sentori di mandorla dolce e nocciola Maturazione in acciaio per 10 mesi, con una piccola parte in barrique; seguono 18 mesi di affinamento in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,0000869,,,,,,2,2015,Moncaro,Castelli Di Jesi Verdicchio Riserva Classico Vigna Novali,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,84,,84,,na,Bianco fermo,15-19,Verdicchio 100%,14,11k,nd,10 mesi in acciaio + 10 mesi in botte + 18 mesi in bottiglia,,,na,na,na,na,na,Italia,2,,,
,0000869,,,,,,3,2016,Moncaro,Castelli Di Jesi Verdicchio Riserva Classico Vigna Novali,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,87,,87,,na,Bianco fermo,15-19,Verdicchio 100%,14,14k,Pesce spada al finocchietto selvatico,10 mesi in acciaio + 10 mesi in botte + 18 mesi in bottiglia,"Paglierino dai lampi dorati. Dipinge un variopinto quadro odoroso con fiori  di mimosa e rosa gialla, foglie di tè e mandorla verde; fonde miele di acacia  e zenzero con anice, gesso, limone e prugna gialla. Vispo e dinamico al palato, è sapido e affilato. Seduce con floridi ritorni coerenti. Sosta in acciaio, una piccola parte in barrique, per 10 mesi; affina in bottiglia per 18 mesi. ",,na,na,na,na,na,Italia,2,,,
,0000869,,,,,,4,2017,Moncaro,Castelli Di Jesi Verdicchio Riserva Classico Vigna Novali,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,89,,89,,na,Bianco fermo,15-19,Verdicchio 100%,14,6k,nd,10 mesi in acciaio + 10 mesi in botte + 18 mesi in bottiglia,,,na,na,na,na,na,Italia,2,,,
