Categoria-1,Ref,OLDRS,RS,RAWQP,QP,MediaGrezza,Anno,Menzioni,Nome,Classificazione,Denominazione,Produttore,Regione,Valutazione,Prezzo,Composizione,Abbinamento,PunteggioMedio,ValutazioneAIS,AIS,ValutazioneGR,GR,Tipologia,Alcol,Bottiglie,Affinamento,Descrizione,Note,Nazione,V,Q,Millesimo,Tecnica,Zucchero,Entry
,0000939,,,,,,2016,Del Comune Di Serralunga,Barolo Del Comune Di Serralunga,DOCG,Barolo,Boasso Gabutti,Piemonte,3,25-29,Nebbiolo 100%,Quaglia e salsiccia di Bra,86,,86,,na,Rosso fermo,15,15k,36 mesi in botte,"Granato fitto e lucente. Raggiunge appieno l'obiettivo di tenere insieme la sensualità olfattiva che il nebbiolo sa esprimere nei millesimi di grazia, quando il caldo andamento stagionale di questi tempi è distribuito con equanimità, e  il vigore alcolico e tannico conferito  al gusto dai terreni di Serralunga. Un dialogo tra genziana e fragolina, al naso come al retrolfatto, diventa un marcatore di piacere. Riposa per 3 anni in botti da 25 ettolitri. ",,Italia,,,,,,2
,0000939,,,,,,2017,Del Comune Di Serralunga,Barolo Del Comune Di Serralunga,DOCG,Barolo,Boasso Gabutti,Piemonte,3,25-29,Nebbiolo 100%,nd,86,,86,,na,Rosso fermo,15,15k,36 mesi in botte,,,Italia,,,,,,2
IN,0000939-1,1.81,10,0.37,19,2.8,,Del Comune Di Serralunga,Barolo Del Comune Di Serralunga,DOCG,Barolo,Boasso Gabutti,Piemonte,2★-3★,25-29,Nebbiolo 100%,Cotoletta di cervo al brandy – Agnello a lenta cottura – Quaglia e salsiccia di Bra,na,,na,,na,Rosso fermo,15,10k-15k,36 mesi in botte,,,Italia,,,,,,1
,0000938,,,,,,2012,Gabutti,Barolo Gabutti,DOCG,Barolo,Boasso Gabutti,Piemonte,4,35-39,Nebbiolo 100%,Maialino alla brace,89,,89,,na,Rosso fermo,14,4k,36 mesi in botte,"Ha colore granato scuro. Profilo intenso e variegato di erbe officinali, frutta rossa succosa e spezie dolci. Alle note di viola e menta si uniscono profumi di ciliegia e succo di lampone, caramella di liquirizia, fragola e melograno: un naso copioso, ma autentico e classico, che si conferma in bocca. Strutturato, giustamente tannico, lungo in persistenza. Un Gabutti di valore, prestigioso e austero, decisamente di Serralunga. Matura  per 36 mesi in botti grandi di rovere di Slavonia da 25 ettolitri. ",,Italia,,,,,,2
,0000938,,,,,,2013,Gabutti,Barolo Gabutti,DOCG,Barolo,Boasso Gabutti,Piemonte,3,40-44,Nebbiolo 100%,Faraona al forno in peverada,85,,85,,na,Rosso fermo,14,4k,36 mesi in botte,"Granato cupo ma scintillante. Subito t'inchioda con un blocco di sensazioni boschive, d'humus, fungo fresco, foglie pestate, cui segue, logica conseguenza, un nitore di piccoli frutti arbustivi, poi ancora felce e infine le spezie e una scia balsamica, in complessa successione. Bocca buona e corrispondente, di eccellente estrazione tannica. Coda spartita fra sapidità e note fruttate. Fermenta in acciaio, matura per 36 mesi in rovere di Slavonia da 25 ettolitri e affina in bottiglia per altri 6 mesi. ",,Italia,,,,,,2
,0000938,,,,,,2014,Gabutti,Barolo Gabutti,DOCG,Barolo,Boasso Gabutti,Piemonte,3,40-44,Nebbiolo 100%,Manzo al Porto,87,,87,,na,Rosso fermo,14.5,4k,36 mesi in botte,"Dalla classicità cromatica del  granato discendono profumi tipici di Serralunga: terra calda e salmastra, fragola macerata nel maraschino,  cenni balsamici e di conifera, viola secca. Palato intenso e pieno, con la forza tannica già visibile allo sguardo.  Di persistente austerità. Langa pura, archetipica. Riposa per 3 anni in botti da 10 ettolitri. i ",,Italia,,,,,,2
,0000938,,,,,,2015,Gabutti,Barolo Gabutti,DOCG,Barolo,Boasso Gabutti,Piemonte,3,35-39,Nebbiolo 100%,Cosciotto di cinghiale alla brace,86,,86,,na,Rosso fermo,14.5,4k,36 mesi in botte,"Manto granato. Un sottobosco quasi fungino apre le danze di un profilo olfattivo vario e territoriale, in cui si distinguono sensazioni di lampone macerato, assenzio, sbuffi balsamici  e tratti rugginosi. Solido e massiccio, chiude con tracce appena amarognole, in un quadro di pregevole continuità fruttata. Sosta per 36 mesi in botti da 10 ettolitri. ",,Italia,,,,,,2
,0000938,,,,,,2016,Gabutti,Barolo Gabutti,DOCG,Barolo,Boasso Gabutti,Piemonte,3,50-54,Nebbiolo 100%,nd,86,,86,,na,Rosso fermo,14.5,4k,36 mesi in botte,,,Italia,,,,,,2
,0000938,,,,,,2017,Gabutti,Barolo Gabutti,DOCG,Barolo,Boasso Gabutti,Piemonte,3,50-54,Nebbiolo 100%,nd,86,,86,,na,Rosso fermo,15,3k,36 mesi in botte,,,Italia,,,,,,2
IN,0000938-1,2.69,15,0.29,14,3.2,,Gabutti,Barolo Gabutti,DOCG,Barolo,Boasso Gabutti,Piemonte,3★-4★,50-54,Nebbiolo 100%,Maialino alla brace – Faraona al forno in peverada – Manzo al Porto – Cosciotto di cinghiale alla brace,na,,na,,na,Rosso fermo,15,3k-4k,36 mesi in botte,,,Italia,,,,,,1
,0000937,,,,,,2012,Margheria,Barolo Margheria,DOCG,Barolo,Boasso Gabutti,Piemonte,3,35-39,Nebbiolo 100%,Stinco di manzo,85,,85,,na,Rosso fermo,14,4k,2 mesi in acciaio + 36 mesi in botte grande,"Scuro nel colore, ha naso fitto e tradizionale, fatto di spezie fini, pepe, chiodi di garofano, pellame, cuoio, bacche, foglie secche, poi si allarga a confetture e tanta liquirizia. Un naso superclassico e intramontabile. La bocca ben risponde: dona morbidezza, struttura, tannini maturi e soprattutto tanto equilibrio. Piglio austero e vecchio stile, che goduria. Botti grandi di rovere di Slavonia per 36 mesi. Prima annata prodotta: 2000 ",,Italia,,,,,,2
,0000937,,,,,,2013,Margheria,Barolo Margheria,DOCG,Barolo,Boasso Gabutti,Piemonte,3,35-39,Nebbiolo 100%,Gnocchi al ragù di capriolo,85,,85,,na,Rosso fermo,14,4k,2 mesi in acciaio + 36 mesi in botte grande,"Granato incisivo. Naso affascinante:  un commovente profumo di fragoline d'antan e di viola si staglia su toni  di sandalo e menta secca. Al palato l'ingresso non è roboante, ma il sorso progredisce continuo, senza cedimenti, sostenuto da robuste fondamenta tanniche. Appassionare è meglio che impressionare. Riposa per 3 anni in botti da 20-25 ettolitri. ",,Italia,,,,,,2
,0000937,,,,,,2014,Margheria,Barolo Margheria,DOCG,Barolo,Boasso Gabutti,Piemonte,3,35-39,Nebbiolo 100%,Cappone arrosto al mandarino,86,,86,,na,Rosso fermo,14,4k,2 mesi in acciaio + 36 mesi in botte grande,"Granato lucente. Dialogo aperto tra olfatto e palato: il primo resta stregato dalle luminose fragranze di mora, fragola e lampone, dalla liquirizia, dall'aleggiare di sensazioni balsamiche e floreali,  che approdano a un nitido profumo di lavanda. Il secondo, per ora, registra una prevalenza fresco-tannica, complice il millesimo, nonostante la componente fruttata non abbia il minimo cedimento. Il dialogo porterà alla pacificazione, basta aspettare il momento. Botti da 20 ettolitri. ",,Italia,,,,,,2
,0000937,,,,,,2015,Margheria,Barolo Margheria,DOCG,Barolo,Boasso Gabutti,Piemonte,3,30-34,Nebbiolo 100%,Fagiano con salsa alle cipolle rosse,85,,85,,na,Rosso fermo,14.5,4k,2 mesi in acciaio + 36 mesi in botte grande,"Granato impeccabile. Naso di sicura tradizione serralunghiana: fragolina e tratti ferruginosi, sottobosco e violetta, liquirizia, pepe nero, china. Bocca di bell'ampiezza; il tannino, impavido,  oltre alla sostanza tattile conferisce lunghezza gustativa, in un finale d'erbe officinali. Matura per 3 anni in botti da 20 ettolitri. ",,Italia,,,,,,2
,0000937,,,,,,2016,Margheria,Barolo Margheria,DOCG,Barolo,Boasso Gabutti,Piemonte,3,40-44,Nebbiolo 100%,Guanciale di vitello stracotto al Barolo,86,,86,,na,Rosso fermo,14.5,4k,2 mesi in acciaio + 36 mesi in botte grande,"Granato intenso. Stesso vigneto del Riserva, ma un altro millesimo e un anno in meno di maturazione: lo si sente anzitutto dalla più esuberante  e sottile presenza fruttata della melagrana, dal fulgore della viola, dalle tonalità balsamiche e di legni preziosi. Non è meno potente della Riserva in bocca, dove però l'irruenza tannica deve ancora stemperarsi nella massa pseudocalorica. Finale con toni ferrigni In botte grande per 3 anni. ",,Italia,,,,,,2
,0000937,,,,,,2017,Margheria,Barolo Margheria,DOCG,Barolo,Boasso Gabutti,Piemonte,3,40-44,Nebbiolo 100%,Gulasch,86,,86,,na,Rosso fermo,15,3k,2 mesi in acciaio + 36 mesi in botte grande,"Granato chiaro. La nota ferrosa con cui esordisce è puro idioma di Serralunga; seguono evocazioni di lampone macerato in alcol, noce moscata, profumi di sottobosco estivo. Al palato è monoli- tico, concentrato, inattaccabile, persistente con chiosa appena amarognola; il tempo scioglierà tanta potenza.",,Italia,,,,,,2
IN,0000937-1,2.03,11,0.27,13,3.0,,Margheria,Barolo Margheria,DOCG,Barolo,Boasso Gabutti,Piemonte,3★,40-44,Nebbiolo 100%,Stinco di manzo – Gnocchi al ragù di capriolo – Cappone arrosto al mandarino – Fagiano con salsa alle cipolle rosse – Guanciale di vitello stracotto al Barolo – Gulasch,na,,na,,na,Rosso fermo,15,3k-4k,2 mesi in acciaio + 36 mesi in botte grande,,Prima annata 2000,Italia,,,,,,1
,0000940,,,,,,2013,Margheria – Riserva,Barolo Margheria Riserva,DOCG,Barolo,Boasso Gabutti,Piemonte,3,35-39,Nebbiolo 100%,Agnello al ginepro,86,,86,,na,Rosso fermo,14,3k,50 mesi in botte grande,"Granato. Già complesso, eppure svela soltanto gli esordi della sua vena odorosa, alla quale attingerà negli anni: sentori di genziana, di composta di more e lamponi, finezze scure di ginepro, liquirizia, viola. Al palato ha tutta la sostanza delle grandi vigne  di Serralunga, in particolare un fondo tannico robusto e di ottima qualità  da dipanare negli anni, e una gustosa persistenza. In botti di rovere da 20 ettolitri per 50 mesi. ",,Italia,,,,,,2
,0000940,,,,,,2015,Margheria – Riserva,Barolo Margheria Riserva,DOCG,Barolo,Boasso Gabutti,Piemonte,3,50-54,Nebbiolo 100%,Cinghiale marinato alle mele,86,,86,,na,Rosso fermo,14,3k,50 mesi in botte grande,"Granato chiaro, limpido. Ha un fascino austero, spartito tra sentori olfattivi rugginosi e colpi d'ala di erbe officinali, terra calda, fragola bagnata nel maraschino e viola fané. Impegna il palato con tutta la forza di cui è capace: è caldo, potente, massiccio, solido nell'impalcatura tannica e molto lungo. Il tempo conferirà finezza, ma la materia è notevole e ha stoffa da vendere. Matura per 50 mesi in botti di rovere di Slavonia da 20 ettolitri ",,Italia,,,,,,2
IN,0000940-1,0.68,4,0.07,4,3.0,,Margheria – Riserva,Barolo Margheria Riserva,DOCG,Barolo,Boasso Gabutti,Piemonte,3★,50-54,Nebbiolo 100%,Agnello al ginepro – Cinghiale marinato alle mele,na,,na,,na,Rosso fermo,14,3k,50 mesi in botte grande,,,Italia,,,,,,1
,0000951,,,,,,2012,,Barolo,DOCG,Barolo,Borgogno,Piemonte,3,35-39,Nebbiolo 100%,Quaglie caramellate,86,,86,,na,Rosso fermo,14,15k,42 mesi in botte grande,"Granato. Esala classicità ovunque: nei  sentori di fungo appena tagliato e di  muschio, di squisite piccole bacche  rosse, di rosa e nei pervasivi tratti  vegetali. Carnoso come non t'aspetti,  tannico come da copione, progressivo  e continuo. Piace davvero. In botti di  rovere di Slavonia, da dove arriva il  campione.  ",,Italia,,,,,,2
,0000951,,,,,,2013,,Barolo,DOCG,Barolo,Borgogno,Piemonte,3,35-39,Nebbiolo 100%,nd,86,,86,,na,Rosso fermo,14,30k,42 mesi in botte grande,,,Italia,,,,,,2
,0000951,,,,,,2014,,Barolo,DOCG,Barolo,Borgogno,Piemonte,3,35-39,Nebbiolo 100%,nd,86,,86,,na,Rosso fermo,14,30k,42 mesi in botte grande,,,Italia,,,,,,2
,0000951,,,,,,2015,,Barolo,DOCG,Barolo,Borgogno,Piemonte,3,40-44,Nebbiolo 100%,nd,86,,86,,na,Rosso fermo,14,30k,42 mesi in botte grande,,,Italia,,,,,,2
,0000951,,,,,,2016,,Barolo,DOCG,Barolo,Borgogno,Piemonte,3,50-54,Nebbiolo 100%,nd,87,,87,,na,Rosso fermo,14,30k,42 mesi in botte grande,,,Italia,,,,,,2
IN,0000951-1,1.69,9,0.18,9,3.0,,,Barolo,DOCG,Barolo,Borgogno,Piemonte,3★,50-54,Nebbiolo 100%,Agnello al ginepro – Cinghiale marinato alle mele,na,,na,,na,Rosso fermo,14,15k-30k,42 mesi in botte grande,,,Italia,,,,,,1
,0000949,,,,,,2011,Cannubi,Barolo Cannubi,DOCG,Barolo,Borgogno,Piemonte,3,70-74,Nebbiolo 100%,nd,87,,87,,na,Rosso fermo,15,6k,48 mesi in botte grande,,,Italia,,,,,,2
,0000949,,,,,,2012,Cannubi,Barolo Cannubi,DOCG,Barolo,Borgogno,Piemonte,5,65-69,Nebbiolo 100%,Sella di capriolo laccata all'aceto di lamponi,91,,91,,na,Rosso fermo,14.5,6k,48 mesi in botte grande,"Granato classico. Splendida definizione  olfattiva: composta di piccoli frutti    rossi, di rara nitidezza, sottobosco di  pineta, rabarbaro, tracce ferrose, menta,  svolazzi balsamici finissimi. Al palato  l'inconfondibile pienezza del premier cru  supérieur si manifesta in un'avvolgenza  continua ed equilibrata, sorretta da una  robusta base tannica. Paradigmatico  finale su eleganti note di china calissaia  Fermenta in acciaio, matura per 4 anni in  botti di rovere di Slavonia da 14 ettolitri e  affina in bottiglia per 6 mesi.  ",,Italia,,,,,,2
,0000949,,,,,,2013,Cannubi,Barolo Cannubi,DOCG,Barolo,Borgogno,Piemonte,3,65-69,Nebbiolo 100%,nd,87,,87,,na,Rosso fermo,14.5,6k,46 mesi in botte grande,,,Italia,,,,,,2
,0000949,,,,,,2014,Cannubi,Barolo Cannubi,DOCG,Barolo,Borgogno,Piemonte,5,70-74,Nebbiolo 100%,Spalla di agnello alla Perigord,92,,92,,na,Rosso fermo,13.5,6k,46 mesi in botte grande,"Granato limpido, vibrante. Finissimo    di profumi vegetali e di menta, con  esemplare fragolina, un sentore di  china che identifica il cru senza margini  d'errore, violetta fresca, aghi di pino. Una  complessità che subito avvince, eppure  non è che l'inizio. Se possibile, piace  ancor di più il sorso, che non ricerca  l'opulenza, ma conduce il suo gioco  raffinato in profondità, senza eccessi  strutturali, nella sinergia tra freschezza  e finezza dei tannini, con una succosità  fruttata di perfetta misura. Lungo,  elegante. Matura per 46 mesi in botti  grandi di rovere di Slavonia  ",,Italia,,,,,,2
,0000949,,,,,,2015,Cannubi,Barolo Cannubi,DOCG,Barolo,Borgogno,Piemonte,5,70-74,Nebbiolo 100%,Costata di charolaise in salsa bernese,91,,91,,na,Rosso fermo,14,7k,46 mesi in botte grande,"Granato classico. Un Cannubi con tutte  le sue profondità olfattive: piccoli frutti  rossi, sottobosco lindo, erbe officinali,  rabarbaro, noce moscata, larghe  sfumature balsamiche. Il palato è ampio,  con andatura solenne e un'aristocraticità  naturale siglata dalla fitta e pregiata  tessitura dei tannini e dall'equo calore  del sorso. Nel lungo finale, una vena    di freschezza esalta i ritorni fruttati.    La fermentazione in cemento dura    20 giorni, la macerazione a cappello  sommerso 50; poi riposa per 46 mesi in  botti grandi  ",,Italia,,,,,,2
,0000949,,,,,,2016,Cannubi,Barolo Cannubi,DOCG,Barolo,Borgogno,Piemonte,4,95-99,Nebbiolo 100%,nd,90,,90,,na,Rosso fermo,14.5,7k,44 mesi in botte grande,,,Italia,,,,,,2
IN,0000949-1,10.62,59,0.61,31,4.2,,Cannubi,Barolo Cannubi,DOCG,Barolo,Borgogno,Piemonte,3★-5★,95-99,Nebbiolo 100%,Sella di capriolo laccata all'aceto di lamponi – Spalla di agnello alla Perigord – Costata di charolaise in salsa bernese,na,,na,,na,Rosso fermo,14.5,6k-7k,44-48 mesi in botte grande,,,Italia,,,,,,1
,0000952,,,,,,2011,Fossati,Barolo Fossati,DOCG,Barolo,Borgogno,Piemonte,5,45-49,Nebbiolo 100%,Fagiano in umido,91,,91,,na,Rosso fermo,15,6k,48 mesi in botte grande,"Granato, appena più intenso rispetto    al colore classico. Accoglie con uno  sfolgorio olfattivo, che accompagna    il naso in un suggestivo percorso  boschivo, dove annusi la fragolina  appena colta e la felce, un cespuglio di  menta e viola fresca; il basso continuo  è un tappeto speziato. Poi l'assaggi e  ammiri un bicchiere antico, ma potente,  di superiore struttura, scalpitante di  tannino e lungo, molto lungo. Per 4 anni  |in|botte grande, et voilà.  ",,Italia,,,,,,2
,0000952,,,,,,2012,Fossati,Barolo Fossati,DOCG,Barolo,Borgogno,Piemonte,4,45-49,Nebbiolo 100%,Stufato di cinghiale al cognac,89,,89,,na,Rosso fermo,14.5,6k,48 mesi in botte grande,"Granato. Al naso se la gioca sul filo  dell'eleganza: granatina, finezze vegetali,  menta, chiodi di garofano. In bocca    il surplus di freschezza e di tannini  s'acquieta, nel finale, su un raffinato  retrogusto di melograno che dura    a lungo, nel palato e nella memoria  degustativa. Riposa per 48 mesi in botti  grandi.  ",,Italia,,,,,,2
,0000952,,,,,,2013,Fossati,Barolo Fossati,DOCG,Barolo,Borgogno,Piemonte,3,45-49,Nebbiolo 100%,Coq au vin,86,,86,,na,Rosso fermo,14,6k,48 mesi in botte grande,"Granato tenue. Si conferma il paradigma  vegetale-balsamico; qui, forse, s'insiste  maggiormente sul cété floreale del  Nebbiolo, mentre la sensazione speziata  ricorda la noce moscata. Tannico e  succoso, ha struttura e complessità nel  lungo finale. Fermentazione in cemento,  poi 4 anni in rovere di Slavonia e 6 mesi  in bottiglia.  ",,Italia,,,,,,2
,0000952,,,,,,2015,Fossati,Barolo Fossati,DOCG,Barolo,Borgogno,Piemonte,3,45-49,Nebbiolo 100%,Petto d'anatra all'arancia,86,,86,,na,Rosso fermo,13.5,6k,46 mesi in botte grande,"Granato senza interferenze. Balsamico  di eucalipto e mentolo, fragrante di  piccoli frutti rossi, nobile di chiodi di  garofano, punteggiato da sentori di  radice e sottobosco, ha una bocca  completa, dalla grintosa ma fine grana  tannica; ottima e gustosa persistenza.  Passaggio in grandi botti di rovere di  Slavonia per 46 mesi.  ",,Italia,,,,,,2
,0000952,,,,,,2016,Fossati,Barolo Fossati,DOCG,Barolo,Borgogno,Piemonte,3,45-49,Nebbiolo 100%,Agnolotti al sugo d'arrosto,87,,87,,na,Rosso fermo,14,7k,46 mesi in botte grande,"Manto granato. Piccoli frutti macerati  nell'alcol, menta e profumi vegetali  appagano l'olfatto, seguiti da un còté  speziato sfolgorante con tracce di  rabarbaro; prezioso, con un che di  orientale. Bocca succosa, fine estrazione  tannica e persistenza fresca. Sosta per  46 mesi in botti da 50 ettolitri.  ",,Italia,,,,,,2
IN,0000952-1,5.00,28,0.59,30,3.6,,Fossati,Barolo Fossati,DOCG,Barolo,Borgogno,Piemonte,3★-5★,45-49,Nebbiolo 100%,Fagiano in umido – Stufato di cinghiale al cognac – Coq au vin – Petto d'anatra all'arancia – Agnolotti al sugo d'arrosto,na,,na,,na,Rosso fermo,14,6k-7k,46-48 mesi in botte grande,,,Italia,,,,,,1
,0000948,,,,,,2011,Liste,Barolo Liste,DOCG,Barolo,Borgogno,Piemonte,4,50-54,Nebbiolo 100%,Lepre in casseruola,89,,89,,na,Rosso fermo,15,6k,48 mesi in botte grande,"Granato di scuola. Scintillante al naso:  menta e finissimi tratti vegetali, boschivi  e di clorofilla, poi viola, primizie di  fragoline, rabarbaro e pepe appena  macinato. Sorso insieme antico (per  l'elegante, sottile persistenza: vero stile  Borgogno) e moderno (per la calda  avvolgenza fruttata). Davvero un gran  millesimo, da non perdere. Riposa per 48  mesi in botti grandi di rovere.  ",,Italia,,,,,,2
,0000948,,,,,,2012,Liste,Barolo Liste,DOCG,Barolo,Borgogno,Piemonte,3,50-54,Nebbiolo 100%,Fagiano in cocotte,87,,87,,na,Rosso fermo,14.5,6k,48 mesi in botte grande,"Consueto granato. Rispetto ai confratelli  spinge sul còté vegetale (felce,    fieno fresco), che poi è il modo per  sottolineare la purezza nebbiolesca  della fragolina; leggiadra violetta e    fini venature balsamiche, con spezia  sottile in sottofondo. Tutto corrisponde,  puntuale, al palato, succoso ed elegante,  persistente. Passaggio in rovere di  Slavonia per 4 anni  ",,Italia,,,,,,2
,0000948,,,,,,2013,Liste,Barolo Liste,DOCG,Barolo,Borgogno,Piemonte,5,50-54,Nebbiolo 100%,Filetto di capriolo ai mirtilli,91,,91,,na,Rosso fermo,14.5,6k,48 mesi in botte grande,"Granato vivido. C'è una sorta di antichità  ricreata nei profumi affascinanti    di questo storico cru: sentori di    vecchi legni e foglie secche, menta,  fragoline nel maraschino, nobile  punteggiatura vegetale. Un'eleganza  che viene dal vitigno, certo, dai vigneti,  ma pure dall'idea di Barolo della  maison Borgogno, fedele alla propria  plurisecolare immagine. Idem al palato,  finissimo nella grana tannica e nella  persistenza, sottile e pervasiva, al punto  da celare quasi la pur notevole potenza  del sorso. Fermentazione in cemento,  poi 48 mesi in botti da 45 ettolitri.  ",,Italia,,,,,,2
,0000948,,,,,,2014,Liste,Barolo Liste,DOCG,Barolo,Borgogno,Piemonte,3,55-59,Nebbiolo 100%,nd,87,,87,,na,Rosso fermo,13.5,6k,44 mesi in botte grande,,,Italia,,,,,,2
,0000948,,,,,,2015,Liste,Barolo Liste,DOCG,Barolo,Borgogno,Piemonte,4,55-59,Nebbiolo 100%,Fassona con patate e panna acida,90,,90,,na,Rosso fermo,14,7k,44 mesi in botte grande,"Granato classico. Appena più terragno  del Cannubi, ha un naso anch'esso  avvincente di fragolina e aghi di pino,  radice, foglioline di menta, chiodi di  garofano, tracce di assenzio e leggiadri  accenni verdi. In bocca rivela un tannino  massiccio, grande volume, calore e  persistenza infinita. Maturazione per 46  mesi in botti grandi da 50 ettolitri  ",,Italia,,,,,,2
,0000948,,,,,,2016,Liste,Barolo Liste,DOCG,Barolo,Borgogno,Piemonte,5,75-79,Nebbiolo 100%,Anatra al forno con pere martine,93,,93,,na,Rosso fermo,14.5,7k,44 mesi in botte grande,"Granato tenue. Già ora caleidoscopico, ed è solo all'inizio: profu-  mi di fragolina, radice di china, raffinati tratti vegetali, sfioritura  di viola, menta essiccata, liquirizia fresca... Bocca calda, di ro-  busta impalcatura tannica, potente ma già in fascinoso equili-  brio per tutta la (gran) durata del sorso. ",,Italia,,,,,,2
IN,0000948-1,8.64,48,0.63,31,4.0,,Liste,Barolo Liste,DOCG,Barolo,Borgogno,Piemonte,3★-5★,75-79,Nebbiolo 100%,Lepre in casseruola – Fagiano in cocotte – Filetto di capriolo ai mirtilli – Fassona con patate e panna acida – Anatra al forno con pere martine,na,,na,,na,Rosso fermo,14.5,6k-7k,44-48 mesi in botte grande,,,Italia,,,,,,1
,0000950,,,,,,2009,Riserva,Barolo Riserva,DOCG,Barolo,Borgogno,Piemonte,3,60-64,Nebbiolo 100%,nd,86,,86,,na,Rosso fermo,15,30k,72 mesi in botte grande + 12 mesi in bottiglia,,,Italia,,,,,,2
,0000950,,,,,,2010,Riserva,Barolo Riserva,DOCG,Barolo,Borgogno,Piemonte,3,70-74,Nebbiolo 100%,nd,86,,86,,na,Rosso fermo,14.5,30k,72 mesi in botte grande + 12 mesi in bottiglia,,,Italia,,,,,,2
,0000950,,,,,,2011,Riserva,Barolo Riserva,DOCG,Barolo,Borgogno,Piemonte,3,90-94,Nebbiolo 100%,Tagliata di angus all'aceto balsamico,87,,87,,na,Rosso fermo,14.5,10k,72 mesi in botte grande + 12 mesi in bottiglia,"Granato fitto, nonostante le sette  vendemmie alle spalle. Riserva  d'assemblaggio, mantiene una  freschezza notevole: la sensazione  fruttata di lampone e mora è matura  ma fragrante; poi uno sfondo ferrigno e  boschivo, con profumi diffusi di pineta, e  una macinatura fresca di noce moscata  Massa e potenza alcolica si fanno  sentire, e il tannino non è da meno,  ancora graffiante. Eppure sono ben 72  mesi di botte, più un anno di bottiglia.  ",,Italia,,,,,,2
,0000950,,,,,,2012,Riserva,Barolo Riserva,DOCG,Barolo,Borgogno,Piemonte,4,75-79,Nebbiolo 100%,Ossobuco di manzo in salsa allo zafferano,89,,89,,na,Rosso fermo,14.5,10k,72 mesi in botte grande + 18 mesi in bottiglia,"Granato. Si accosta con un picco  vegetale intrigante, ma poi innesca    una sequenza di profumi sempre    più complessi: menta, pepe nero e  ginepro, fragola, china, mammola, tratti  salmastro-minerali. Il sorso è atemporale  per freschezza e grana tannica, come  certi Barolo di lontani decenni, e mostra  una ricchezza strutturale che non è mai  ostentata, ma distribuita in una lunga,  gustosa progressione. Fermentazione in  cemento, 72 mesi in botti da 45 ettolitri e  18 mesi in bottiglia  ",,Italia,,,,,,2
,0000950,,,,,,2013,Riserva,Barolo Riserva,DOCG,Barolo,Borgogno,Piemonte,3,100-124,Nebbiolo 100%,nd,87,,87,,na,Rosso fermo,14.5,15k,69 mesi in botte grande,,,Italia,,,,,,2
,0000950,,,,,,2014,Riserva,Barolo Riserva,DOCG,Barolo,Borgogno,Piemonte,3,100-124,Nebbiolo 100%,nd,88,,88,,na,Rosso fermo,14,20k,69 mesi in botte grande,,,Italia,,,,,,2
IN,0000950-1,2.69,15,0.13,7,3.2,,Riserva,Barolo Riserva,DOCG,Barolo,Borgogno,Piemonte,3★-4★,100-124,Nebbiolo 100%,Tagliata di angus all'aceto balsamico – Ossobuco di manzo in salsa allo zafferano,na,,na,,na,Rosso fermo,14,10k-30k,69-72 mesi in botte grande + 12-18 mesi in bottiglia,,,Italia,,,,,,1
,0000959,,,,,,2012,,Barolo,DOCG,Barolo,Boroli,Piemonte,3,45-49,Nebbiolo 100%,Tapulone,87,,87,,na,Rosso fermo,13.5,30k,24 mesi in tonneau e botte grande,"Granato prezioso. Piacevolissimo ab  initio: bacche rosse freschissime, chiodi  di garofano, sottobosco e un che di  fungo fresco che intriga, una sottile  ma insinuante balsamicità. Il sorso    è centrato su una giovanile voluttà  fruttata, avvolgente. Dei tannini, solidi  e neppure per un attimo prevaricanti,  ti accorgi solo nel finale, questione di  gusto più ancora che tattile. Riposa in  tonneau e botti grandi.  ",,Italia,,,,,,2
,0000959,,,,,,2013,,Barolo,DOCG,Barolo,Boroli,Piemonte,4,45-49,Nebbiolo 100%,Stinco di maiale,89,,89,,na,Rosso fermo,13.5,22k,24 mesi in tonneau e botte grande,"Tra i migliori della tipologia. Granato  classico al colore, è fitto ed espressivo,  tipicissimo nel floreale di rosa e violetta  appassite, di radici e foglie secche,    poi frutta rossa di ciliegia e lampone,  confettura e ribes. Al gusto è piacevole,  nonostante la massa, molto scorrevole  e preciso, armonioso e poco tannico sul  finale. Riposa per 2 anni fra tonneau e  botte grande. Prima annata prodotta:  1997  ",,Italia,,,,,,2
,0000959,,,,,,2014,,Barolo,DOCG,Barolo,Boroli,Piemonte,4,45-49,Nebbiolo 100%,Scaloppe di cervo al ginepro,89,,89,,na,Rosso fermo,13.5,15k,24 mesi in tonneau e botte grande,"Granato vivace. Il bouquet spazia    da fiori essiccati, violetta e rosa, a  liquirizia, ciliegia, fragola e gelatina alla  frutta. Al gusto si conferma per il felice  bilanciamento e le giuste simmetrie:    ha corpo e freschezza, tannino fine    e levigato, conclusione perdurante,  delicata e raffinata. Tra i migliori ""annata""  del comprensorio. Tonneau e botte  grande per 24 mesi  ",,Italia,,,,,,2
,0000959,,,,,,2016,,Barolo,DOCG,Barolo,Boroli,Piemonte,3,40-44,Nebbiolo 100%,nd,86,,86,,na,Rosso fermo,13.5,18k,24 mesi in tonneau e botte grande,,,Italia,,,,,,2
